Browser 2_Crosswalk 3_Chrome 4_SeaMonkey 5_Maxthon 6_AppEngine-Google 7_Firefox_Mobile 8_Other 9_Apple_Mail 10_QQ_Browser 11_Android 12_QQ_Browser_Mobile 13_BlackBerry_WebKit 14_Mobile_Safari_UI/WKWebView 15_Mobile_Safari 16_Mail.ru_Chromium_Browser 17_Samsung_Internet 18_Chrome_Mobile_WebView 19_Electron 20_Facebook 21_Sogou_Explorer 22_Safari 23_IE_Mobile 24_Pale_Moon 25_Netscape 26_Chrome_Mobile_iOS 27_Konqueror 28_Amazon_Silk 29_UC_Browser 30_Opera 31_HeadlessChrome 32_Thunderbird 33_Chrome_Mobile 34_Dragon 35_Edge_Mobile 36_Opera_Mobile 37_Puffin 38_Edge 39_Iron 40_IE 41_MobileIron 42_Vivaldi 43_Firefox 44_Yandex_Browser 45_Coc_Coc 46_Seznam_prohle 47_Opera_Neon 48_Firefox_iOS 49_ThunderBrowse 50_Chromium 51_QupZilla 
2017-11-21 0 2.60869565217 0 0 0 0 0 0 0 0 0 0 0 4.54545454545 0 0 0 0 0 0 33.3333333333 0 0 0 0 0 0 0 0 0 0 3.84615384615 0 0 0 0 0 0 0 0 0 9.09090909091 0 0 0 0 0 0 0 0 
2017-11-22 0 12.1912350598 0 15.3846153846 0 1.91082802548 0 0 0 0 0 50.0 16.6666666667 6.31170662906 0 4.80863591757 1.96078431373 0 20.0 0 31.2684365782 0 0 0 33.3333333333 0 0 50.0 7.38636363636 0 0 7.77777777778 0 7.69230769231 5.26315789474 0 2.24403927069 0 2.85285285285 0 16.6666666667 7.34463276836 0 16.6666666667 0 0 0 0 22.2222222222 0 
2017-11-23 0 9.26630434783 0 0 0 4.77815699659 0 0 0 2.5641025641 0 0 7.14285714286 6.63430420712 0 6.40841702535 8.51063829787 0 0 25.0 16.1698956781 0 0 0 25.0 0 11.6279069767 0 6.02409638554 0 0 7.62155059133 0 14.2857142857 7.5 0 3.52480417755 0 2.64072272411 0 6.25 5.52380952381 5.88235294118 0 0 0 0 0 9.09090909091 0 
2017-11-24 0 5.84379615953 17.6470588235 8.0 0 8.28157349896 25.0 0 0 6.06060606061 0 16.6666666667 5.26315789474 7.89400018662 0 6.82205798749 6.08108108108 0 14.2857142857 0 12.6582278481 8.69565217391 0 0 7.14285714286 0 5.6338028169 0 8.02469135802 0 0 7.78909526663 0 9.25925925926 8.47457627119 0 3.26797385621 0 3.24786324786 0 13.6363636364 5.28908999497 10.0 0 0 0 0 0 3.0303030303 0 
2017-11-25 0 2.73464131505 4.7619047619 6.66666666667 0 5.07246376812 0 0 0 4.41988950276 0 0 3.84615384615 5.17193566278 0 4.03346921262 5.29100529101 0 14.8148148148 0 8.40058694057 5.88235294118 0 0 0 0 4.16666666667 33.3333333333 3.67892976589 0 0 5.26236429433 0 4.22535211268 5.88235294118 0 2.06677265501 0 2.13371266003 0 6.25 3.30387707985 5.12820512821 3.84615384615 0 0 0 0 7.5 0 
2017-11-26 0 2.60110119613 4.54545454545 5.71428571429 0 5.65031982942 14.2857142857 0 0 4.14937759336 0 0 6.66666666667 5.41588099728 0 4.89769614951 6.27177700348 0 3.44827586207 0 7.837995338 8.51063829787 0 0 4.54545454545 0 0.819672131148 0 3.63391655451 0 0 6.05614670591 0 3.40909090909 5.21739130435 0 1.74216027875 0 1.74160861305 0 0 3.34672021419 4.25531914894 0 100.0 0 0 0 0 0 
2017-11-27 0 5.06790744467 8.69565217391 6.45161290323 0 5.03144654088 0 0 0 4.04858299595 0 7.69230769231 0 5.06073894854 0 4.5191555903 4.6511627907 0 0 0 8.42728297632 3.84615384615 0 0 18.1818181818 0 1.69491525424 10.0 4.59317585302 0 0 5.70537107199 0 4.34782608696 4.09836065574 0 2.94885177453 6.25 2.57016248154 50.0 0 4.59036514268 4.25531914894 0 0 0 0 0 2.04081632653 0 
2017-11-28 0 6.64566929134 4.7619047619 3.125 0 5.26315789474 0 0 33.3333333333 6.74157303371 0 14.2857142857 0 5.73741281882 0 6.39022125948 6.3122923588 0 0 0 8.81458966565 10.5263157895 0 0 16.0 0 1.8691588785 11.1111111111 6.24187256177 0 0 6.75511332228 0 3.79746835443 3.44827586207 0 4.2091152815 0 4.44509861643 0 13.5135135135 5.41300097752 1.85185185185 0 0 0 0 0 6.52173913043 0 
2017-11-29 0 9.46643717728 7.14285714286 7.14285714286 0 7.24324324324 0 0 0 5.71428571429 0 0 12.5 5.99410983427 0 6.06060606061 6.07142857143 0 0 0 10.0262314194 3.33333333333 0 25.0 10.3448275862 0 3.48837209302 0 8.75331564987 0 0 7.14025057779 0 10.1449275362 6.19469026549 0 7.00824499411 11.7647058824 8.60669048392 0 8.57142857143 8.19798420749 14.5454545455 12.8205128205 33.3333333333 0 0 0 13.3333333333 0 
2017-11-30 0 7.15011050714 0 8.57142857143 0 7.48603351955 0 0 0 7.6 0 8.33333333333 8.69565217391 7.06623134328 0 7.39226707546 4.91803278689 0 0 0 9.69101123596 8.47457627119 0 0 6.45161290323 0 8.0 0 6.04534005038 0 0 7.57376657508 0 8.0 6.03448275862 0 6.47163120567 10.5263157895 6.57610373572 0 12.5 6.47062472858 5.0 0 0 0 16.6666666667 0 10.4166666667 0 
2017-12-1 0 6.32736484541 10.5263157895 16.6666666667 0 9.78627671541 25.0 0 0 7.91666666667 0 9.09090909091 13.0434782609 7.9940784604 0 8.48292854629 7.63636363636 0 0 0 9.48177676538 7.14285714286 0 0 6.25 0 16.6666666667 0 5.91787439614 0 0 8.40503803467 0 7.22891566265 7.54716981132 0 6.59492273731 0 5.89531680441 0 8.69565217391 7.11199135758 8.33333333333 9.67741935484 20.0 0 0 0 7.14285714286 0 
2017-12-2 0 3.60532517995 5.55555555556 3.125 0 6.55209452202 14.2857142857 0 0 6.52173913043 0 10.0 15.0 6.88105336456 0 6.52866242038 6.15384615385 0 0 0 6.77328316087 8.77192982456 0 0 3.44827586207 0 5.79710144928 0 4.20918367347 0 0 7.40139790315 0 11.2359550562 1.92307692308 0 4.20990216425 7.14285714286 3.57029008607 0 2.04081632653 4.66432474629 5.08474576271 0 20.0 0 20.0 0 2.04081632653 0 
2017-12-3 0 4.56145193568 5.55555555556 8.82352941176 0 8.57418111753 25.0 25.0 0 10.1851851852 0 0 7.40740740741 10.1292847824 0 8.33896016205 8.99653979239 0 0 0 10.4085603113 14.2857142857 0 0 4.54545454545 0 5.12820512821 12.5 6.17760617761 0 0 9.61966062025 0 9.09090909091 9.52380952381 0 5.28846153846 5.88235294118 5.09666080844 0 7.54716981132 6.25903060554 3.84615384615 3.0303030303 20.0 0 0 0 6.52173913043 0 
2017-12-4 0 7.49137172633 5.55555555556 7.31707317073 0 7.34513274336 0 0 0 8.11965811966 0 22.2222222222 10.7142857143 6.1122187411 0 6.32572777341 6.2893081761 0 0 0 9.4460454691 8.82352941176 0 0 20.0 0 5.06329113924 18.1818181818 6.57568238213 0 0 6.96902654867 0 6.60377358491 6.47482014388 0 5.71918787532 4.54545454545 7.03631647211 0 5.35714285714 7.13390170512 11.1111111111 3.44827586207 20.0 0 20.0 0 8.51063829787 0 
2017-12-5 0 8.54778223199 12.5 5.55555555556 0 9.53920776071 12.5 0 0 12.7413127413 0 11.1111111111 11.1111111111 9.69670616371 0 9.09090909091 7.18562874251 50.0 11.1111111111 0 12.6097867001 11.25 0 0 4.16666666667 0 8.23529411765 16.6666666667 7.29166666667 0 0 10.2805695142 0 12.2641509434 9.15492957746 0 7.35490772934 4.34782608696 7.81387181738 0 16.0714285714 8.27590234786 2.27272727273 3.22580645161 0 0 0 0 8.16326530612 0 
2017-12-6 0 6.81409102597 0 3.22580645161 0 10.534591195 22.2222222222 0 0 8.88888888889 0 27.2727272727 7.40740740741 8.57945035365 0 7.86786786787 8.47953216374 0 0 0 10.8403623868 3.7037037037 12.5 0 4.0 0 10.1265822785 0 6.71217292378 0 0 9.14432989691 0 9.90099009901 5.55555555556 0 5.53709856035 0 5.57501459428 0 9.61538461538 6.71361502347 6.66666666667 3.22580645161 20.0 0 0 0 6.52173913043 0 
2017-12-7 0 4.73395190305 5.88235294118 3.22580645161 0 6.484375 14.2857142857 0 0 5.26315789474 0 0 12.9032258065 5.64384792497 0 6.70001515841 6.79886685552 0 0 0 7.19649561952 9.19540229885 12.5 0 0 0 5.12820512821 0 3.74707259953 0 0 7.42353551063 0 14.2857142857 2.87769784173 0 3.57446808511 3.57142857143 2.87604256543 0 4.0 4.76526650194 4.87804878049 3.7037037037 0 0 0 0 2.04081632653 0 
2017-12-8 0 6.07989331394 15.0 3.7037037037 0 9.06274206042 14.2857142857 0 0 8.36120401338 0 15.3846153846 10.7142857143 9.23856698537 0 8.90957446809 7.77777777778 0 0 0 10.2457708267 2.40963855422 0 0 4.0 0 5.26315789474 7.14285714286 6.45879732739 0 16.6666666667 10.1387188902 25.0 14.6788990826 5.38461538462 11.1111111111 6.05306799337 3.7037037037 5.35810446957 0 7.69230769231 6.78956324447 7.14285714286 4.0 0 0 14.2857142857 0 5.76923076923 0 
2017-12-9 0 4.45713535513 0 3.84615384615 0 9.47446336047 0 0 0 8.38709677419 0 13.3333333333 0 9.71850583324 0 8.74028856826 9.74358974359 0 0 16.6666666667 9.31307793923 8.04597701149 0 0 10.0 0 8.33333333333 17.6470588235 5.48847420417 0 16.6666666667 9.91641337386 0 8.40336134454 10.1449275362 0 6.33981403212 0 4.36072382082 0 10.1694915254 5.89910496338 2.17391304348 0 0 0 0 0 2.38095238095 0 
2017-12-10 0 4.85216072782 11.5384615385 8.69565217391 0 7.48148148148 28.5714285714 0 0 6.25 0 13.3333333333 15.3846153846 7.82910189017 0 7.16790573713 7.89473684211 0 12.5 0 8.58400586941 4.87804878049 0 0 5.26315789474 0 7.31707317073 15.7894736842 5.67928730512 0 0 8.48676639816 33.3333333333 6.83760683761 7.53424657534 14.2857142857 5.07471980075 0 5.15970515971 0 5.88235294118 5.65176022835 2.22222222222 11.7647058824 0 0 0 0 5.55555555556 0 
2017-12-11 0 9.20672542775 0 0 0 9.79827089337 0 0 0 9.52380952381 0 6.25 12.9032258065 8.08182993312 0 7.50659081449 7.73333333333 0 0 0 13.6281912981 4.70588235294 20.0 0 11.7647058824 0 3.7037037037 9.52380952381 6.16216216216 0 0 8.98411803402 16.6666666667 3.44827586207 10.625 14.2857142857 6.86245130357 9.67741935484 8.34132310642 0 10.0 8.49153257398 4.25531914894 6.66666666667 0 0 0 0 9.52380952381 0 
2017-12-12 0 6.12608598797 0 4.54545454545 0 5.18358531317 0 0 0 4.8951048951 0 0 3.44827586207 5.09685703121 0 5.02925606018 5.98958333333 0 0 0 8.35125448029 2.81690140845 20.0 0 5.55555555556 0 2.46913580247 8.33333333333 3.31905781585 0 0 6.49422632794 0 3.7037037037 5.81395348837 20.0 3.51728320194 3.22580645161 3.92156862745 0 4.16666666667 4.56216476828 3.92156862745 0 0 0 0 0 8.33333333333 0 
2017-12-13 0 7.82745215311 4.7619047619 5.0 0 7.65230312036 16.6666666667 0 0 8.21428571429 0 7.69230769231 7.40740740741 6.11016998656 0 6.4781416823 5.52486187845 0 0 0 10.5034407823 1.5625 0 0 10.5263157895 0 1.3698630137 13.0434782609 3.92376681614 0 0 7.38690589807 0 2.10526315789 8.88888888889 0 4.8930654569 3.44827586207 4.57346740188 0 6.66666666667 5.66913332497 5.26315789474 5.0 0 0 12.5 0 2.22222222222 0 
2017-12-14 0 5.09024699177 0 0 0 5.09554140127 0 0 0 4.04858299595 0 9.09090909091 0 4.13916391639 0 4.67684313089 5.9748427673 0 0 0 5.58252427184 3.77358490566 0 0 0 0 1.53846153846 5.88235294118 2.79542566709 0 14.2857142857 6.34202776609 0 1.28205128205 4.19161676647 0 2.50748502994 0 2.17616580311 0 8.82352941176 3.57891793653 0 10.0 0 0 9.09090909091 0 9.43396226415 0 
2017-12-15 0 3.17056033726 0 0 0 1.65369649805 16.6666666667 0 0 3.33333333333 0 0 0 3.3206911083 0 2.42448330684 4.11985018727 0 0 0 3.61502347418 4.54545454545 0 0 6.66666666667 0 1.96078431373 7.14285714286 2.01863354037 0 0 3.4473985498 0 6.25 2.22222222222 0 2.18554861731 0 1.13502935421 0 3.57142857143 2.4280941905 2.38095238095 0 0 0 0 0 1.96078431373 0 
2017-12-16 0 7.95502757743 0 20.0 0 13.4157944814 0 0 0 14.9758454106 0 10.0 0 11.8900110328 0 10.9235729186 11.5107913669 0 0 0 13.1635969664 10.4166666667 0 0 12.5 0 7.01754385965 0 6.77655677656 0 0 14.6227574343 0 5.0 13.8157894737 0 8.03941908714 14.2857142857 5.75386254662 0 20.6896551724 8.15047021944 8.10810810811 0 0 0 8.33333333333 0 2.43902439024 0 
2017-12-17 0 4.48908730159 5.26315789474 0 0 9.12408759124 0 0 0 5.15463917526 0 25.0 0 6.08821141878 0 5.25480864565 6.87022900763 0 0 0 7.79619398404 1.96078431373 0 0 0 0 9.09090909091 0 3.75 0 0 8.38131797825 0 3.44827586207 5.88235294118 0 4.28326670474 0 3.26504481434 0 6.66666666667 4.74468551392 0 6.25 0 0 0 0 15.1515151515 0 
2017-12-18 0 14.7005208333 5.0 13.3333333333 0 9.87432675045 16.6666666667 0 0 8.85416666667 0 10.0 13.3333333333 9.58376397632 0 8.21804666529 9.88593155894 0 0 0 17.0607028754 1.92307692308 0 0 33.3333333333 0 5.35714285714 0 9.32203389831 0 0 11.7283155046 0 10.3448275862 5.19480519481 0 8.88369374635 0 10.2996254682 0 10.7142857143 11.0899944103 0 0 0 0 0 0 3.125 0 
2017-12-19 0 13.6915836708 8.69565217391 6.25 0 11.0016420361 16.6666666667 0 0 9.45945945946 0 8.33333333333 25.0 11.7243605261 0 9.1649308843 11.2627986348 0 0 0 16.9831223629 10.1694915254 0 0 9.09090909091 0 3.22580645161 14.2857142857 8.40787119857 0 33.3333333333 12.4666589354 14.2857142857 5.88235294118 7.10059171598 0 9.24205378973 5.0 9.82404692082 0 15.625 10.3093755895 7.69230769231 5.0 0 0 0 0 6.25 0 
2017-12-20 0 11.5110356537 15.3846153846 5.0 0 8.40277777778 0 0 0 6.27615062762 0 21.4285714286 20.0 12.2407688417 0 8.61610633307 10.5691056911 0 0 0 17.4152876281 13.2352941176 0 0 22.2222222222 0 9.41176470588 0 12.1457489879 0 0 11.2782666288 0 8.97435897436 5.20833333333 0 10.2793696275 7.40740740741 9.82920878355 0 16.2162162162 9.87835263081 6.89655172414 4.7619047619 0 0 9.09090909091 0 4.87804878049 0 
2017-12-21 0 9.15330043183 10.7142857143 4.34782608696 0 6.98198198198 0 20.0 0 6.39269406393 0 0 9.67741935484 9.53363340835 0 7.75387693847 5.69800569801 0 0 0 12.4219037119 6.45161290323 12.5 20.0 8.0 0 5.95238095238 0 9.21895006402 0 0 9.38470496894 14.2857142857 8.64197530864 7.34463276836 0 6.81818181818 4.16666666667 5.63027838599 0 6.25 7.19644345652 10.0 9.09090909091 0 0 11.1111111111 0 7.14285714286 0 
2017-12-22 0 7.63052208835 3.57142857143 4.0 0 7.12661106899 0 0 0 7.28744939271 33.3333333333 9.09090909091 3.22580645161 10.1691365136 0 7.6782170661 6.33608815427 0 0 0 11.7206982544 12.8571428571 0 0 10.7142857143 33.3333333333 8.16326530612 0 8.92070484581 0 0 8.90337560279 0 13.4020618557 7.47126436782 0 6.94600674916 0 5.31115879828 0 5.71428571429 7.12413628782 9.75609756098 5.0 0 0 25.0 0 7.14285714286 0 
