feature name * do not exsit in table allchanges
filling nan with -9999
finished loading allchanges
('Office Fonts:', 1377)
('Flash Enabled:', 32863)
environmentUpdate environmentUpdate 456862
environmentUpdate canvas 94067
environmentUpdate localStorage 2329
environmentUpdate lied 31444
environmentUpdate userAction 123663
environmentUpdate jsFonts 49761
environmentUpdate plugin 12628
environmentUpdate zoom 16906
environmentUpdate browserUpdate 184803
environmentUpdate timezone 98208
environmentUpdate header 11713
environmentUpdate cookie 1553
environmentUpdate detectedLanguages 3612
environmentUpdate agent 328581
environmentUpdate GPU 2118
environmentUpdate osUpdate 124873
environmentUpdate colorDepth 18224
environmentUpdate audio 42963
canvas environmentUpdate 94067
canvas canvas 94067
canvas localStorage 854
canvas lied 5550
canvas userAction 31666
canvas jsFonts 8906
canvas plugin 4286
canvas zoom 10473
canvas browserUpdate 34503
canvas timezone 19021
canvas header 4997
canvas cookie 451
canvas detectedLanguages 2249
canvas agent 40885
canvas GPU 941
canvas osUpdate 14375
canvas colorDepth 4510
canvas audio 3396
localStorage environmentUpdate 2329
localStorage canvas 854
localStorage localStorage 3482
localStorage lied 118
localStorage userAction 3482
localStorage jsFonts 444
localStorage plugin 218
localStorage zoom 95
localStorage browserUpdate 1469
localStorage timezone 1078
localStorage header 310
localStorage cookie 1762
localStorage detectedLanguages 69
localStorage agent 1882
localStorage GPU 67
localStorage osUpdate 486
localStorage colorDepth 212
localStorage audio 188
lied environmentUpdate 31444
lied canvas 5550
lied localStorage 118
lied lied 31444
lied userAction 5204
lied jsFonts 840
lied plugin 683
lied zoom 888
lied browserUpdate 7092
lied timezone 4108
lied header 961
lied cookie 107
lied detectedLanguages 208
lied agent 9899
lied GPU 95
lied osUpdate 2681
lied colorDepth 2642
lied audio 831
userAction environmentUpdate 123663
userAction canvas 31666
userAction localStorage 3482
userAction lied 5204
userAction userAction 215467
userAction jsFonts 14845
userAction plugin 40023
userAction zoom 48639
userAction browserUpdate 69589
userAction timezone 134028
userAction header 5383
userAction cookie 2316
userAction detectedLanguages 1990
userAction agent 105960
userAction GPU 2171
userAction osUpdate 41745
userAction colorDepth 8077
userAction audio 6638
jsFonts environmentUpdate 49761
jsFonts canvas 8906
jsFonts localStorage 444
jsFonts lied 840
jsFonts userAction 14845
