opr/ safari chrome trident other samsungbrowser firefox 
0 0 0 0 0 0 0 0 
1 7319 71478 212247 19140 226 42170 145871 
2 729 57278 12015 6421 105 2341 12533 
3 200 18788 3050 2179 45 501 3730 
4 98 14918 1629 1433 19 216 1939 
5 51 7635 806 774 16 78 968 
6 39 5881 575 581 10 37 594 
7 20 3698 343 370 4 24 383 
8 15 2715 272 314 3 16 293 
9 16 1988 191 183 4 4 171 
10 6 1503 145 138 2 4 150 
11 5 1151 90 99 4 7 78 
12 10 806 78 71 5 1 67 
13 7 640 58 64 2 4 60 
14 4 533 50 50 1 0 42 
15 4 408 45 35 0 0 31 
16 1 327 42 35 0 5 26 
17 1 303 39 23 1 0 19 
18 2 234 24 14 1 1 27 
19 1 179 23 18 0 0 18 
20 1 167 15 9 0 0 13 
21 2 118 14 8 1 0 8 
22 2 117 21 11 2 1 9 
23 1 89 19 5 0 0 9 
24 2 66 10 9 0 0 3 
25 0 62 4 6 0 0 6 
26 0 53 4 3 1 1 6 
27 1 56 6 7 0 0 6 
28 2 47 5 3 0 0 4 
29 0 40 6 1 0 0 3 
30 0 31 6 1 0 0 2 
31 0 0 0 0 0 0 0 
32 0 0 0 0 0 0 0 
33 0 0 0 0 0 0 0 
34 0 0 0 0 0 0 0 
