88f9a35438201f34381be6425fc61c58c31b5fc1++=>36632f75b903bca305bcd02a56840abd40442e13++ be170c6399fc45c991f409261c723fbbcadc6222++=>8f182b3b9afb58832515da1a210f933d8462f292++ bd554a7d5da9293cf3fed52d2052b2b948a14b77++=>198726984c90308dbd4306d3ef56e82fde2345bd++ 6989e28b170e64cc9b5558924ac9cc975e09ccd9++=>ad6bcb1b677df6a81d41328c7a94832a302837ff++ 36632f75b903bca305bcd02a56840abd40442e13++=>88f9a35438201f34381be6425fc61c58c31b5fc1++ 88f9a35438201f34381be6425fc61c58c31b5fc1++=>8f182b3b9afb58832515da1a210f933d8462f292++ bd554a7d5da9293cf3fed52d2052b2b948a14b77++=>6b2f630a93c06a1c7fdf31be5433b7f30e9fd9d2++ 2e02e768da96c8034d4d0a0e38d5921bd71540e3++=>b261a45b09d8764fe7d24ee3d4765f5d7708d020++ 946d8d375868fd2f5acaf2e56c9b8222d12e7e26++=>d34b694e17b527817870d13567134c96856dace0++ be170c6399fc45c991f409261c723fbbcadc6222++=>88f9a35438201f34381be6425fc61c58c31b5fc1++ Others 
2017-11-21 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 
2017-11-22 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 10.0 0.0 177.0 
2017-11-23 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 5.0 0.0 211.0 
2017-11-24 0.0 0.0 0.0 0.0 0.0 0.0 0.0 11.0 16.0 0.0 360.0 
2017-11-25 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.0 11.0 0.0 209.0 
2017-11-26 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.0 28.0 0.0 249.0 
2017-11-27 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 12.0 0.0 366.0 
2017-11-28 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 8.0 0.0 345.0 
2017-11-29 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 6.0 0.0 373.0 
2017-11-30 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.0 10.0 0.0 269.0 
2017-12-1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.0 17.0 0.0 330.0 
2017-12-2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.0 14.0 0.0 237.0 
2017-12-3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 16.0 0.0 341.0 
2017-12-4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.0 9.0 0.0 308.0 
2017-12-5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.0 6.0 1.0 469.0 
2017-12-6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.0 19.0 0.0 353.0 
2017-12-7 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.0 12.0 0.0 237.0 
2017-12-8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.0 30.0 0.0 479.0 
2017-12-9 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.0 29.0 1.0 343.0 
2017-12-10 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.0 16.0 0.0 277.0 
2017-12-11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.0 9.0 1.0 484.0 
2017-12-12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.0 4.0 227.0 
2017-12-13 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.0 9.0 0.0 309.0 
2017-12-14 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.0 5.0 0.0 168.0 
2017-12-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.0 1.0 114.0 
2017-12-16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.0 5.0 0.0 224.0 
2017-12-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 4.0 0.0 159.0 
2017-12-18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.0 2.0 1.0 284.0 
2017-12-19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.0 3.0 1.0 397.0 
2017-12-20 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13.0 14.0 0.0 453.0 
2017-12-21 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 12.0 4.0 413.0 
2017-12-22 0.0 0.0 0.0 0.0 0.0 0.0 0.0 19.0 8.0 1.0 407.0 
2017-12-23 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.0 4.0 0.0 269.0 
2017-12-24 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.0 0.0 0.0 127.0 
2017-12-25 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.0 6.0 0.0 165.0 
2017-12-26 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.0 6.0 1.0 337.0 
2017-12-27 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10.0 7.0 0.0 206.0 
2017-12-28 0.0 0.0 0.0 0.0 0.0 1.0 0.0 13.0 11.0 2.0 417.0 
2017-12-29 0.0 0.0 0.0 0.0 0.0 1.0 0.0 8.0 15.0 2.0 361.0 
2017-12-30 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 18.0 0.0 185.0 
2017-12-31 0.0 1.0 0.0 0.0 0.0 0.0 0.0 3.0 20.0 0.0 185.0 
2018-1-1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 1.0 
2018-1-2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
2018-1-3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
2018-1-4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
2018-1-5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
2018-1-6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.0 0.0 1.0 138.0 
2018-1-7 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.0 4.0 0.0 183.0 
2018-1-8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.0 3.0 0.0 259.0 
2018-1-9 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.0 8.0 0.0 403.0 
2018-1-10 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.0 12.0 1.0 321.0 
2018-1-11 1.0 0.0 0.0 0.0 0.0 1.0 0.0 12.0 12.0 2.0 470.0 
2018-1-12 0.0 0.0 0.0 0.0 0.0 3.0 0.0 8.0 17.0 2.0 414.0 
2018-1-13 0.0 2.0 0.0 0.0 0.0 2.0 0.0 8.0 27.0 1.0 406.0 
2018-1-14 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 15.0 1.0 299.0 
2018-1-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.0 8.0 0.0 282.0 
2018-1-16 0.0 0.0 0.0 0.0 1.0 0.0 0.0 7.0 14.0 2.0 412.0 
2018-1-17 0.0 1.0 0.0 0.0 0.0 1.0 0.0 1.0 14.0 1.0 437.0 
2018-1-18 0.0 2.0 0.0 0.0 0.0 1.0 0.0 4.0 20.0 0.0 356.0 
2018-1-19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 15.0 0.0 435.0 
2018-1-20 0.0 0.0 0.0 0.0 0.0 1.0 0.0 10.0 8.0 3.0 362.0 
2018-1-21 0.0 1.0 0.0 0.0 0.0 1.0 0.0 6.0 14.0 3.0 359.0 
2018-1-22 0.0 0.0 0.0 0.0 0.0 1.0 0.0 3.0 10.0 1.0 349.0 
2018-1-23 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.0 6.0 0.0 440.0 
2018-1-24 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.0 4.0 0.0 237.0 
2018-1-25 1.0 0.0 0.0 0.0 1.0 0.0 0.0 3.0 1.0 5.0 356.0 
2018-1-26 9.0 1.0 0.0 0.0 1.0 0.0 0.0 6.0 20.0 1.0 423.0 
2018-1-27 16.0 0.0 0.0 0.0 4.0 0.0 0.0 6.0 8.0 3.0 311.0 
2018-1-28 18.0 0.0 0.0 0.0 5.0 0.0 0.0 3.0 2.0 1.0 215.0 
2018-1-29 17.0 0.0 0.0 0.0 3.0 0.0 0.0 3.0 5.0 0.0 266.0 
2018-1-30 41.0 0.0 0.0 0.0 13.0 0.0 0.0 7.0 9.0 0.0 436.0 
2018-1-31 31.0 0.0 0.0 0.0 20.0 0.0 0.0 9.0 4.0 2.0 496.0 
2018-2-1 32.0 0.0 0.0 0.0 13.0 0.0 0.0 12.0 12.0 1.0 453.0 
2018-2-2 29.0 0.0 0.0 0.0 19.0 0.0 0.0 4.0 7.0 0.0 431.0 
2018-2-3 46.0 0.0 0.0 0.0 22.0 0.0 0.0 2.0 8.0 0.0 448.0 
2018-2-4 63.0 0.0 0.0 0.0 36.0 0.0 0.0 8.0 9.0 0.0 482.0 
2018-2-5 43.0 0.0 0.0 0.0 22.0 0.0 0.0 2.0 9.0 1.0 320.0 
2018-2-6 21.0 0.0 0.0 0.0 18.0 0.0 0.0 2.0 2.0 0.0 363.0 
2018-2-7 32.0 0.0 0.0 0.0 21.0 0.0 0.0 8.0 2.0 0.0 329.0 
2018-2-8 26.0 0.0 0.0 0.0 17.0 0.0 0.0 8.0 7.0 0.0 322.0 
2018-2-9 43.0 0.0 0.0 0.0 18.0 1.0 0.0 6.0 14.0 0.0 377.0 
2018-2-10 59.0 1.0 0.0 0.0 30.0 0.0 0.0 6.0 16.0 4.0 376.0 
2018-2-11 33.0 0.0 0.0 0.0 40.0 0.0 0.0 7.0 12.0 0.0 311.0 
2018-2-12 23.0 0.0 0.0 0.0 20.0 0.0 0.0 2.0 6.0 0.0 288.0 
2018-2-13 38.0 0.0 0.0 0.0 19.0 0.0 0.0 4.0 6.0 0.0 302.0 
2018-2-14 26.0 1.0 0.0 0.0 16.0 0.0 0.0 1.0 2.0 0.0 274.0 
2018-2-15 27.0 0.0 0.0 0.0 18.0 2.0 0.0 1.0 6.0 0.0 299.0 
2018-2-16 21.0 2.0 0.0 0.0 22.0 0.0 0.0 4.0 6.0 0.0 311.0 
2018-2-17 31.0 2.0 0.0 0.0 15.0 1.0 0.0 1.0 9.0 2.0 236.0 
2018-2-18 24.0 1.0 0.0 0.0 28.0 0.0 0.0 3.0 3.0 0.0 199.0 
2018-2-19 24.0 0.0 0.0 0.0 14.0 0.0 0.0 2.0 3.0 0.0 217.0 
2018-2-20 16.0 1.0 0.0 0.0 17.0 0.0 0.0 4.0 1.0 0.0 240.0 
2018-2-21 0.0 1.0 0.0 0.0 27.0 0.0 0.0 8.0 10.0 1.0 443.0 
2018-2-22 0.0 0.0 0.0 0.0 26.0 2.0 0.0 17.0 4.0 0.0 486.0 
2018-2-23 0.0 7.0 0.0 0.0 12.0 1.0 0.0 10.0 18.0 0.0 356.0 
2018-2-24 0.0 3.0 0.0 0.0 15.0 1.0 0.0 5.0 15.0 1.0 320.0 
2018-2-25 0.0 7.0 0.0 0.0 13.0 2.0 0.0 12.0 16.0 0.0 290.0 
2018-2-26 0.0 1.0 0.0 0.0 9.0 0.0 0.0 16.0 13.0 0.0 359.0 
2018-2-27 0.0 1.0 0.0 0.0 8.0 4.0 0.0 4.0 28.0 0.0 393.0 
2018-2-28 0.0 8.0 0.0 1.0 7.0 0.0 0.0 2.0 21.0 1.0 469.0 
2018-3-1 0.0 5.0 0.0 0.0 3.0 4.0 0.0 5.0 10.0 0.0 369.0 
2018-3-2 0.0 3.0 0.0 0.0 8.0 2.0 0.0 3.0 23.0 2.0 291.0 
2018-3-3 0.0 3.0 0.0 0.0 5.0 7.0 0.0 6.0 16.0 0.0 244.0 
2018-3-4 0.0 2.0 0.0 0.0 10.0 1.0 0.0 6.0 28.0 1.0 305.0 
2018-3-5 0.0 3.0 0.0 0.0 5.0 3.0 0.0 2.0 21.0 2.0 363.0 
2018-3-6 0.0 3.0 1.0 0.0 3.0 5.0 0.0 8.0 7.0 1.0 485.0 
2018-3-7 2.0 0.0 0.0 0.0 3.0 3.0 0.0 43.0 7.0 0.0 447.0 
2018-3-8 1.0 7.0 0.0 0.0 2.0 2.0 0.0 9.0 4.0 0.0 426.0 
2018-3-9 12.0 8.0 0.0 0.0 6.0 7.0 0.0 24.0 12.0 1.0 309.0 
2018-3-10 11.0 9.0 0.0 0.0 6.0 9.0 0.0 57.0 12.0 1.0 382.0 
2018-3-11 25.0 18.0 0.0 0.0 11.0 13.0 0.0 56.0 3.0 0.0 478.0 
2018-3-12 26.0 11.0 0.0 0.0 14.0 7.0 0.0 63.0 6.0 0.0 507.0 
2018-3-13 19.0 14.0 0.0 0.0 11.0 5.0 0.0 31.0 8.0 0.0 472.0 
2018-3-14 36.0 17.0 0.0 0.0 13.0 12.0 0.0 36.0 5.0 0.0 548.0 
2018-3-15 40.0 20.0 0.0 0.0 19.0 8.0 0.0 37.0 17.0 1.0 481.0 
2018-3-16 34.0 24.0 2.0 0.0 23.0 7.0 0.0 45.0 16.0 1.0 717.0 
2018-3-17 65.0 34.0 2.0 0.0 40.0 11.0 0.0 120.0 4.0 1.0 899.0 
2018-3-18 49.0 21.0 0.0 0.0 44.0 6.0 0.0 46.0 7.0 1.0 736.0 
2018-3-19 33.0 14.0 3.0 0.0 24.0 4.0 0.0 16.0 1.0 0.0 503.0 
2018-3-20 19.0 12.0 2.0 0.0 20.0 7.0 0.0 9.0 8.0 0.0 382.0 
2018-3-21 21.0 16.0 0.0 1.0 22.0 7.0 0.0 11.0 4.0 0.0 394.0 
2018-3-22 30.0 18.0 0.0 0.0 21.0 7.0 0.0 19.0 8.0 1.0 465.0 
2018-3-23 26.0 13.0 0.0 0.0 22.0 9.0 0.0 26.0 3.0 1.0 463.0 
2018-3-24 45.0 13.0 2.0 1.0 42.0 7.0 0.0 25.0 11.0 0.0 418.0 
2018-3-25 62.0 16.0 0.0 1.0 41.0 11.0 0.0 22.0 6.0 1.0 464.0 
2018-3-26 33.0 14.0 0.0 0.0 25.0 10.0 0.0 18.0 2.0 0.0 477.0 
2018-3-27 36.0 13.0 0.0 1.0 31.0 5.0 0.0 15.0 13.0 0.0 382.0 
2018-3-28 18.0 14.0 3.0 0.0 21.0 3.0 0.0 7.0 0.0 0.0 351.0 
2018-3-29 17.0 17.0 0.0 0.0 28.0 6.0 0.0 3.0 2.0 0.0 301.0 
2018-3-30 31.0 25.0 0.0 0.0 32.0 6.0 0.0 8.0 7.0 0.0 322.0 
2018-3-31 34.0 17.0 0.0 0.0 26.0 8.0 0.0 1.0 3.0 0.0 274.0 
2018-4-1 35.0 12.0 0.0 0.0 20.0 7.0 0.0 4.0 2.0 1.0 266.0 
2018-4-2 20.0 8.0 0.0 0.0 17.0 3.0 0.0 4.0 1.0 0.0 233.0 
2018-4-3 17.0 7.0 1.0 0.0 20.0 4.0 0.0 5.0 3.0 1.0 417.0 
2018-4-4 16.0 7.0 0.0 0.0 26.0 5.0 0.0 4.0 4.0 0.0 474.0 
2018-4-5 43.0 12.0 0.0 0.0 26.0 3.0 0.0 4.0 11.0 0.0 389.0 
2018-4-6 47.0 15.0 1.0 0.0 27.0 10.0 0.0 1.0 18.0 0.0 319.0 
2018-4-7 36.0 14.0 1.0 1.0 30.0 12.0 0.0 1.0 13.0 0.0 225.0 
2018-4-8 18.0 8.0 0.0 0.0 12.0 4.0 0.0 1.0 5.0 0.0 122.0 
2018-4-9 17.0 5.0 1.0 0.0 11.0 3.0 0.0 0.0 3.0 1.0 113.0 
2018-4-10 16.0 8.0 0.0 1.0 13.0 3.0 0.0 6.0 0.0 0.0 120.0 
2018-4-11 12.0 8.0 0.0 1.0 13.0 4.0 0.0 2.0 3.0 2.0 81.0 
2018-4-12 17.0 11.0 1.0 0.0 19.0 4.0 0.0 5.0 11.0 0.0 163.0 
2018-4-13 11.0 8.0 0.0 0.0 11.0 5.0 0.0 7.0 4.0 0.0 162.0 
2018-4-14 20.0 9.0 1.0 0.0 11.0 8.0 0.0 3.0 6.0 0.0 134.0 
2018-4-15 19.0 9.0 0.0 0.0 19.0 3.0 0.0 2.0 6.0 0.0 141.0 
