firefox/57.0 firefox/56.0 firefox/45.0 firefox/58.0 firefox/52.0 firefox/48.0 firefox/55.0 firefox/54.0 firefox/53.0 firefox/47.0 firefox/51.0 firefox/50.0 firefox/49.0 firefox/42.0 firefox/43.0 firefox/38.0 firefox/59.0 firefox/39.0 firefox/40.0 firefox/41.0 firefox/46.0 firefox/44.0 firefox/55.2.2 firefox/37.0 firefox/56.0.2 firefox/34.0 firefox/35.0 firefox/36.0 firefox/52.9 firefox/ firefox/31.0 firefox/33.0 firefox/57.0.4 firefox/30.0 firefox/57.0.2 firefox/29.0 firefox/56.0.3 firefox/32.0 firefox/56.0.1 firefox/51.0.1 firefox/49.0.2 firefox/27.0 firefox/52.0; firefox/28.0 firefox/57.0.1 firefox/54.0.1 firefox/43.0.4 firefox/50.1.0 firefox/55.0.3 firefox/60.0 firefox/35.0.1 firefox/23.0 firefox/24.0 firefox/26.0 firefox/55.0.2 firefox/10.0.2 firefox/52.0.2 firefox/25.0 firefox/33.0.2 firefox/45.9 firefox/57.0.3 firefox/47.0.1 firefox/48.0.2 firefox/50.0.2 firefox/52.1 firefox/52.4.0 firefox/52.5 firefox/22.0 firefox/33.0.1 firefox/36.04 firefox/38.0.5 firefox/46.0.1 firefox/49.0.1 firefox/50.1 firefox/53.0.2 firefox/53.0.3 firefox/55.2.0 firefox/58.0.1 firefox/12.0 firefox/45.9.0esr firefox/52.0.1 firefox/24.7 firefox/37.0.1 firefox/41.0.2 firefox/44.0.1 firefox/52.5.3 firefox/55.0.1 firefox/36.0.4 firefox/38.1.0 firefox/38.8.0 firefox/38.9 firefox/41.0.1 firefox/45.4.0.001 firefox/50.0.1 firefox/52.5.0 firefox/11.0 firefox/17.0 firefox/17.0.1 firefox/21.0 firefox/3.0.10 firefox/3.6.3 firefox/31.9 firefox/37.0.2 firefox/38.0.1 firefox/40.0.2 firefox/40.0.3 firefox/40.1.0 firefox/43.0.3 firefox/44.0.2 firefox/45.0.1 firefox/45.0.2 firefox/5.0 firefox/50.01510500036110 firefox/50.01511803904529 firefox/52.3 firefox/52.4 firefox/52.5.2 firefox/8.0 
2017-10-28 0 13 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-10-29 26 2225 4 3 80 26 55 26 9 5 8 4 4 2 7 1 0 2 2 2 2 1 0 1 5 0 1 0 1 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-10-30 32 2850 22 3 123 39 65 20 17 13 18 11 8 4 8 4 0 2 2 6 4 4 0 1 2 0 0 2 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 
2017-10-31 32 3233 13 1 123 38 76 26 18 7 7 17 8 6 6 6 0 3 3 3 4 4 1 2 6 0 0 2 3 2 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-11-1 30 2890 21 1 127 38 53 34 16 8 4 12 10 3 8 4 0 1 0 1 4 7 1 2 6 1 2 1 1 1 1 1 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-11-2 37 3135 26 2 173 42 61 19 25 11 6 16 10 5 9 11 0 4 2 0 1 3 2 2 4 3 1 1 1 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-11-3 32 2986 14 0 143 29 55 39 20 11 8 11 11 8 6 12 0 3 3 1 2 1 1 1 2 2 2 1 0 0 1 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-11-4 28 2467 9 5 72 29 42 27 9 10 4 6 8 4 5 1 0 1 0 4 2 2 2 1 5 1 2 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-11-5 29 2625 5 4 76 21 61 29 7 14 8 11 2 8 6 2 0 3 4 1 4 5 2 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-11-6 34 3315 19 3 194 38 67 21 20 19 15 6 14 11 8 11 0 6 1 6 0 4 1 1 3 0 2 1 2 1 2 3 0 1 0 0 0 2 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 
