('False', 'True') ('True', 'False') 
2017-12-01 00:00:00 8 0 
2018-01-18 00:00:00 0 1 
2018-01-11 00:00:00 2 4 
2018-01-23 00:00:00 1 1 
2018-01-09 00:00:00 13 0 
2018-02-03 00:00:00 3 0 
2018-01-08 00:00:00 1 0 
2017-12-26 00:00:00 0 2 
2017-11-22 00:00:00 5 0 
2017-12-07 00:00:00 2 0 
2017-12-14 00:00:00 0 3 
2017-12-04 00:00:00 9 0 
2017-11-24 00:00:00 7 0 
2017-12-10 00:00:00 8 0 
2017-12-09 00:00:00 3 2 
2017-12-16 00:00:00 1 3 
2018-01-20 00:00:00 4 0 
2017-12-29 00:00:00 9 3 
2017-12-23 00:00:00 3 0 
2017-11-25 00:00:00 3 1 
2017-12-11 00:00:00 4 2 
2017-11-28 00:00:00 5 0 
2018-01-10 00:00:00 1 0 
2017-12-13 00:00:00 4 1 
2017-12-28 00:00:00 6 2 
2017-11-23 00:00:00 9 0 
2018-01-26 00:00:00 0 1 
2017-12-25 00:00:00 0 1 
2017-12-06 00:00:00 5 0 
2017-11-26 00:00:00 2 0 
2017-11-29 00:00:00 5 1 
2017-12-20 00:00:00 8 0 
2018-01-16 00:00:00 1 0 
2017-12-21 00:00:00 4 0 
2017-12-18 00:00:00 0 2 
2018-01-21 00:00:00 1 0 
2017-12-31 00:00:00 4 0 
2018-02-01 00:00:00 0 1 
2017-11-27 00:00:00 9 2 
2017-12-02 00:00:00 1 0 
2017-12-22 00:00:00 2 2 
2018-01-19 00:00:00 1 0 
2018-01-30 00:00:00 1 0 
2017-12-08 00:00:00 10 0 
2018-01-13 00:00:00 3 2 
2017-12-30 00:00:00 7 0 
2017-12-27 00:00:00 4 1 
