safari/604.1 safari/602.1 safari/604.3.5 safari/604.4.7 safari/601.1 safari/603.3.8 safari/604.1.38 safari/537.86.7 safari/604.5.6 safari/537 safari/601.7.7 safari/603.2.4 safari/600.1.4 safari/603.1.30 safari/602.4.8 safari/603.2.5 safari/602.3.12 safari/602.1.50 safari/602.2.14 safari/601.6.17 safari/537.36 safari/537.35+ safari/600.8.9 safari/601.7.8 safari/601.5.17 safari/601.4.4 safari/534.30 safari/601.3.9 safari/601.2.7 safari/604.5.2 safari/600.7.12 safari/600.6.3 safari/604.4.6 safari/601.1.46 safari/601.1.56 safari/604.4.5 safari/600.1.25 safari/534.30; safari/7046a194a safari/605.1.15 safari/537.86.6 safari/604.5.5 safari/600.3.18 safari/604.5.3 safari/600.5.17 safari/604.3.4 safari/600.4.10 safari/537.86.4 safari/600.2.5 safari/537.85.16 safari/537.86.5 safari/602.1.1 safari/8536.25 safari/538.1 safari/537.16 safari/9537.53 safari/600.4.8 safari/604.3.1 safari/7534.48.3 safari safari/537.86.2 safari/6533.18.5 safari/537.21 safari/537.77.4 safari/537.78.2 safari/537.85.17 safari/537.86.3 safari/602.4.2 safari/602.4.6 safari/605.1 safari/525.20.1 safari/531.21.10 safari/533.4 safari/537.86.1 safari/600.1.4) safari/603.1.13 safari/604.5.100 safari/605.1.12 safari/10603.3.8 safari/13604.3.5 safari/535.19 safari/600.4.5 safari/604.1.31 safari/604.4.7.1.3 safari/604.5.1 safari/605.1.13 safari/999.9 
2017-10-28 7 5 0 0 1 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-10-29 1447 473 6 0 133 92 400 19 0 9 11 25 2 8 6 10 2 2 4 1 1 0 0 4 0 3 2 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-10-30 2212 687 9 0 159 110 536 21 0 21 15 25 7 5 12 9 10 14 5 2 0 0 5 4 1 0 1 3 0 0 3 1 0 0 3 0 1 0 1 0 1 0 0 0 1 2 0 0 1 1 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-10-31 2770 808 13 0 217 116 621 26 0 14 14 25 13 13 15 10 9 9 7 7 4 10 4 0 3 2 1 2 0 0 2 3 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-11-1 2028 610 167 0 197 101 420 24 0 12 9 18 15 12 13 16 6 6 4 9 0 2 3 3 2 1 0 0 0 0 0 0 0 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-11-2 2918 851 414 0 217 141 326 29 0 17 32 26 13 26 21 18 16 14 9 4 2 2 3 3 2 3 1 5 2 0 0 1 0 0 0 4 1 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-11-3 1937 529 338 0 186 95 186 26 0 18 11 19 13 19 7 9 4 7 4 5 2 1 3 2 2 4 0 3 1 0 2 0 0 0 0 4 2 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-11-4 2498 714 370 0 213 97 168 11 0 19 13 20 18 10 9 10 5 3 3 5 3 3 1 3 1 3 1 8 4 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-11-5 2445 631 367 0 183 95 164 20 0 11 14 16 8 14 8 10 3 4 5 2 3 4 3 2 0 3 2 1 1 0 2 0 0 1 0 2 0 2 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-11-6 2279 640 491 0 153 111 164 20 0 13 16 25 9 10 20 9 8 4 1 4 0 1 3 4 1 5 1 3 1 0 0 0 0 1 1 8 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 
