02a08416a93a8b351bbaa1ce9daf65744windows nt 6.1; win64; x64Google Inc.ANGLE (Intel(R) HD Graphics Family chrome
09bef0221eb0ecfdae228cdc3446a6b52windows nt 10.0; win64; x64Google Inc.ANGLE (Intel(R) HD Graphics chrome
0cfb0dbf65ce0bda5b3c7355349187ec8windows nt 10.0; win64; x64; Google Inc.ANGLE (NVIDIA GeForce GT 640 firefox
11bf7521209b0faa1113e011ce5829134windows nt 6.1Google Inc.ANGLE (Intel(R) HD Graphics Family chrome
122943c140ef54fd7b262b48b364bf6d4windows nt 6.1; win64; x64Google Inc.ANGLE (Intel(R) HD Graphics 4600 chrome
1bde300988576cfeb46aed6d738519234windows nt 10.0; win64; x64Google Inc.ANGLE (Intel(R) HD Graphics 4600 chrome
1d0dcc922b55a0d0b376751e906edd7e4windows nt 6.3; wow64; Google Inc.ANGLE (Intel(R) HD Graphics firefox
1e5de3a1d9e1bc8bc0adeccdfdbdbe0d4windows nt 10.0; win64; x64; Google Inc.ANGLE (Intel(R) HD Graphics firefox
21b20c59ebb3001ed5b092eb4e6583934windows nt 6.1; win64; x64; Google Inc.ANGLE (Intel(R) HD Graphics 3000 firefox
21b20c59ebb3001ed5b092eb4e6583934windows nt 6.1; win64; x64Google Inc.ANGLE (Intel(R) HD Graphics 3000 chrome
24a5258b6a9094f4dda686142d3746fe6windows nt 10.0; win64; x64; Google Inc.ANGLE (AMD Radeon R9 200 / HD 7900 Series firefox
29cd9ea84e30211eac8c28f4eed659724windows nt 10.0; win64; x64; Google Inc.ANGLE (Intel(R) HD Graphics 5500 firefox
2b8f6346d658e62861ce7a776ae8609b2windows nt 10.0; win64; x64; Google Inc.ANGLE (Intel(R) HD Graphics firefox
2becf2cbe5d2dcbc23ba8e9f988f5d734windows nt 10.0; win64; x64Google Inc.ANGLE (Intel(R) HD Graphics 3000 chrome
2ecb2f6738eb854a3dc578b8d480134a4windows nt 6.1; win64; x64Google Inc.ANGLE (Intel(R) HD Graphics Family chrome
2ef77446ad63c969e3387ceb60e517638windows nt 6.1; win64; x64Google Inc.ANGLE (NVIDIA GeForce GT 630 chrome
2fee70a348136ac9539cce4eb67a6b108windows nt 10.0; win64; x64; Google Inc.ANGLE (NVIDIA GeForce GTX 1050 Ti firefox
5963e2093df0ada9ffe8a73ca247fa254windows nt 10.0; win64; x64; Google Inc.ANGLE (Intel(R) Iris(TM) Graphics 6100 firefox
5ac8c2da5ff1c56b4735cce1a7e93f682windows nt 6.1; win64; x64Google Inc.ANGLE (Intel(R) HD Graphics chrome
5cd9ab8519e68ee926995b9a761794664windows nt 6.1; win64; x64Google Inc.ANGLE (Intel(R) HD Graphics chrome
61b668ec639e84fe48d809d30bd305874windows nt 10.0Google Inc.ANGLE (Intel(R) HD Graphics chrome
62c2a095735e54deeb6e1389dfafdc7c8windows nt 6.1; win64; x64; Google Inc.ANGLE (AMD FirePro V4900 firefox
64300ab7ba671a77e6e66295e8a0cbdf4windows nt 10.0; win64; x64; Google Inc.ANGLE (Intel(R) HD Graphics Family firefox
646949035101ebcc5b97d4fdbd9eafe84windows nt 6.3; win64; x64; Google Inc.ANGLE (Intel(R) HD Graphics 4000 firefox
789cd5a31d6f3d7a15af6f4531147b7c4windows nt 10.0; win64; x64Google Inc.ANGLE (Intel(R) HD Graphics chrome
7a73ee86482b79c9a9ba4bbf0b83de394windows nt 10.0; win64; x64; Google Inc.ANGLE (Intel(R) HD Graphics 520 firefox
802875a7cd448c3864705c457706469e2windows nt 6.1; win64; x64; Google Inc.ANGLE (Software Adapter firefox
827960548b15937d2be87832e963f2e24windows nt 6.1; win64; x64Google Inc.ANGLE (Intel(R) HD Graphics chrome
83168dbe4faeb602f7dde6e23aedf99d8windows nt 6.1; win64; x64; Google Inc.ANGLE (NVIDIA GeForce GTX 560 firefox
83b124d209d35b04c67708cc320451884windows nt 10.0; win64; x64; Google Inc.ANGLE (Intel(R) HD Graphics 3000 firefox
84549877619bc8578ac486a9a0f0ad614windows nt 6.1; win64; x64; Google Inc.ANGLE (Intel(R) HD Graphics 3000 firefox
8ca41010f3ba4eb2df748aa06b8972d52windows nt 6.1; win64; x64; Google Inc.ANGLE (Software Adapter firefox
8fb5f915f1ef8f95ad6f335d4b2a613c6windows nt 10.0; win64; x64; Google Inc.ANGLE (AMD Radeon R9 200 / HD 7900 Series firefox
94294adf6f5695575706809cf8a2bde94windows nt 10.0; win64; x64; Google Inc.ANGLE (Intel(R) HD Graphics firefox
96df1690afe35fe2270748551ed3eb9c4windows nt 6.1; win64; x64Google Inc.ANGLE (Intel(R) HD Graphics 4000 chrome
9a53ce6b625c191f3645a5997b5810894windows nt 6.1; win64; x64Google Inc.ANGLE (Intel(R) HD Graphics chrome
9ddd407fbe2d5d21f3f6a958d7f2598a4windows nt 10.0; win64; x64Google Inc.ANGLE (Intel(R) HD Graphics 4600 chrome
a205b06fdf383c1e6973817058678fa18windows nt 10.0; win64; x64; Google Inc.ANGLE (Intel(R) HD Graphics 3000 firefox
a56a5a08ac62d6d33274e47e9774f6124windows nt 6.3; win64; x64; Google Inc.ANGLE (Intel(R) HD Graphics Family firefox
a9ac25e571caf3ac1a1753af4755cc0c8windows nt 10.0; win64; x64; Google Inc.ANGLE (NVIDIA GeForce GTX 1060 6GB firefox
aa7f6e0731c3c139b6685f8e81d953264windows nt 6.1; win64; x64Google Inc.ANGLE (Intel(R) HD Graphics chrome
ab1a5a1e2232bc7eaa73608d46f9ca134windows nt 10.0; win64; x64; Google Inc.ANGLE (Intel(R) HD Graphics 4600 firefox
ae04902fa6475a60ede808f5330affe24windows nt 10.0; win64; x64; Google Inc.ANGLE (NVIDIA GeForce GT 520 firefox
ae0bf60b25390e05f64ef827ac8c202a4windows nt 10.0; win64; x64Google Inc.ANGLE (Intel(R) HD Graphics 630 chrome
b3cad2a4885ea7ea6a51cfada09fa5f44windows nt 10.0; wow64Google Inc.ANGLE (AMD Radeon HD 8330 chrome
bc76e2055d7cb2c00d07ff991aa785304windows nt 10.0; win64; x64; Google Inc.ANGLE (Intel(R) HD Graphics firefox
bcd509880ba010ae4271d46d188ec2f64windows nt 6.1; win64; x64; Google Inc.ANGLE (Intel(R) HD Graphics 4600 firefox
c6c6c9ec0194a89d097f1158cac592284windows nt 6.1; win64; x64Google Inc.ANGLE (Intel(R) Graphics Media Accelerator HD chrome
c9197960461ed49b0594c5d6340ef3318windows nt 6.1; win64; x64; Google Inc.ANGLE (NVIDIA Quadro K600 firefox
cb46d4d64c987ef5510163c65b6ab1964windows nt 10.0; win64; x64; Google Inc.ANGLE (Intel(R) HD Graphics Family firefox
cd06ae07e50e6ed25826fc785c21f7648windows nt 10.0; win64; x64; Google Inc.ANGLE (Intel(R) HD Graphics 4600 firefox
d3e5f150a60641c197e7c35904e11cd54windows nt 6.3; win64; x64; Google Inc.ANGLE (Intel(R) HD Graphics firefox
d44c5db5ef4a12333aa92bbd7ea4577b4windows nt 10.0; win64; x64; Google Inc.ANGLE (NVIDIA GeForce GT 720 firefox
d8ab020fbecc1b367a8015e214015fe44windows nt 10.0; win64; x64; Google Inc.ANGLE (Intel(R) HD Graphics firefox
de4452b72b281f3e35b7d833ed93cbfe2windows nt 6.1Google Inc.ANGLE (Intel(R) HD Graphics chrome
e339caea70c120115e56869444a784af4windows nt 6.1; win64; x64Google Inc.ANGLE (Intel(R) HD Graphics 520 chrome
e4cc9c6864c591e8797f99fc679069634windows nt 6.1; win64; x64; Google Inc.ANGLE (Intel(R) HD Graphics 3000 firefox
ec65147208ea61711f2319f22d398ef74windows nt 6.1; win64; x64; Google Inc.ANGLE (Intel(R) HD Graphics firefox
eefbec22bc7a51260c5ad84184b047784windows nt 10.0; win64; x64; Google Inc.ANGLE (Intel(R) HD Graphics firefox
f24a2b5f7e2fb94679f5502a0694ebb14windows nt 6.1; win64; x64Google Inc.ANGLE (Intel(R) HD Graphics chrome
f468ad866296f15018b75abbec9acae62windows nt 6.1; win64; x64; Google Inc.ANGLE (NVIDIA GeForce GT 630 firefox
f6aad80dda6223e8330d0ef26aaab2204windows nt 10.0; win64; x64; Google Inc.ANGLE (Intel(R) HD Graphics 3000 firefox
f6e517df35556d1c36765fa26d34e4dd4windows nt 10.0; win64; x64Google Inc.ANGLE (Intel(R) HD Graphics Family chrome
f966d539cf5000a53e851aaf3b5b0ba68windows nt 10.0; win64; x64; Google Inc.ANGLE (NVIDIA GeForce GT 635 firefox
