new-user return-user
2017-11-21 395 0
2017-11-22 20869 81
2017-11-23 19177 2467
2017-11-24 20279 4522
2017-11-25 15293 3786
2017-11-26 17904 5253
2017-11-27 17264 6354
2017-11-28 14186 6284
2017-11-29 10916 5494
2017-11-30 15146 5893
2017-12-1 15603 7029
2017-12-2 10734 5234
2017-12-3 12563 7672
2017-12-4 14044 7339
2017-12-5 15936 10388
2017-12-6 12810 9511
2017-12-7 8550 7040
2017-12-8 13157 9630
2017-12-9 11274 9240
2017-12-10 11004 8224
2017-12-11 15116 10414
2017-12-12 10413 6412
2017-12-13 12065 7493
2017-12-14 6421 4714
2017-12-15 3003 2305
2017-12-16 12253 7375
2017-12-17 6475 4059
2017-12-18 10414 7425
2017-12-19 12471 8925
2017-12-20 14659 10956
2017-12-21 13391 8772
2017-12-22 15701 10086
2017-12-23 7540 5326
2017-12-24 3776 2911
2017-12-25 5235 3765
2017-12-26 12060 8749
2017-12-27 9411 5920
2017-12-28 14670 9938
2017-12-29 11304 9418
2017-12-30 7074 4868
2017-12-31 6452 4580
2018-1-1 162 125
2018-1-2 0 0
2018-1-3 0 0
2018-1-4 0 0
2018-1-5 0 0
2018-1-6 6481 3473
2018-1-7 6946 3570
2018-1-8 7095 3842
2018-1-9 13248 7681
2018-1-10 11054 7184
2018-1-11 14638 10496
2018-1-12 12756 9259
2018-1-13 12272 10392
2018-1-14 8986 7896
2018-1-15 6463 6613
2018-1-16 11483 10810
2018-1-17 11127 10202
2018-1-18 11075 8922
2018-1-19 12351 10352
2018-1-20 12154 9503
2018-1-21 11662 9956
2018-1-22 8356 8808
2018-1-23 8619 10756
2018-1-24 4953 5280
2018-1-25 6757 7251
2018-1-26 9428 10413
2018-1-27 5713 7457
2018-1-28 6470 5357
2018-1-29 6017 5355
2018-1-30 9836 8277
2018-1-31 8102 8610
2018-2-1 7207 7481
2018-2-2 5659 6588
2018-2-3 6351 7279
2018-2-4 7010 7753
2018-2-5 4759 5687
2018-2-6 4862 5199
2018-2-7 4623 5146
2018-2-8 4659 5451
2018-2-9 5741 6901
2018-2-10 5598 6205
2018-2-11 4851 5066
2018-2-12 3914 4594
2018-2-13 4724 5506
2018-2-14 3948 4489
2018-2-15 4415 4816
2018-2-16 4309 4302
2018-2-17 6387 4023
2018-2-18 4570 3037
2018-2-19 3927 3884
2018-2-20 3715 3828
2018-2-21 8574 8729
2018-2-22 7556 8981
2018-2-23 7585 8818
2018-2-24 6109 7727
2018-2-25 6618 8603
2018-2-26 7663 8378
2018-2-27 7353 8806
2018-2-28 6738 9180
2018-3-1 6911 8364
2018-3-2 5801 7522
2018-3-3 6713 7631
2018-3-4 7029 8061
2018-3-5 6213 8221
2018-3-6 6790 7468
2018-3-7 5750 7198
2018-3-8 4616 6904
2018-3-9 4693 6329
2018-3-10 4786 5573
2018-3-11 5505 7039
2018-3-12 4875 7338
2018-3-13 5177 6826
2018-3-14 5017 6790
2018-3-15 5521 7407
2018-3-16 5614 7854
2018-3-17 5380 8488
2018-3-18 4782 7336
2018-3-19 4376 6615
2018-3-20 5159 6102
2018-3-21 5279 5581
2018-3-22 5440 6407
2018-3-23 5079 6122
2018-3-24 6035 6160
2018-3-25 5664 7217
2018-3-26 4699 5936
2018-3-27 5346 5901
2018-3-28 3934 5217
2018-3-29 3995 5475
2018-3-30 5446 5520
2018-3-31 5317 5560
2018-4-1 4273 4727
2018-4-2 4237 3803
2018-4-3 3808 4785
2018-4-4 4918 5432
2018-4-5 4447 6158
2018-4-6 4228 6294
2018-4-7 3276 4453
2018-4-8 1602 2543
2018-4-9 1459 2272
2018-4-10 1229 2491
2018-4-11 805 1678
2018-4-12 1634 3070
2018-4-13 2141 2755
2018-4-14 1721 2388
2018-4-15 1456 2717
2018-4-16 4499 7073
2018-4-17 3956 6972
2018-4-18 4968 6525
2018-4-19 4352 5817
2018-4-20 3916 5535
2018-4-21 3325 5132
2018-4-22 3260 4947
2018-4-23 4169 4594
2018-4-24 2781 3783
2018-4-25 1702 3066
2018-4-26 1613 3039
2018-4-27 3232 5590
2018-4-28 3660 4768
2018-4-29 1393 2568
2018-4-30 2541 3838
2018-5-1 2910 4075
2018-5-2 2177 3418
2018-5-3 3440 5360
2018-5-4 2521 4451
2018-5-5 1425 2779
2018-5-6 2640 3298
2018-5-7 2315 3471
2018-5-8 3375 4284
2018-5-9 2583 3660
2018-5-10 3208 5432
2018-5-11 2674 4543
2018-5-12 2738 4678
2018-5-13 2929 4219
2018-5-14 3072 4486
2018-5-15 2428 4849
2018-5-16 2461 4777
2018-5-17 1644 3430
2018-5-18 2647 4771
2018-5-19 3107 5179
2018-5-20 2417 3867
2018-5-21 2591 4857
2018-5-22 2432 3910
2018-5-23 1126 2432
2018-5-24 1685 2982
2018-5-25 1835 2689
2018-5-26 2302 3015
2018-5-27 1474 2187
2018-5-28 2290 2876
2018-5-29 2217 2758
2018-5-30 1948 2966
2018-5-31 2139 3515
2018-6-1 2774 3359
2018-6-2 3815 3363
2018-6-3 3512 3268
2018-6-4 4046 3492
2018-6-5 5011 4004
2018-6-6 3471 3874
2018-6-7 3250 3665
2018-6-8 3346 4242
2018-6-9 3273 3445
2018-6-10 1856 2149
2018-6-11 1686 1956
2018-6-12 2533 3187
2018-6-13 2418 3728
2018-6-14 1948 3350
2018-6-15 2114 3509
2018-6-16 2543 3524
2018-6-17 3136 3723
2018-6-18 2541 3121
2018-6-19 2705 3961
2018-6-20 1996 2993
2018-6-21 1839 2217
2018-6-22 3349 3678
2018-6-23 2051 2291
2018-6-24 2775 3219
2018-6-25 3402 3742
2018-6-26 3267 3584
2018-6-27 1772 2653
2018-6-28 1248 2131
2018-6-29 1503 2479
2018-6-30 2738 3157
2018-7-1 2954 2712
2018-7-2 2202 3216
2018-7-3 2322 3255
2018-7-4 1569 2598
2018-7-5 2204 3751
2018-7-6 2062 3400
2018-7-7 1150 1856
2018-7-8 2407 2748
2018-7-9 1922 2723
2018-7-10 2528 3742
2018-7-11 2242 3522
2018-7-12 405 631
2018-7-13 55 178
2018-7-14 42 141
2018-7-15 47 157
2018-7-16 44 100
2018-7-17 38 82
2018-7-18 54 101
2018-7-19 29 95
2018-7-20 31 84
2018-7-21 21 78
2018-7-22 53 116
2018-7-23 51 97
2018-7-24 62 142
2018-7-25 47 128
2018-7-26 45 119
2018-7-27 40 100
2018-7-28 37 76
2018-7-29 34 78
2018-7-30 0 0
2018-7-31 0 0
