2018-02-20 00:00:00 [8301, 6307] 0.568250273823
2018-02-21 00:00:00 [59305, 55828] 0.515099927909
2018-02-22 00:00:00 [59231, 46419] 0.560634169427
2018-02-23 00:00:00 [52322, 40621] 0.562947182682
2018-02-24 00:00:00 [41656, 26991] 0.606814573106
2018-02-25 00:00:00 [45344, 57943] 0.439009749533
2018-02-26 00:00:00 [54199, 54804] 0.497224847023
2018-02-27 00:00:00 [52291, 62085] 0.457185073792
2018-02-28 00:00:00 [55329, 54633] 0.503164729634
2018-03-01 00:00:00 [52587, 56652] 0.481394007635
2018-03-02 00:00:00 [49169, 35677] 0.579508757042
2018-03-03 00:00:00 [41211, 29163] 0.585599795379
2018-03-04 00:00:00 [40390, 58661] 0.407769734783
2018-03-05 00:00:00 [49518, 59593] 0.45383141938
2018-03-06 00:00:00 [53035, 43595] 0.548846114043
2018-03-07 00:00:00 [50051, 33886] 0.596292457438
2018-03-08 00:00:00 [46504, 28731] 0.618116568087
2018-03-09 00:00:00 [43188, 24342] 0.639537983119
2018-03-10 00:00:00 [33238, 18833] 0.638320754355
2018-03-11 00:00:00 [36520, 25209] 0.591618202142
2018-03-12 00:00:00 [40655, 65770] 0.382006107588
2018-03-13 00:00:00 [42731, 51614] 0.452922783401
2018-03-14 00:00:00 [48396, 40391] 0.545079797718
2018-03-15 00:00:00 [47510, 40792] 0.538039908496
2018-03-16 00:00:00 [44490, 43687] 0.504553341574
2018-03-17 00:00:00 [37855, 41299] 0.478244940243
2018-03-18 00:00:00 [32852, 56799] 0.366443207549
2018-03-19 00:00:00 [38190, 62401] 0.379656231671
2018-03-20 00:00:00 [38977, 58112] 0.401456395678
2018-03-21 00:00:00 [36466, 62815] 0.367300893424
2018-03-22 00:00:00 [42507, 52695] 0.446492720741
2018-03-23 00:00:00 [43558, 50536] 0.462920058665
2018-03-24 00:00:00 [34388, 30195] 0.53246210303
2018-03-25 00:00:00 [33545, 39533] 0.459030077451
2018-03-26 00:00:00 [40395, 48764] 0.453066992676
2018-03-27 00:00:00 [38862, 53460] 0.420939754338
2018-03-28 00:00:00 [32572, 63986] 0.337330930632
2018-03-29 00:00:00 [30541, 62004] 0.330012426387
2018-03-30 00:00:00 [36695, 50656] 0.420086776339
2018-03-31 00:00:00 [28809, 23707] 0.548575672176
2018-04-01 00:00:00 [27284, 18901] 0.590754573996
2018-04-02 00:00:00 [27278, 69901] 0.280698504821
2018-04-03 00:00:00 [31051, 70674] 0.305244531826
2018-04-04 00:00:00 [40258, 56779] 0.414872677432
2018-04-05 00:00:00 [30326, 44013] 0.407941995453
2018-04-06 00:00:00 [19036, 30467] 0.384542350969
2018-04-07 00:00:00 [14287, 15593] 0.478145917001
2018-04-08 00:00:00 [6301, 31619] 0.166165611814
2018-04-09 00:00:00 [5264, 40257] 0.115638935876
2018-04-10 00:00:00 [5293, 40281] 0.116140782025
2018-04-11 00:00:00 [3432, 46925] 0.0681533848323
2018-04-12 00:00:00 [6960, 29933] 0.188653674139
2018-04-13 00:00:00 [7015, 30280] 0.18809491889
2018-04-14 00:00:00 [6120, 30989] 0.164919561292
2018-04-15 00:00:00 [7582, 43000] 0.149895219643
2018-04-16 00:00:00 [18898, 49875] 0.2747880709
2018-04-17 00:00:00 [18579, 45525] 0.2898259079
2018-04-18 00:00:00 [19221, 32208] 0.373738552179
2018-04-19 00:00:00 [15474, 61451] 0.201156971076
2018-04-20 00:00:00 [14997, 58144] 0.205042315528
2018-04-21 00:00:00 [14818, 20456] 0.420082780518
2018-04-22 00:00:00 [13160, 60255] 0.179254920657
2018-04-23 00:00:00 [14722, 45691] 0.243689272177
2018-04-24 00:00:00 [10126, 64557] 0.135586411901
2018-04-25 00:00:00 [7194, 78868] 0.083590899584
2018-04-26 00:00:00 [7083, 79407] 0.0818938605619
2018-04-27 00:00:00 [14926, 50347] 0.228670353745
2018-04-28 00:00:00 [14717, 27622] 0.347599140273
2018-04-29 00:00:00 [6242, 71248] 0.0805523293328
2018-04-30 00:00:00 [10893, 51946] 0.17334776174
2018-05-01 00:00:00 [12909, 23970] 0.350036606199
2018-05-02 00:00:00 [8001, 67747] 0.105626551196
2018-05-03 00:00:00 [14597, 29324] 0.332346713417
2018-05-04 00:00:00 [11384, 22441] 0.336555801922
2018-05-05 00:00:00 [7242, 10909] 0.398986281748
2018-05-06 00:00:00 [9851, 14717] 0.400968739824
2018-05-07 00:00:00 [9819, 15835] 0.382747329851
2018-05-08 00:00:00 [12639, 21764] 0.367380751679
2018-05-09 00:00:00 [10369, 17296] 0.374805711187
2018-05-10 00:00:00 [14324, 29189] 0.329188978007
2018-05-11 00:00:00 [11609, 37603] 0.235897748517
2018-05-12 00:00:00 [12644, 18668] 0.403806847215
2018-05-13 00:00:00 [12439, 19600] 0.388245575705
2018-05-14 00:00:00 [12695, 23475] 0.350981476362
2018-05-15 00:00:00 [11600, 34314] 0.252646251688
2018-05-16 00:00:00 [11720, 37328] 0.238949600391
2018-05-17 00:00:00 [7798, 58313] 0.117953139417
2018-05-18 00:00:00 [11865, 47152] 0.20104376705
2018-05-19 00:00:00 [13843, 32227] 0.300477534187
2018-05-20 00:00:00 [10152, 46378] 0.179586060499
2018-05-21 00:00:00 [12350, 40406] 0.234096595648
2018-05-22 00:00:00 [9945, 51527] 0.161780973451
2018-05-23 00:00:00 [5581, 65903] 0.0780734150299
2018-05-24 00:00:00 [7252, 59835] 0.10809843934
2018-05-25 00:00:00 [7245, 61644] 0.105169185211
2018-05-26 00:00:00 [8843, 52356] 0.144495825095
2018-05-27 00:00:00 [5869, 60188] 0.0888475104834
2018-05-28 00:00:00 [8268, 51376] 0.138622493461
2018-05-29 00:00:00 [7499, 53395] 0.123148421848
2018-05-30 00:00:00 [7795, 56363] 0.121496929455
2018-05-31 00:00:00 [9985, 44753] 0.182414410464
2018-06-01 00:00:00 [10825, 35278] 0.234800338373
2018-06-02 00:00:00 [11606, 39152] 0.228653611253
2018-06-03 00:00:00 [11657, 28639] 0.289284296208
2018-06-04 00:00:00 [12449, 26609] 0.318731117825
2018-06-05 00:00:00 [14368, 25276] 0.362425587731
2018-06-06 00:00:00 [11523, 39987] 0.223704135119
2018-06-07 00:00:00 [10608, 42673] 0.199095362324
2018-06-08 00:00:00 [12011, 38403] 0.238247312255
2018-06-09 00:00:00 [10763, 34237] 0.239177777778
2018-06-10 00:00:00 [6029, 54756] 0.0991856543555
2018-06-11 00:00:00 [5536, 56548] 0.0891695122737
2018-06-12 00:00:00 [9088, 40670] 0.182643996945
2018-06-13 00:00:00 [9423, 41518] 0.18497870085
2018-06-14 00:00:00 [7994, 47683] 0.14357813819
2018-06-15 00:00:00 [9038, 38095] 0.191755245794
2018-06-16 00:00:00 [9938, 19485] 0.337762974544
2018-06-17 00:00:00 [10957, 23476] 0.318212180176
2018-06-18 00:00:00 [9106, 20838] 0.304100988512
2018-06-19 00:00:00 [10355, 29477] 0.259966860815
2018-06-20 00:00:00 [7524, 44812] 0.143763375115
2018-06-21 00:00:00 [5853, 54802] 0.0964965790124
2018-06-22 00:00:00 [10801, 29243] 0.269728298871
2018-06-23 00:00:00 [7346, 11696] 0.385778804747
2018-06-24 00:00:00 [9713, 19095] 0.337163287976
2018-06-25 00:00:00 [10930, 25907] 0.296712544453
2018-06-26 00:00:00 [9901, 40770] 0.195397762034
2018-06-27 00:00:00 [6483, 50350] 0.11407105027
2018-06-28 00:00:00 [4672, 60640] 0.0715335619794
2018-06-29 00:00:00 [5808, 59067] 0.0895260115607
2018-06-30 00:00:00 [9191, 39168] 0.190057693501
2018-07-01 00:00:00 [8772, 32573] 0.212165920909
2018-07-02 00:00:00 [8291, 33065] 0.200478769707
2018-07-03 00:00:00 [8254, 34733] 0.192011538372
2018-07-04 00:00:00 [6117, 43771] 0.122614656831
2018-07-05 00:00:00 [9107, 28137] 0.244522607668
2018-07-06 00:00:00 [8698, 19717] 0.306105929967
2018-07-07 00:00:00 [5257, 8209] 0.390390613397
2018-07-08 00:00:00 [7813, 27941] 0.218521004643
2018-07-09 00:00:00 [7172, 26240] 0.214653417934
2018-07-10 00:00:00 [9927, 20741] 0.323692448154
2018-07-11 00:00:00 [8688, 24150] 0.26457153298
2018-07-12 00:00:00 [1591, 2728] 0.368372308405
2018-07-13 00:00:00 [317, 727] 0.303639846743
2018-07-14 00:00:00 [253, 659] 0.277412280702
2018-07-15 00:00:00 [310, 998] 0.237003058104
2018-07-16 00:00:00 [245, 888] 0.216240070609
2018-07-17 00:00:00 [181, 634] 0.222085889571
2018-07-18 00:00:00 [219, 830] 0.208770257388
2018-07-19 00:00:00 [215, 715] 0.231182795699
2018-07-20 00:00:00 [161, 767] 0.17349137931
2018-07-21 00:00:00 [161, 501] 0.243202416918
2018-07-22 00:00:00 [262, 1113] 0.190545454545
2018-07-23 00:00:00 [256, 1145] 0.18272662384
2018-07-24 00:00:00 [333, 1423] 0.189635535308
2018-07-25 00:00:00 [278, 1435] 0.162288382954
2018-07-26 00:00:00 [242, 1338] 0.153164556962
2018-07-27 00:00:00 [214, 1164] 0.155297532656
2018-07-28 00:00:00 [203, 889] 0.185897435897
2018-07-29 00:00:00 [197, 903] 0.179090909091
