Date	Chrome(3544246)	Mobile_Safari(3366834)	Firefox(3116963)	Chrome_Mobile(1609034)	Samsung_Internet(982590)	Safari(844819)	IE(740226)	Edge(645279)	Firefox_Mobile(218673)	Opera(179716)	Chrome_Mobile_WebView(55558)	Android(39740)	Amazon_Silk(22529)	Opera_Mobile(20330)	Edge_Mobile(17179)	IE_Mobile(13570)	Yandex_Browser(11331)	Vivaldi(9442)	Chromium(7789)	Mobile_Safari_UI/WKWebView(7375)	Chrome_Mobile_iOS(6767)	Pale_Moon(6589)	Coc_Coc(4954)	Iron(4236)	SeaMonkey(3895)	Maxthon(3693)	UC_Browser(2701)	BlackBerry_WebKit(2395)	agent_error(1791)	Firefox_iOS(1461)	Dragon(1203)	Puffin(985)	Facebook(808)	Sogou_Explorer(778)	HeadlessChrome(764)	Other(730)	Thunderbird(396)	Opera_Mini(386)	PhantomJS(341)	Apple_Mail(330)	QQ_Browser(282)	Mail.ru_Chromium_Browser(206)	Crosswalk(183)	MobileIron(178)	Seznam_prohle(172)	Opera_Neon(159)	Googlebot(154)	K-Meleon(147)	QQ_Browser_Mobile(113)	Iceweasel(102)	Epiphany(93)	QupZilla(92)	Konqueror(90)	Midori(63)	YandexAntivirus(49)	Avant(37)	AppEngine-Google(35)	Netscape(34)	Sleipnir(18)	Lunascape(17)	YandexSearch(16)	AOL(14)	YandexMobileBot(12)	WebKit_Nightly(11)	Nokia_Browser(10)	Opera_Coast(8)	Pinterest(8)	ThunderBrowse(8)	iCab(8)	Electron(7)	HbbTV(7)	Otter(7)	Mediapartners-Google(6)	webOS_Browser(4)	Lynx(3)	Conkeror(2)	Outlook-iOS(2)	Crazy_Browser(1)	Dolfin(1)	NSPlayer(1)	YandexBot(1)	Zune(1)	
2017-11-21	0.739	0.867	0.856	0.798	0.860	0.923	0.500	0.939	0.750	0.274	1.000	0.500	1.000	1.000	0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2017-11-22	0.923	0.864	0.878	0.779	0.814	0.824	0.549	0.907	0.603	0.855	0.755	0.568	0.899	0.789	0.754	0.433	0.836	0.923	0.981	0.838	1.000	0.000	0.969	0.667	0.833	0.806	0.667	0.467	0.000	1.000	0.389	1.000	0.821	0.903	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.429	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.667	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2017-11-23	0.936	0.885	0.894	0.796	0.836	0.815	0.602	0.910	0.546	0.911	0.785	0.682	0.867	0.877	0.737	0.610	0.933	0.953	0.823	0.880	0.907	0.000	1.000	1.000	0.650	0.818	0.278	0.000	0.000	0.700	0.333	1.000	0.826	0.802	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2017-11-24	0.924	0.865	0.881	0.773	0.817	0.792	0.670	0.896	0.550	0.853	0.792	0.645	0.798	0.829	0.660	0.557	0.927	0.963	0.942	0.667	1.000	1.000	0.963	0.455	0.730	0.826	0.615	0.583	0.000	0.000	0.000	0.000	0.828	0.000	0.000	0.750	0.000	0.000	0.000	0.500	1.000	0.000	1.000	1.000	0.000	0.875	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2017-11-25	0.928	0.921	0.878	0.806	0.843	0.805	0.673	0.908	0.580	0.869	0.726	0.675	0.822	0.880	0.750	0.551	0.949	0.889	0.875	0.808	0.870	0.750	0.969	0.600	0.929	0.925	0.968	0.545	0.000	0.000	0.000	0.000	0.882	0.000	0.000	1.000	0.000	0.000	0.000	0.600	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2017-11-26	0.911	0.876	0.876	0.789	0.827	0.758	0.691	0.901	0.588	0.883	0.847	0.657	0.897	0.806	0.687	0.507	0.863	0.906	0.944	0.759	0.793	0.708	0.952	0.812	0.812	0.966	0.615	0.583	0.000	0.714	0.000	0.667	0.571	0.818	0.000	1.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	1.000	0.846	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2017-11-27	0.895	0.809	0.860	0.737	0.776	0.749	0.580	0.859	0.570	0.826	0.732	0.584	0.843	0.773	0.697	0.489	0.795	0.762	0.857	0.750	0.718	0.000	0.933	0.750	1.000	0.628	0.526	0.231	0.000	0.000	0.000	0.400	0.773	1.000	0.000	0.000	1.000	0.000	0.000	0.500	0.824	0.000	0.000	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2017-11-28	0.933	0.885	0.890	0.801	0.824	0.808	0.566	0.923	0.548	0.854	0.829	0.657	0.915	0.895	0.741	0.591	0.870	0.925	0.879	0.667	0.889	0.400	0.929	1.000	0.550	0.881	0.857	0.412	0.000	0.500	0.500	0.667	0.750	1.000	0.000	1.000	1.000	0.000	0.000	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2017-11-29	0.933	0.899	0.880	0.781	0.833	0.831	0.566	0.932	0.583	0.921	0.752	0.738	0.875	0.796	0.732	0.600	0.926	0.967	0.894	0.849	0.981	0.000	0.942	0.750	0.500	0.920	0.000	0.000	0.000	0.000	0.000	1.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.667	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2017-11-30	0.934	0.875	0.892	0.810	0.829	0.828	0.553	0.918	0.578	0.893	0.811	0.599	0.829	0.863	0.733	0.500	0.978	0.964	0.904	0.882	0.778	1.000	0.979	0.963	0.969	0.760	0.500	0.714	0.000	0.500	0.000	0.000	1.000	0.000	0.000	0.000	0.500	0.000	0.000	0.862	0.667	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
