True False others
2017-11-21 99.748 0.252 0.000 
2017-11-22 99.952 0.048 0.000 
2017-11-23 99.972 0.028 0.000 
2017-11-24 99.976 0.024 0.000 
2017-11-25 99.974 0.026 0.000 
2017-11-26 99.991 0.009 0.000 
2017-11-27 99.992 0.008 0.000 
2017-11-28 99.980 0.020 0.000 
2017-11-29 99.982 0.018 0.000 
2017-11-30 99.995 0.005 0.000 
2017-12-1 99.991 0.009 0.000 
2017-12-2 99.994 0.006 0.000 
2017-12-3 99.995 0.005 0.000 
2017-12-4 99.986 0.014 0.000 
2017-12-5 99.989 0.011 0.000 
2017-12-6 99.978 0.022 0.000 
2017-12-7 99.981 0.019 0.000 
2017-12-8 99.991 0.009 0.000 
2017-12-9 99.990 0.010 0.000 
2017-12-10 99.990 0.010 0.000 
2017-12-11 99.984 0.016 0.000 
2017-12-12 99.988 0.012 0.000 
2017-12-13 99.995 0.005 0.000 
2017-12-14 99.982 0.018 0.000 
2017-12-15 99.981 0.019 0.000 
2017-12-16 99.985 0.015 0.000 
2017-12-17 99.972 0.028 0.000 
2017-12-18 99.994 0.006 0.000 
2017-12-19 99.977 0.023 0.000 
2017-12-20 99.984 0.016 0.000 
2017-12-21 99.991 0.009 0.000 
2017-12-22 99.988 0.012 0.000 
2017-12-23 99.977 0.023 0.000 
2017-12-24 99.985 0.015 0.000 
2017-12-25 100.000 0.000 0.000 
2017-12-26 99.995 0.005 0.000 
2017-12-27 100.000 0.000 0.000 
2017-12-28 99.984 0.016 0.000 
2017-12-29 99.995 0.005 0.000 
2017-12-30 100.000 0.000 0.000 
2017-12-31 100.000 0.000 0.000 
2018-1-1 100.000 0.000 0.000 
2018-1-2 0.000 0.000 100.000 
2018-1-3 0.000 0.000 100.000 
2018-1-4 0.000 0.000 100.000 
2018-1-5 0.000 0.000 100.000 
2018-1-6 99.990 0.010 0.000 
2018-1-7 99.990 0.010 0.000 
2018-1-8 99.963 0.037 0.000 
2018-1-9 99.986 0.014 0.000 
2018-1-10 99.995 0.005 0.000 
2018-1-11 99.992 0.008 0.000 
2018-1-12 99.986 0.014 0.000 
2018-1-13 99.996 0.004 0.000 
2018-1-14 100.000 0.000 0.000 
2018-1-15 100.000 0.000 0.000 
2018-1-16 99.991 0.009 0.000 
2018-1-17 99.991 0.009 0.000 
2018-1-18 99.985 0.015 0.000 
2018-1-19 99.982 0.018 0.000 
2018-1-20 99.995 0.005 0.000 
2018-1-21 99.995 0.005 0.000 
2018-1-22 99.983 0.017 0.000 
2018-1-23 99.995 0.005 0.000 
2018-1-24 100.000 0.000 0.000 
2018-1-25 99.993 0.007 0.000 
2018-1-26 99.985 0.015 0.000 
2018-1-27 99.985 0.015 0.000 
2018-1-28 100.000 0.000 0.000 
2018-1-29 99.991 0.009 0.000 
2018-1-30 100.000 0.000 0.000 
2018-1-31 99.982 0.018 0.000 
2018-2-1 99.993 0.007 0.000 
2018-2-2 99.975 0.025 0.000 
2018-2-3 99.993 0.007 0.000 
2018-2-4 99.986 0.014 0.000 
2018-2-5 99.981 0.019 0.000 
2018-2-6 100.000 0.000 0.000 
2018-2-7 100.000 0.000 0.000 
2018-2-8 99.990 0.010 0.000 
2018-2-9 99.992 0.008 0.000 
2018-2-10 99.983 0.017 0.000 
2018-2-11 100.000 0.000 0.000 
2018-2-12 100.000 0.000 0.000 
2018-2-13 99.990 0.010 0.000 
2018-2-14 99.953 0.047 0.000 
2018-2-15 99.967 0.033 0.000 
2018-2-16 99.988 0.012 0.000 
2018-2-17 99.981 0.019 0.000 
2018-2-18 99.974 0.026 0.000 
2018-2-19 99.987 0.013 0.000 
2018-2-20 99.940 0.060 0.000 
2018-2-21 0.000 0.000 100.000 
2018-2-22 0.000 0.000 100.000 
