chrome/63 chrome/62 chrome/64 chrome/58 others
2017-11-21 0.513 80.000 0.000 2.564 16.923 
2017-11-22 0.142 75.947 0.083 2.526 21.303 
2017-11-23 0.287 75.763 0.036 2.573 21.341 
2017-11-24 0.230 74.484 0.092 2.985 22.208 
2017-11-25 0.259 74.005 0.061 3.280 22.395 
2017-11-26 0.154 76.271 0.026 2.625 20.925 
2017-11-27 0.182 77.087 0.091 2.532 20.107 
2017-11-28 0.203 77.243 0.089 2.729 19.736 
2017-11-29 0.268 77.427 0.060 2.609 19.636 
2017-11-30 0.201 78.404 0.038 2.630 18.726 
2017-12-1 0.306 76.262 0.024 3.276 20.132 
2017-12-2 0.176 76.053 0.106 3.753 19.912 
2017-12-3 0.250 75.470 0.118 3.746 20.417 
2017-12-4 0.318 77.548 0.086 3.410 18.638 
2017-12-5 0.143 77.380 0.123 4.097 18.257 
2017-12-6 0.480 78.497 0.024 3.674 17.325 
2017-12-7 3.234 76.221 0.066 4.109 16.370 
2017-12-8 6.073 71.624 0.061 4.715 17.527 
2017-12-9 11.622 64.283 0.085 5.719 18.291 
2017-12-10 15.476 62.190 0.030 5.234 17.070 
2017-12-11 16.611 61.808 0.000 5.468 16.113 
2017-12-12 24.368 55.422 0.031 4.991 15.188 
2017-12-13 34.738 45.441 0.041 5.839 13.941 
2017-12-14 42.682 39.799 0.045 4.827 12.648 
2017-12-15 56.402 23.374 0.051 5.691 14.482 
2017-12-16 58.583 19.974 0.144 6.394 14.905 
2017-12-17 68.799 11.480 0.158 6.108 13.454 
2017-12-18 71.450 8.379 0.180 5.761 14.230 
2017-12-19 73.764 6.634 0.124 6.261 13.217 
2017-12-20 72.343 5.390 0.206 8.178 13.883 
2017-12-21 74.498 5.281 0.213 6.999 13.008 
2017-12-22 72.263 4.800 0.231 8.665 14.042 
2017-12-23 72.333 4.535 0.153 9.047 13.932 
2017-12-24 74.662 4.614 0.239 7.160 13.325 
2017-12-25 74.636 3.985 0.175 7.795 13.409 
2017-12-26 75.312 3.633 0.262 7.759 13.034 
2017-12-27 75.180 4.410 0.117 8.078 12.215 
2017-12-28 74.214 2.997 0.148 9.964 12.677 
2017-12-29 75.021 3.349 0.111 9.064 12.455 
2017-12-30 75.787 2.868 0.329 8.627 12.388 
2017-12-31 75.553 3.238 0.243 8.419 12.547 
2018-1-1 77.193 2.632 0.000 9.649 10.526 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 76.859 2.685 0.215 9.289 10.953 
2018-1-7 78.203 2.921 0.138 8.405 10.333 
2018-1-8 79.421 2.763 0.152 7.222 10.442 
2018-1-9 76.330 2.614 0.158 9.576 11.323 
2018-1-10 78.945 2.233 0.162 8.507 10.153 
2018-1-11 76.905 2.616 0.251 9.439 10.790 
2018-1-12 77.129 2.036 0.141 9.720 10.975 
2018-1-13 76.134 2.224 0.254 10.586 10.802 
2018-1-14 76.795 2.432 0.115 9.811 10.846 
2018-1-15 80.310 2.358 0.145 7.673 9.514 
2018-1-16 78.786 2.076 0.134 9.172 9.831 
2018-1-17 79.034 1.805 0.153 9.943 9.065 
2018-1-18 79.213 2.269 0.197 9.010 9.311 
2018-1-19 78.463 1.637 0.167 10.004 9.729 
2018-1-20 77.525 1.331 0.082 10.346 10.716 
2018-1-21 77.682 1.408 0.232 10.277 10.400 
2018-1-22 80.895 1.779 0.237 8.522 8.567 
2018-1-23 80.112 1.639 0.273 8.741 9.235 
2018-1-24 82.751 2.004 0.256 7.313 7.676 
2018-1-25 77.521 1.381 2.729 9.750 8.619 
2018-1-26 72.029 1.531 5.882 11.468 9.091 
2018-1-27 63.900 0.954 12.439 13.332 9.375 
2018-1-28 58.885 1.088 17.748 12.106 10.173 
2018-1-29 66.494 1.351 16.196 8.366 7.591 
2018-1-30 60.799 1.204 19.870 9.970 8.157 
2018-1-31 60.217 1.176 19.814 10.294 8.498 
2018-2-1 59.251 1.515 21.191 10.128 7.915 
2018-2-2 56.798 1.229 25.035 8.822 8.117 
2018-2-3 43.568 1.308 33.877 12.007 9.241 
2018-2-4 39.119 1.102 38.210 12.988 8.581 
2018-2-5 53.224 1.162 30.241 8.246 7.127 
2018-2-6 48.749 1.536 34.094 8.337 7.284 
2018-2-7 42.088 1.282 42.478 7.786 6.366 
2018-2-8 36.579 1.115 46.451 8.553 7.302 
2018-2-9 31.309 1.222 50.020 9.917 7.532 
2018-2-10 24.882 0.827 54.088 12.051 8.152 
2018-2-11 26.084 1.201 53.446 11.514 7.755 
2018-2-12 32.152 1.173 52.421 8.013 6.241 
2018-2-13 31.621 1.284 51.730 8.596 6.768 
2018-2-14 30.527 1.065 53.624 7.716 7.067 
2018-2-15 28.634 1.088 55.502 8.053 6.723 
2018-2-16 26.537 1.184 56.426 8.443 7.409 
2018-2-17 18.595 0.996 62.120 9.476 8.812 
2018-2-18 20.013 1.245 62.368 8.299 8.075 
2018-2-19 28.386 1.243 56.984 7.090 6.296 
2018-2-20 27.430 1.399 58.468 7.180 5.523 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
