firefox/57 firefox/58 firefox/45 firefox/52 others
2017-11-21 76.190 0.000 1.587 4.762 17.460 
2017-11-22 76.631 0.926 5.234 4.846 12.363 
2017-11-23 76.113 0.938 6.174 5.301 11.475 
2017-11-24 78.139 0.803 6.484 4.335 10.239 
2017-11-25 82.542 1.011 2.072 3.158 11.218 
2017-11-26 83.918 0.882 1.848 3.023 10.330 
2017-11-27 79.053 0.811 4.993 4.937 10.206 
2017-11-28 76.648 0.999 7.059 4.462 10.832 
2017-11-29 74.278 0.946 9.910 4.781 10.085 
2017-11-30 78.733 1.152 6.114 4.719 9.282 
2017-12-1 79.788 0.947 6.409 3.994 8.861 
2017-12-2 84.570 1.161 3.284 3.086 7.899 
2017-12-3 80.588 0.697 8.105 2.702 7.908 
2017-12-4 78.961 1.136 6.314 4.697 8.893 
2017-12-5 81.288 1.126 4.521 4.752 8.313 
2017-12-6 81.427 0.862 5.249 4.428 8.034 
2017-12-7 78.181 1.201 7.607 4.490 8.522 
2017-12-8 83.230 1.113 4.471 4.244 6.942 
2017-12-9 84.844 1.042 4.304 2.877 6.932 
2017-12-10 84.117 0.898 5.956 2.742 6.287 
2017-12-11 82.284 0.870 4.603 4.255 7.988 
2017-12-12 78.403 1.141 7.668 4.510 8.278 
2017-12-13 80.291 1.187 5.890 4.748 7.884 
2017-12-14 77.394 0.822 8.303 5.220 8.261 
2017-12-15 83.134 0.875 7.796 3.182 5.012 
2017-12-16 89.697 1.122 0.183 2.686 6.312 
2017-12-17 88.972 0.706 0.176 2.911 7.234 
2017-12-18 86.190 1.000 0.500 4.762 7.548 
2017-12-19 86.119 1.092 0.483 5.040 7.266 
2017-12-20 85.757 1.021 0.546 4.842 7.835 
2017-12-21 86.972 1.120 0.495 4.716 6.697 
2017-12-22 87.652 0.817 0.508 4.467 6.555 
2017-12-23 89.267 1.252 0.250 3.041 6.190 
2017-12-24 74.457 0.766 15.326 3.001 6.450 
2017-12-25 79.239 1.131 11.614 2.364 5.653 
2017-12-26 76.991 0.952 14.326 2.577 5.154 
2017-12-27 72.391 1.064 16.258 3.931 6.355 
2017-12-28 75.914 0.735 14.059 3.690 5.601 
2017-12-29 74.203 0.658 17.075 3.456 4.608 
2017-12-30 68.783 0.879 22.852 2.474 5.013 
2017-12-31 59.083 0.640 34.661 1.671 3.946 
2018-1-1 43.373 0.000 51.807 0.000 4.819 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 59.056 1.006 34.178 1.666 4.094 
2018-1-7 61.573 0.824 32.349 1.442 3.812 
2018-1-8 62.222 0.833 27.870 3.611 5.463 
2018-1-9 73.351 0.892 17.227 3.438 5.092 
2018-1-10 70.576 0.763 19.668 3.723 5.270 
2018-1-11 77.912 0.862 11.630 4.196 5.400 
2018-1-12 74.400 0.799 15.542 3.941 5.317 
2018-1-13 80.743 0.719 11.726 2.477 4.335 
2018-1-14 80.513 0.925 11.290 2.697 4.574 
2018-1-15 77.456 0.715 12.096 4.011 5.721 
2018-1-16 76.593 0.814 13.441 4.328 4.824 
2018-1-17 73.415 0.793 17.537 3.616 4.640 
2018-1-18 74.675 0.693 15.476 4.091 5.065 
2018-1-19 76.625 0.703 13.227 4.143 5.302 
2018-1-20 75.177 0.750 17.562 2.352 4.157 
2018-1-21 75.922 0.641 16.899 2.408 4.131 
2018-1-22 74.108 0.942 16.402 3.865 4.683 
2018-1-23 73.163 3.129 15.149 3.983 4.576 
2018-1-24 59.112 9.937 20.296 4.271 6.385 
2018-1-25 66.205 23.564 0.099 4.224 5.908 
2018-1-26 62.209 27.156 0.363 4.845 5.426 
2018-1-27 62.324 29.312 0.111 3.368 4.885 
2018-1-28 62.289 29.571 0.039 2.792 5.309 
2018-1-29 55.995 30.561 0.565 5.450 7.428 
2018-1-30 34.507 54.754 0.143 4.267 6.329 
2018-1-31 15.622 72.646 0.556 4.291 6.885 
2018-2-1 12.834 75.994 0.253 4.411 6.508 
2018-2-2 9.849 79.066 0.458 4.810 5.818 
2018-2-3 9.417 81.724 0.200 2.833 5.826 
2018-2-4 10.052 81.726 0.112 2.990 5.120 
2018-2-5 7.290 79.466 0.205 4.979 8.060 
2018-2-6 5.514 81.230 0.742 4.931 7.582 
2018-2-7 5.708 80.918 0.448 4.533 8.394 
2018-2-8 5.591 81.075 0.591 5.161 7.581 
2018-2-9 5.033 83.620 0.618 4.812 5.916 
2018-2-10 4.740 86.965 0.258 2.782 5.255 
2018-2-11 4.060 87.701 0.119 2.985 5.134 
2018-2-12 5.751 81.880 0.186 5.504 6.679 
2018-2-13 3.571 84.848 0.162 4.978 6.439 
2018-2-14 3.151 84.499 0.378 4.852 7.120 
2018-2-15 3.206 84.453 0.484 5.445 6.413 
2018-2-16 3.212 84.744 0.124 5.003 6.918 
2018-2-17 3.430 87.500 0.233 2.500 6.337 
2018-2-18 3.183 85.122 0.074 3.701 7.920 
2018-2-19 2.964 82.543 0.593 5.534 8.366 
2018-2-20 2.473 84.301 0.323 4.946 7.957 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
