safari/604 safari/602 safari/601 safari/603 others
2017-11-21 81.443 6.186 4.124 5.155 3.093 
2017-11-22 73.830 13.516 6.582 3.213 2.860 
2017-11-23 74.608 14.194 6.061 2.386 2.752 
2017-11-24 74.606 14.346 6.107 2.389 2.552 
2017-11-25 74.139 14.320 6.740 2.069 2.732 
2017-11-26 75.885 13.994 5.644 1.924 2.553 
2017-11-27 74.748 13.000 6.394 3.091 2.766 
2017-11-28 74.128 13.717 6.020 3.086 3.048 
2017-11-29 73.339 13.021 6.726 3.847 3.067 
2017-11-30 76.790 12.340 5.538 2.598 2.735 
2017-12-1 77.429 12.418 5.487 2.014 2.651 
2017-12-2 78.470 11.466 5.388 2.134 2.543 
2017-12-3 77.384 12.616 5.327 2.169 2.504 
2017-12-4 76.854 12.030 5.389 2.585 3.142 
2017-12-5 77.950 11.221 5.393 2.363 3.073 
2017-12-6 78.754 10.940 5.295 2.121 2.890 
2017-12-7 78.280 11.105 4.416 2.660 3.538 
2017-12-8 78.604 11.751 4.941 1.545 3.158 
2017-12-9 78.703 11.439 5.227 1.678 2.953 
2017-12-10 78.227 11.782 5.354 1.611 3.026 
2017-12-11 77.334 11.605 5.499 2.478 3.085 
2017-12-12 80.266 10.342 4.602 2.016 2.775 
2017-12-13 80.522 10.136 4.389 2.090 2.863 
2017-12-14 82.435 8.763 4.071 1.822 2.908 
2017-12-15 76.702 12.421 6.035 1.754 3.088 
2017-12-16 80.441 10.590 4.510 1.386 3.073 
2017-12-17 80.776 10.408 4.176 1.856 2.784 
2017-12-18 80.416 10.040 4.701 2.079 2.764 
2017-12-19 79.191 10.476 5.032 2.059 3.241 
2017-12-20 80.813 10.271 4.726 2.032 2.159 
2017-12-21 80.474 10.189 4.878 2.028 2.431 
2017-12-22 79.053 11.047 5.404 2.152 2.343 
2017-12-23 78.190 11.032 6.177 1.906 2.694 
2017-12-24 77.021 11.809 6.702 2.021 2.447 
2017-12-25 77.769 11.197 6.515 1.262 3.257 
2017-12-26 81.620 10.323 4.220 1.345 2.492 
2017-12-27 81.119 10.107 5.043 1.353 2.378 
2017-12-28 79.886 10.321 5.919 1.896 1.978 
2017-12-29 81.173 9.541 5.067 1.695 2.525 
2017-12-30 80.178 9.720 5.559 1.842 2.700 
2017-12-31 83.202 9.959 3.561 1.292 1.986 
2018-1-1 77.049 14.754 6.557 0.000 1.639 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 81.683 9.551 4.536 2.006 2.224 
2018-1-7 80.533 10.143 4.645 2.083 2.596 
2018-1-8 79.471 8.442 5.744 3.696 2.647 
2018-1-9 80.661 9.264 5.425 2.141 2.510 
2018-1-10 80.993 9.227 4.752 2.195 2.834 
2018-1-11 80.853 9.574 5.187 1.893 2.493 
2018-1-12 81.526 8.952 5.247 1.844 2.431 
2018-1-13 82.806 8.715 4.637 1.192 2.650 
2018-1-14 82.778 8.749 4.629 1.210 2.633 
2018-1-15 82.909 8.148 4.456 1.719 2.769 
2018-1-16 82.929 8.222 4.577 1.911 2.361 
2018-1-17 82.238 8.350 5.493 1.795 2.124 
2018-1-18 81.697 9.045 4.842 2.131 2.285 
2018-1-19 81.465 8.882 5.211 1.988 2.453 
2018-1-20 83.099 8.282 5.130 1.437 2.052 
2018-1-21 83.837 7.904 4.785 1.296 2.179 
2018-1-22 82.493 8.603 4.590 1.605 2.709 
2018-1-23 84.421 6.906 4.537 1.646 2.489 
2018-1-24 83.823 6.172 4.530 2.489 2.987 
2018-1-25 81.315 7.615 6.330 1.804 2.936 
2018-1-26 82.640 7.987 5.371 1.474 2.528 
2018-1-27 82.242 8.557 5.180 1.804 2.216 
2018-1-28 81.755 8.164 5.956 1.830 2.295 
2018-1-29 80.591 7.546 5.679 3.462 2.723 
2018-1-30 81.863 8.490 5.439 1.911 2.297 
2018-1-31 79.517 9.064 6.531 2.256 2.632 
2018-2-1 81.548 8.647 5.538 1.884 2.383 
2018-2-2 80.085 8.807 5.766 2.222 3.121 
2018-2-3 81.918 8.694 5.837 1.388 2.163 
2018-2-4 82.084 8.776 5.736 1.319 2.084 
2018-2-5 79.537 8.780 5.878 2.498 3.306 
2018-2-6 79.453 8.828 6.133 2.852 2.734 
2018-2-7 79.639 8.759 6.877 2.151 2.574 
2018-2-8 80.528 8.063 5.986 2.289 3.134 
2018-2-9 81.388 8.492 5.797 2.034 2.288 
2018-2-10 81.603 8.873 5.738 1.254 2.532 
2018-2-11 80.641 8.693 6.381 1.572 2.713 
2018-2-12 79.701 8.259 5.522 2.935 3.582 
2018-2-13 80.510 8.321 6.259 2.211 2.699 
2018-2-14 80.635 8.073 6.066 2.007 3.220 
2018-2-15 81.410 7.652 5.849 1.843 3.245 
2018-2-16 80.633 8.293 5.896 2.061 3.116 
2018-2-17 82.721 7.728 5.412 1.447 2.692 
2018-2-18 82.169 7.353 4.871 1.608 3.998 
2018-2-19 80.242 7.202 6.373 2.294 3.888 
2018-2-20 78.649 7.720 5.911 3.136 4.584 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
