48000_2_1_0_2_explicit_speakers 44100_2_1_0_2_explicit_speakers not_supported 192000_2_1_0_2_explicit_speakers others
2017-11-21 49.752 20.545 5.198 0.000 24.505 
2017-11-22 50.325 16.597 7.463 0.571 25.043 
2017-11-23 48.754 15.390 7.967 0.449 27.439 
2017-11-24 47.359 14.469 7.206 0.398 30.568 
2017-11-25 47.812 13.541 5.065 0.394 33.188 
2017-11-26 48.488 13.066 3.643 0.427 34.376 
2017-11-27 48.619 16.344 7.662 0.458 26.917 
2017-11-28 48.493 16.675 8.062 0.431 26.338 
2017-11-29 50.280 17.840 7.783 0.470 23.627 
2017-11-30 48.617 15.518 6.917 0.373 28.574 
2017-12-1 50.588 15.185 6.709 0.461 27.057 
2017-12-2 50.523 14.249 4.830 0.502 29.897 
2017-12-3 49.775 13.602 4.570 0.386 31.667 
2017-12-4 51.397 16.110 7.659 0.423 24.410 
2017-12-5 49.751 15.574 7.230 0.487 26.958 
2017-12-6 49.552 15.537 6.785 0.454 27.671 
2017-12-7 52.339 15.876 5.856 0.487 25.442 
2017-12-8 51.921 14.619 6.294 0.547 26.620 
2017-12-9 51.271 13.184 4.303 0.455 30.787 
2017-12-10 52.297 12.929 4.655 0.397 29.723 
2017-12-11 50.576 15.680 7.825 0.375 25.545 
2017-12-12 52.111 15.364 6.329 0.492 25.704 
2017-12-13 52.080 15.146 7.107 0.403 25.264 
2017-12-14 55.399 14.449 6.036 0.353 23.763 
2017-12-15 52.720 14.400 4.676 0.615 27.589 
2017-12-16 53.023 11.685 3.881 0.421 30.991 
2017-12-17 55.100 11.945 3.217 0.292 29.446 
2017-12-18 51.475 15.876 7.434 0.471 24.744 
2017-12-19 50.799 14.965 6.833 0.370 27.033 
2017-12-20 48.974 14.739 7.149 0.378 28.760 
2017-12-21 48.520 14.458 6.649 0.374 29.998 
2017-12-22 46.421 13.914 6.004 0.410 33.251 
2017-12-23 48.816 13.895 5.310 0.461 31.517 
2017-12-24 50.435 15.613 4.614 0.472 28.866 
2017-12-25 52.554 14.519 4.624 0.428 27.875 
2017-12-26 49.857 11.568 3.842 0.344 34.390 
2017-12-27 49.664 12.699 5.041 0.310 32.286 
2017-12-28 48.690 13.807 5.855 0.378 31.269 
2017-12-29 52.064 13.267 4.940 0.430 29.298 
2017-12-30 54.840 13.132 4.389 0.489 27.151 
2017-12-31 55.309 11.388 3.808 0.349 29.146 
2018-1-1 64.583 10.417 3.125 0.347 21.528 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 57.030 14.119 4.372 0.565 23.914 
2018-1-7 53.044 13.782 4.090 0.582 28.502 
2018-1-8 53.865 19.001 7.338 0.446 19.349 
2018-1-9 50.770 15.440 6.508 0.438 26.845 
2018-1-10 52.228 14.667 6.349 0.421 26.335 
2018-1-11 51.592 14.500 6.652 0.401 26.855 
2018-1-12 51.410 14.132 6.190 0.368 27.900 
2018-1-13 52.484 11.979 4.403 0.429 30.705 
2018-1-14 54.330 12.707 4.048 0.388 28.528 
2018-1-15 52.735 15.128 6.619 0.461 25.057 
2018-1-16 50.909 14.136 5.957 0.403 28.595 
2018-1-17 52.611 14.371 6.060 0.459 26.500 
2018-1-18 52.830 14.502 5.799 0.370 26.499 
2018-1-19 50.293 14.630 6.465 0.378 28.234 
2018-1-20 51.708 11.873 3.994 0.326 32.098 
2018-1-21 51.796 11.036 3.749 0.363 33.056 
2018-1-22 54.077 15.227 6.380 0.419 23.897 
2018-1-23 53.046 14.453 5.640 0.463 26.398 
2018-1-24 54.130 17.560 7.577 0.502 20.231 
2018-1-25 52.979 16.523 5.993 0.532 23.973 
2018-1-26 48.821 14.499 6.787 0.383 29.510 
2018-1-27 50.079 13.797 5.426 0.436 30.262 
2018-1-28 49.808 14.274 5.519 0.459 29.940 
2018-1-29 48.350 19.112 8.517 0.607 23.414 
2018-1-30 46.701 15.295 6.772 0.476 30.757 
2018-1-31 46.599 15.226 7.049 0.428 30.698 
2018-2-1 46.753 15.900 6.467 0.487 30.393 
2018-2-2 46.811 15.495 5.963 0.479 31.252 
2018-2-3 45.579 12.770 4.653 0.377 36.621 
2018-2-4 46.235 12.944 4.449 0.429 35.944 
2018-2-5 48.356 17.619 6.932 0.447 26.647 
2018-2-6 49.840 17.491 6.137 0.571 25.961 
2018-2-7 48.676 17.778 5.813 0.538 27.195 
2018-2-8 46.686 17.746 6.378 0.453 28.738 
2018-2-9 46.230 15.722 6.108 0.410 31.530 
2018-2-10 46.100 12.424 4.205 0.468 36.803 
2018-2-11 47.901 13.575 4.753 0.576 33.194 
2018-2-12 50.097 18.649 6.661 0.399 24.193 
2018-2-13 49.247 17.165 6.658 0.648 26.281 
2018-2-14 49.602 17.737 6.101 0.542 26.018 
2018-2-15 48.208 17.765 6.412 0.505 27.110 
2018-2-16 50.680 18.034 6.185 0.600 24.502 
2018-2-17 49.155 12.818 4.330 0.361 33.336 
2018-2-18 52.418 14.145 4.266 0.506 28.666 
2018-2-19 52.082 19.155 7.346 0.622 20.796 
2018-2-20 54.420 20.920 7.325 0.556 16.779 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
