48000_2_1_0_2_explicit_speakers 44100_2_1_0_2_explicit_speakers 44100_0_1_0_0_explicit_speakers 48000_6_1_0_6_explicit_speakers others
2017-11-21 49.752 20.545 0.000 0.495 29.208 
2017-11-22 50.314 16.593 0.365 0.150 32.578 
2017-11-23 48.725 15.381 0.313 0.118 35.463 
2017-11-24 47.337 14.462 0.270 0.175 37.756 
2017-11-25 47.807 13.539 0.176 0.207 38.270 
2017-11-26 48.476 13.063 0.124 0.209 38.129 
2017-11-27 48.611 16.341 0.337 0.150 34.561 
2017-11-28 48.479 16.671 0.288 0.163 34.400 
2017-11-29 50.262 17.833 0.435 0.143 31.327 
2017-11-30 48.603 15.514 0.289 0.163 35.430 
2017-12-1 50.570 15.180 0.357 0.131 33.763 
2017-12-2 50.498 14.242 0.173 0.186 34.901 
2017-12-3 49.744 13.594 0.088 0.161 36.414 
2017-12-4 51.378 16.105 0.423 0.156 31.938 
2017-12-5 49.713 15.562 0.292 0.184 34.248 
2017-12-6 49.526 15.529 0.304 0.247 34.394 
2017-12-7 52.299 15.864 0.329 0.190 31.318 
2017-12-8 51.909 14.616 0.312 0.217 32.946 
2017-12-9 51.248 13.179 0.121 0.213 35.239 
2017-12-10 52.267 12.921 0.129 0.165 34.518 
2017-12-11 50.543 15.670 0.367 0.158 33.263 
2017-12-12 52.080 15.355 0.427 0.123 32.015 
2017-12-13 52.049 15.136 0.312 0.171 32.332 
2017-12-14 55.399 14.449 0.345 0.124 29.684 
2017-12-15 52.690 14.392 0.130 0.242 32.545 
2017-12-16 53.006 11.681 0.106 0.203 35.003 
2017-12-17 55.079 11.940 0.085 0.226 32.670 
2017-12-18 51.450 15.868 0.376 0.188 32.118 
2017-12-19 50.766 14.955 0.383 0.226 33.669 
2017-12-20 48.935 14.727 0.381 0.154 35.803 
2017-12-21 48.481 14.446 0.365 0.156 36.551 
2017-12-22 46.392 13.905 0.219 0.261 39.223 
2017-12-23 48.779 13.884 0.238 0.169 36.930 
2017-12-24 50.413 15.606 0.162 0.206 33.613 
2017-12-25 52.530 14.513 0.121 0.165 32.671 
2017-12-26 49.845 11.565 0.100 0.129 38.361 
2017-12-27 49.638 12.692 0.258 0.155 37.256 
2017-12-28 48.645 13.795 0.273 0.197 37.090 
2017-12-29 52.036 13.260 0.196 0.177 34.331 
2017-12-30 54.822 13.128 0.190 0.190 31.670 
2017-12-31 55.304 11.387 0.116 0.143 33.050 
2018-1-1 64.583 10.417 0.000 0.347 24.653 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 57.007 14.113 0.208 0.258 28.414 
2018-1-7 53.039 13.780 0.150 0.122 32.908 
2018-1-8 53.856 18.998 0.597 0.178 26.371 
2018-1-9 50.729 15.428 0.470 0.174 33.198 
2018-1-10 52.194 14.658 0.345 0.183 32.620 
2018-1-11 51.558 14.490 0.433 0.193 33.327 
2018-1-12 51.390 14.126 0.278 0.166 34.040 
2018-1-13 52.461 11.973 0.145 0.228 35.193 
2018-1-14 54.317 12.704 0.070 0.258 32.650 
2018-1-15 52.719 15.123 0.438 0.234 31.485 
2018-1-16 50.894 14.131 0.283 0.190 34.501 
2018-1-17 52.594 14.366 0.384 0.190 32.466 
2018-1-18 52.812 14.497 0.315 0.138 32.237 
2018-1-19 50.272 14.623 0.378 0.135 34.592 
2018-1-20 51.694 11.870 0.174 0.211 36.051 
2018-1-21 51.756 11.027 0.119 0.202 36.896 
2018-1-22 54.067 15.225 0.333 0.161 30.215 
2018-1-23 53.033 14.449 0.310 0.208 32.000 
2018-1-24 54.130 17.560 0.398 0.133 27.780 
2018-1-25 52.949 16.514 0.252 0.210 30.075 
2018-1-26 48.796 14.492 0.383 0.159 36.170 
2018-1-27 50.045 13.788 0.195 0.180 35.792 
2018-1-28 49.792 14.269 0.208 0.192 35.539 
2018-1-29 48.321 19.101 0.470 0.128 31.980 
2018-1-30 46.685 15.290 0.421 0.135 37.468 
2018-1-31 46.585 15.221 0.352 0.141 37.701 
2018-2-1 46.732 15.893 0.360 0.107 36.909 
2018-2-2 46.803 15.492 0.327 0.144 37.234 
2018-2-3 45.559 12.764 0.167 0.203 41.307 
2018-2-4 46.219 12.940 0.154 0.194 40.493 
2018-2-5 48.347 17.615 0.466 0.186 33.386 
2018-2-6 49.826 17.486 0.397 0.106 32.185 
2018-2-7 48.666 17.775 0.358 0.129 33.071 
2018-2-8 46.663 17.737 0.433 0.125 35.041 
2018-2-9 46.212 15.716 0.302 0.163 37.607 
2018-2-10 46.092 12.422 0.159 0.067 41.261 
2018-2-11 47.873 13.567 0.159 0.188 38.213 
2018-2-12 50.074 18.641 0.479 0.148 30.658 
2018-2-13 49.229 17.159 0.267 0.133 33.213 
2018-2-14 49.574 17.727 0.277 0.150 32.273 
2018-2-15 48.187 17.758 0.305 0.084 33.666 
2018-2-16 50.668 18.029 0.238 0.136 30.929 
2018-2-17 49.132 12.812 0.190 0.161 37.705 
2018-2-18 52.391 14.138 0.052 0.168 33.251 
2018-2-19 52.056 19.145 0.422 0.199 28.177 
2018-2-20 54.389 20.908 0.268 0.077 24.358 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
