44100_0_1_0_2_explicit_speakers 48000_0_1_0_2_explicit_speakers not_supported 16000_0_1_0_2_explicit_speakers others
2017-11-21 14.713 9.227 5.237 0.000 70.823 
2017-11-22 16.362 7.678 7.564 0.071 68.324 
2017-11-23 17.412 9.001 8.076 0.106 65.406 
2017-11-24 19.226 10.388 7.296 0.105 62.985 
2017-11-25 21.387 11.003 5.124 0.079 62.408 
2017-11-26 21.773 11.866 3.687 0.117 62.557 
2017-11-27 17.144 8.745 7.761 0.084 66.266 
2017-11-28 16.771 8.556 8.172 0.073 66.429 
2017-11-29 15.249 7.174 7.893 0.079 69.606 
2017-11-30 17.435 10.132 7.005 0.094 65.333 
2017-12-1 16.642 9.449 6.792 0.097 67.021 
2017-12-2 18.314 10.746 4.899 0.044 65.997 
2017-12-3 19.077 11.895 4.625 0.074 64.329 
2017-12-4 14.806 8.427 7.760 0.075 68.933 
2017-12-5 16.200 9.697 7.336 0.106 66.660 
2017-12-6 16.461 10.125 6.886 0.063 66.465 
2017-12-7 14.921 9.472 5.936 0.103 69.567 
2017-12-8 15.635 9.945 6.386 0.079 67.956 
2017-12-9 18.576 11.436 4.360 0.074 65.555 
2017-12-10 17.647 11.228 4.716 0.078 66.331 
2017-12-11 15.495 8.822 7.940 0.047 67.697 
2017-12-12 14.519 10.191 6.409 0.059 68.823 
2017-12-13 14.528 9.667 7.198 0.097 68.510 
2017-12-14 12.923 9.849 6.104 0.089 71.034 
2017-12-15 17.400 9.193 4.757 0.076 68.575 
2017-12-16 17.242 13.004 3.931 0.062 65.762 
2017-12-17 15.991 12.529 3.261 0.067 68.152 
2017-12-18 14.291 9.237 7.550 0.062 68.859 
2017-12-19 15.677 10.076 6.932 0.112 67.203 
2017-12-20 17.342 10.300 7.245 0.074 65.038 
2017-12-21 18.024 10.954 6.736 0.041 64.245 
2017-12-22 20.354 12.033 6.083 0.086 61.444 
2017-12-23 20.097 10.489 5.389 0.070 63.955 
2017-12-24 17.702 10.367 4.676 0.090 67.165 
2017-12-25 16.965 10.108 4.687 0.067 68.173 
2017-12-26 20.111 13.650 3.881 0.068 62.290 
2017-12-27 19.253 12.282 5.082 0.111 63.272 
2017-12-28 19.597 10.603 5.940 0.045 63.814 
2017-12-29 17.061 11.316 5.008 0.102 66.513 
2017-12-30 16.308 9.956 4.453 0.067 69.215 
2017-12-31 16.966 11.642 3.842 0.045 67.504 
2018-1-1 13.986 6.993 3.147 0.000 75.874 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 14.126 8.820 4.440 0.060 72.553 
2018-1-7 17.476 10.320 4.143 0.086 67.975 
2018-1-8 12.118 5.820 7.437 0.090 74.535 
2018-1-9 16.311 9.362 6.591 0.072 67.663 
2018-1-10 15.599 9.753 6.424 0.087 68.137 
2018-1-11 15.565 10.055 6.743 0.108 67.530 
2018-1-12 16.283 10.628 6.269 0.086 66.733 
2018-1-13 17.099 12.762 4.461 0.098 65.581 
2018-1-14 16.211 11.504 4.100 0.065 68.119 
2018-1-15 14.248 9.502 6.718 0.115 69.417 
2018-1-16 16.750 10.876 6.032 0.049 66.293 
2018-1-17 15.780 9.655 6.139 0.099 68.327 
2018-1-18 15.441 10.061 5.869 0.080 68.548 
2018-1-19 16.838 10.387 6.539 0.079 66.157 
2018-1-20 18.392 13.005 4.034 0.046 64.522 
2018-1-21 18.623 13.752 3.790 0.065 63.770 
2018-1-22 13.730 9.145 6.461 0.064 70.600 
2018-1-23 14.710 10.604 5.720 0.119 68.847 
2018-1-24 11.055 8.007 7.690 0.029 73.219 
2018-1-25 14.771 8.103 6.085 0.114 70.927 
2018-1-26 17.507 10.929 6.870 0.121 64.573 
2018-1-27 18.039 11.299 5.505 0.061 65.096 
2018-1-28 18.609 10.354 5.600 0.059 65.378 
2018-1-29 14.550 7.644 8.652 0.043 69.110 
2018-1-30 18.351 11.363 6.862 0.082 63.343 
2018-1-31 19.206 10.539 7.135 0.083 63.037 
2018-2-1 18.855 10.618 6.539 0.142 63.847 
2018-2-2 19.091 11.211 6.038 0.097 63.563 
2018-2-3 22.116 13.737 4.706 0.110 59.331 
2018-2-4 21.859 13.465 4.502 0.054 60.119 
2018-2-5 16.544 8.792 7.033 0.123 67.508 
2018-2-6 16.696 8.171 6.227 0.079 68.827 
2018-2-7 16.857 9.252 5.898 0.101 67.892 
2018-2-8 18.282 9.156 6.469 0.195 65.898 
2018-2-9 19.686 10.929 6.186 0.071 63.128 
2018-2-10 22.697 13.459 4.247 0.093 59.504 
2018-2-11 20.806 11.724 4.812 0.141 62.518 
2018-2-12 15.327 7.577 6.745 0.116 70.236 
2018-2-13 16.920 8.411 6.758 0.097 67.814 
2018-2-14 16.495 8.318 6.206 0.153 68.829 
2018-2-15 16.842 9.268 6.498 0.064 67.327 
2018-2-16 15.187 8.312 6.277 0.149 70.074 
2018-2-17 19.250 13.329 4.376 0.067 62.979 
2018-2-18 17.033 10.812 4.327 0.092 67.736 
2018-2-19 13.038 6.513 7.459 0.114 72.876 
2018-2-20 10.917 4.904 7.433 0.019 76.727 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
