9867afb1f72f0ca19e7efd449cf77e1daccea2c3d26c9dadb165496daf3894bb b14a52427f4ac6b2396817151836626bcb60cd35a34510409fe70c3958441395 ad26ebcc521fcd70e24f4742d57687dfece97c0693b67db23796f4b5c26d9ee2 d433bb2677f1b97af3172266964dad8fc49c4f55ce441065ddae8aafe130602d others
2017-11-21 0.000 0.000 0.000 0.000 100.000 
2017-11-22 0.000 0.000 0.308 0.000 99.692 
2017-11-23 0.000 0.000 1.887 0.000 98.113 
2017-11-24 0.000 0.000 0.000 0.000 100.000 
2017-11-25 0.000 0.000 0.000 0.000 100.000 
2017-11-26 0.000 0.000 0.000 0.000 100.000 
2017-11-27 0.000 0.000 0.000 0.000 100.000 
2017-11-28 0.000 0.000 0.000 0.000 100.000 
2017-11-29 0.000 0.000 0.000 0.000 100.000 
2017-11-30 0.000 0.000 0.000 0.000 100.000 
2017-12-1 0.000 0.000 0.000 0.000 100.000 
2017-12-2 0.000 0.000 0.000 0.000 100.000 
2017-12-3 0.000 0.000 0.000 0.000 100.000 
2017-12-4 0.000 0.000 0.000 0.000 100.000 
2017-12-5 0.000 0.000 0.000 0.000 100.000 
2017-12-6 0.000 0.000 0.000 0.000 100.000 
2017-12-7 0.000 0.000 0.000 0.000 100.000 
2017-12-8 0.000 0.000 0.000 0.000 100.000 
2017-12-9 0.000 0.000 0.000 0.000 100.000 
2017-12-10 0.000 0.000 0.000 0.000 100.000 
2017-12-11 0.000 0.000 0.000 0.000 100.000 
2017-12-12 0.000 0.000 0.000 0.000 100.000 
2017-12-13 0.000 0.000 0.000 0.000 100.000 
2017-12-14 0.000 0.000 0.000 0.000 100.000 
2017-12-15 0.000 0.038 0.000 0.000 99.962 
2017-12-16 0.054 0.043 0.000 0.032 99.871 
2017-12-17 0.040 0.079 0.000 0.099 99.782 
2017-12-18 0.044 0.044 0.000 0.044 99.869 
2017-12-19 0.064 0.073 0.000 0.046 99.818 
2017-12-20 0.127 0.103 0.000 0.071 99.699 
2017-12-21 0.091 0.037 0.000 0.046 99.827 
2017-12-22 0.110 0.110 0.000 0.051 99.730 
2017-12-23 0.112 0.080 0.000 0.064 99.744 
2017-12-24 0.087 0.058 0.000 0.029 99.827 
2017-12-25 0.146 0.062 0.000 0.062 99.729 
2017-12-26 0.064 0.075 0.000 0.064 99.797 
2017-12-27 0.088 0.088 0.000 0.029 99.794 
2017-12-28 0.072 0.063 0.000 0.045 99.819 
2017-12-29 0.132 0.061 0.000 0.010 99.797 
2017-12-30 0.086 0.051 0.000 0.051 99.812 
2017-12-31 0.039 0.020 0.000 0.059 99.883 
2018-1-1 0.000 0.000 0.000 0.000 100.000 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 0.138 0.079 0.000 0.020 99.764 
2018-1-7 0.141 0.101 0.000 0.101 99.657 
2018-1-8 0.093 0.016 0.000 0.062 99.829 
2018-1-9 0.057 0.048 0.000 0.029 99.867 
2018-1-10 0.096 0.053 0.000 0.096 99.754 
2018-1-11 0.096 0.064 0.000 0.064 99.776 
2018-1-12 0.086 0.067 0.000 0.038 99.810 
2018-1-13 0.084 0.084 0.000 0.112 99.721 
2018-1-14 0.099 0.099 0.000 0.062 99.740 
2018-1-15 0.092 0.107 0.000 0.015 99.785 
2018-1-16 0.137 0.082 0.000 0.036 99.745 
2018-1-17 0.076 0.067 0.000 0.067 99.790 
2018-1-18 0.116 0.126 0.000 0.039 99.719 
2018-1-19 0.149 0.088 0.000 0.062 99.701 
2018-1-20 0.162 0.132 0.000 0.020 99.686 
2018-1-21 0.186 0.155 0.000 0.186 99.474 
2018-1-22 0.155 0.055 0.000 0.066 99.724 
2018-1-23 0.145 0.116 0.000 0.029 99.709 
2018-1-24 0.076 0.122 0.000 0.030 99.772 
2018-1-25 0.037 0.049 0.000 0.087 99.827 
2018-1-26 0.110 0.110 0.000 0.090 99.691 
2018-1-27 0.104 0.059 0.000 0.015 99.822 
2018-1-28 0.048 0.000 0.000 0.097 99.855 
2018-1-29 0.000 0.000 0.000 0.000 100.000 
2018-1-30 0.061 0.061 0.000 0.010 99.867 
2018-1-31 0.045 0.034 0.000 0.023 99.899 
2018-2-1 0.024 0.049 0.000 0.012 99.914 
2018-2-2 0.087 0.044 0.000 0.015 99.854 
2018-2-3 0.000 0.016 0.000 0.000 99.984 
2018-2-4 0.000 0.000 0.000 0.000 100.000 
2018-2-5 0.000 0.000 0.000 0.000 100.000 
2018-2-6 0.000 0.000 0.000 0.000 100.000 
2018-2-7 0.000 0.000 0.000 0.000 100.000 
2018-2-8 0.000 0.000 0.000 0.000 100.000 
2018-2-9 0.000 0.014 0.000 0.000 99.986 
2018-2-10 0.000 0.000 0.000 0.000 100.000 
2018-2-11 0.000 0.000 0.000 0.000 100.000 
2018-2-12 0.000 0.000 0.000 0.000 100.000 
2018-2-13 0.000 0.000 0.000 0.000 100.000 
2018-2-14 0.000 0.000 0.000 0.000 100.000 
2018-2-15 0.000 0.000 0.000 0.000 100.000 
2018-2-16 0.000 0.000 0.000 0.000 100.000 
2018-2-17 0.000 0.000 0.000 0.019 99.981 
2018-2-18 0.000 0.000 0.000 0.000 100.000 
2018-2-19 0.000 0.000 0.000 0.000 100.000 
2018-2-20 0.000 0.000 0.000 0.000 100.000 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
