801d0f5a166a0e4c7ee386f2c07bb58fc6afb0db3290774e739278bb0230f5c1 9fefa75e328cc249e040a97797b553edae904b452891098144cf2ec572be10be 641266b48fdf96492184d1a7094aaab41b27b24aea9058dd54b4807673de3bd6 d874c45c72aecce5ef4c632e74ed2b9bb14dc727663fbc5c42fae13da1559df5 others
2017-11-21 0.000 0.000 0.000 0.000 100.000 
2017-11-22 0.000 3.602 0.000 3.138 93.261 
2017-11-23 0.000 4.146 0.000 3.324 92.530 
2017-11-24 0.000 4.380 0.000 2.642 92.977 
2017-11-25 0.000 1.403 0.000 0.312 98.285 
2017-11-26 0.000 1.279 0.000 1.039 97.682 
2017-11-27 0.000 3.191 0.000 2.488 94.320 
2017-11-28 0.000 4.646 0.000 3.118 92.236 
2017-11-29 0.000 6.643 0.000 2.624 90.733 
2017-11-30 0.000 4.235 0.000 2.587 93.177 
2017-12-1 0.000 4.515 0.000 1.969 93.515 
2017-12-2 0.000 2.354 0.000 1.199 96.446 
2017-12-3 0.000 6.071 0.000 1.028 92.901 
2017-12-4 0.000 4.244 0.000 2.370 93.386 
2017-12-5 0.000 2.979 0.000 2.537 94.484 
2017-12-6 0.000 3.604 0.000 2.511 93.886 
2017-12-7 0.000 5.070 0.000 2.524 92.406 
2017-12-8 0.000 2.970 0.000 2.182 94.849 
2017-12-9 2.754 0.396 1.652 0.275 94.923 
2017-12-10 4.370 0.000 2.568 0.000 93.062 
2017-12-11 3.053 0.000 2.194 0.000 94.753 
2017-12-12 5.435 0.000 1.571 0.000 92.994 
2017-12-13 4.078 0.000 1.844 0.000 94.078 
2017-12-14 5.854 0.000 2.038 0.000 92.109 
2017-12-15 5.768 0.000 0.486 0.000 93.746 
2017-12-16 0.061 0.000 0.041 0.000 99.898 
2017-12-17 0.000 0.000 0.000 0.000 100.000 
2017-12-18 0.000 0.000 0.000 0.000 100.000 
2017-12-19 0.000 0.000 0.000 0.000 100.000 
2017-12-20 0.000 0.000 0.000 0.000 100.000 
2017-12-21 0.000 0.000 0.000 0.000 100.000 
2017-12-22 0.000 0.000 0.000 0.000 100.000 
2017-12-23 0.000 0.000 0.000 0.000 100.000 
2017-12-24 11.240 0.000 4.438 0.000 84.322 
2017-12-25 8.381 0.000 5.229 0.000 86.390 
2017-12-26 10.721 0.000 5.351 0.000 83.928 
2017-12-27 12.195 0.000 5.233 0.000 82.573 
2017-12-28 9.875 0.000 6.705 0.000 83.420 
2017-12-29 12.144 0.000 7.760 0.000 80.096 
2017-12-30 16.325 0.000 10.821 0.000 72.854 
2017-12-31 24.325 0.000 14.100 0.000 61.575 
2018-1-1 34.146 0.000 24.390 0.000 41.463 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 23.287 0.000 16.955 0.000 59.758 
2018-1-7 21.971 0.000 15.855 0.000 62.174 
2018-1-8 18.418 0.000 13.803 0.000 67.779 
2018-1-9 12.116 0.000 8.524 0.000 79.359 
2018-1-10 13.902 0.000 9.055 0.000 77.043 
2018-1-11 8.276 0.000 5.036 0.000 86.688 
2018-1-12 11.231 0.000 7.593 0.000 81.177 
2018-1-13 8.667 0.000 5.454 0.000 85.879 
2018-1-14 1.059 7.415 0.509 3.728 87.289 
2018-1-15 0.000 8.431 0.000 5.449 86.120 
2018-1-16 0.000 9.761 0.000 5.731 84.507 
2018-1-17 0.000 12.603 0.000 9.081 78.317 
2018-1-18 0.000 11.169 0.000 6.952 81.879 
2018-1-19 0.000 9.480 0.000 6.218 84.302 
2018-1-20 0.000 12.882 0.000 8.463 78.655 
2018-1-21 0.000 12.556 0.000 7.891 79.553 
2018-1-22 0.000 11.759 0.000 6.677 81.564 
2018-1-23 0.000 11.308 0.000 5.414 83.278 
2018-1-24 0.000 13.677 0.000 8.822 77.501 
2018-1-25 0.000 0.000 0.000 0.000 100.000 
2018-1-26 0.000 0.000 0.000 0.000 100.000 
2018-1-27 0.000 0.000 0.000 0.000 100.000 
2018-1-28 0.000 0.000 0.000 0.000 100.000 
2018-1-29 0.000 0.000 0.000 0.000 100.000 
2018-1-30 0.000 0.000 0.000 0.000 100.000 
2018-1-31 0.000 0.000 0.000 0.000 100.000 
2018-2-1 0.000 0.000 0.000 0.000 100.000 
2018-2-2 0.000 0.000 0.000 0.000 100.000 
2018-2-3 0.000 0.000 0.000 0.000 100.000 
2018-2-4 0.000 0.000 0.000 0.000 100.000 
2018-2-5 0.000 0.000 0.000 0.000 100.000 
2018-2-6 0.000 0.000 0.000 0.000 100.000 
2018-2-7 0.000 0.000 0.000 0.000 100.000 
2018-2-8 0.000 0.000 0.000 0.000 100.000 
2018-2-9 0.000 0.000 0.000 0.000 100.000 
2018-2-10 0.000 0.000 0.000 0.000 100.000 
2018-2-11 0.000 0.000 0.000 0.000 100.000 
2018-2-12 0.000 0.000 0.000 0.000 100.000 
2018-2-13 0.000 0.000 0.000 0.000 100.000 
2018-2-14 0.000 0.000 0.000 0.000 100.000 
2018-2-15 0.000 0.000 0.000 0.000 100.000 
2018-2-16 0.000 0.000 0.000 0.000 100.000 
2018-2-17 0.000 0.000 0.000 0.000 100.000 
2018-2-18 0.000 0.000 0.000 0.000 100.000 
2018-2-19 0.000 0.000 0.000 0.000 100.000 
2018-2-20 0.000 0.000 0.000 0.000 100.000 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
