38fc3e301358eb0e5ecd84f8f549a97b047a65f968f3165567f91264583e9574 6c3fa1d1f9aefafb3b808e14e6e75b22dc1e37b35519a4f007faca1e66c47b73 4a6c48b8eef053bb23d3477ecf8b3746f0e82e7ec6a58888d3e4c9149a993bfb beaa450d5d3c5f84653a2a48554c32b508c655e78ff1eee69d2714ba569d00f7 others
2017-11-21 0.000 0.000 0.000 0.000 100.000 
2017-11-22 0.000 0.000 0.000 0.000 100.000 
2017-11-23 0.000 0.000 0.000 0.000 100.000 
2017-11-24 0.000 0.000 0.000 0.000 100.000 
2017-11-25 0.000 0.000 0.000 0.000 100.000 
2017-11-26 0.000 0.000 0.000 0.000 100.000 
2017-11-27 0.000 0.000 0.000 0.000 100.000 
2017-11-28 0.000 0.000 0.000 0.000 100.000 
2017-11-29 0.000 0.000 0.016 0.000 99.984 
2017-11-30 0.000 0.000 0.011 0.000 99.989 
2017-12-1 0.000 0.000 0.011 0.000 99.989 
2017-12-2 0.000 0.000 0.000 0.000 100.000 
2017-12-3 0.000 0.000 0.000 0.000 100.000 
2017-12-4 0.000 0.000 0.013 0.000 99.987 
2017-12-5 0.000 0.000 0.010 0.000 99.990 
2017-12-6 0.000 0.000 0.011 0.000 99.989 
2017-12-7 0.000 0.000 0.018 0.000 99.982 
2017-12-8 0.000 0.000 0.012 0.000 99.988 
2017-12-9 0.000 0.000 0.000 0.000 100.000 
2017-12-10 0.000 0.000 0.000 0.000 100.000 
2017-12-11 0.000 0.000 0.000 0.000 100.000 
2017-12-12 0.000 0.000 0.000 0.000 100.000 
2017-12-13 0.000 0.000 0.014 0.000 99.986 
2017-12-14 0.000 0.000 0.000 0.000 100.000 
2017-12-15 0.000 0.000 0.000 0.000 100.000 
2017-12-16 0.000 0.000 0.000 0.000 100.000 
2017-12-17 0.000 0.000 0.000 0.000 100.000 
2017-12-18 0.000 0.000 0.017 0.000 99.983 
2017-12-19 0.000 0.000 0.013 0.000 99.987 
2017-12-20 0.000 0.000 0.010 0.000 99.990 
2017-12-21 0.000 0.000 0.011 0.000 99.989 
2017-12-22 0.000 0.000 0.009 0.000 99.991 
2017-12-23 0.000 0.000 0.000 0.000 100.000 
2017-12-24 0.000 0.000 0.000 0.000 100.000 
2017-12-25 0.000 0.000 0.000 0.000 100.000 
2017-12-26 0.000 0.000 0.000 0.000 100.000 
2017-12-27 0.000 0.000 0.000 0.000 100.000 
2017-12-28 0.000 0.000 0.000 0.000 100.000 
2017-12-29 0.000 0.000 0.000 0.000 100.000 
