bd554a7d5da9293cf3fed52d2052b2b948a14b77 88f9a35438201f34381be6425fc61c58c31b5fc1 38aa1eb9089721916853a2d3af928acdcea9c924 de847cd2dc29c4ad126fd2dc70b850e449768ed9 others
2017-11-21 13.975 3.106 1.863 4.969 76.087 
2017-11-22 9.556 3.994 4.227 4.723 77.499 
2017-11-23 10.396 3.926 4.743 4.447 76.489 
2017-11-24 8.141 4.504 4.536 3.750 79.069 
2017-11-25 7.637 5.042 4.311 2.342 80.669 
2017-11-26 7.971 5.925 3.395 2.150 80.559 
2017-11-27 9.082 3.915 4.163 4.318 78.523 
2017-11-28 9.545 4.119 4.292 4.811 77.234 
2017-11-29 10.496 3.383 4.141 4.853 77.127 
2017-11-30 9.054 4.716 3.911 4.338 77.981 
2017-12-1 8.479 4.705 4.121 3.728 78.967 
2017-12-2 8.234 4.817 3.881 2.742 80.325 
2017-12-3 7.273 5.620 3.850 2.287 80.970 
2017-12-4 9.470 4.186 4.198 4.588 77.558 
2017-12-5 8.934 4.981 4.105 4.209 77.771 
2017-12-6 8.695 4.952 3.673 4.507 78.173 
2017-12-7 8.472 5.793 3.392 4.318 78.025 
2017-12-8 7.449 5.824 3.894 3.572 79.262 
2017-12-9 6.766 6.333 3.883 2.387 80.631 
2017-12-10 7.206 6.136 3.657 2.323 80.679 
2017-12-11 8.520 4.788 3.895 4.171 78.626 
2017-12-12 7.784 6.187 3.392 4.059 78.578 
2017-12-13 8.291 5.881 3.399 4.355 78.073 
2017-12-14 7.671 6.815 2.917 4.066 78.531 
2017-12-15 8.923 5.263 3.636 3.182 78.995 
2017-12-16 6.602 8.064 3.354 1.859 80.120 
2017-12-17 6.349 8.267 3.106 1.993 80.285 
2017-12-18 8.303 6.128 3.490 4.025 78.055 
2017-12-19 8.147 6.311 3.465 4.098 77.979 
2017-12-20 7.995 6.079 4.420 3.882 77.624 
2017-12-21 8.205 6.431 3.829 3.888 77.647 
2017-12-22 7.583 5.787 4.180 3.444 79.005 
2017-12-23 7.903 6.276 4.996 2.365 78.460 
2017-12-24 8.897 5.684 3.859 2.795 78.764 
2017-12-25 7.968 6.654 3.857 2.854 78.666 
2017-12-26 6.895 7.110 3.681 2.319 79.995 
2017-12-27 6.959 6.303 3.436 2.944 80.357 
2017-12-28 8.026 5.208 4.420 2.957 79.389 
2017-12-29 7.337 6.457 4.032 2.856 79.319 
2017-12-30 8.147 6.079 4.052 2.562 79.160 
2017-12-31 7.195 7.172 3.563 1.873 80.196 
2018-1-1 9.237 6.827 3.614 2.811 77.510 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 9.421 5.488 4.018 2.646 78.427 
2018-1-7 9.063 5.160 3.807 2.873 79.097 
2018-1-8 11.396 3.425 3.514 5.576 76.089 
2018-1-9 8.862 5.002 4.312 4.233 77.591 
2018-1-10 8.958 5.688 3.813 4.357 77.184 
2018-1-11 8.189 6.176 4.087 3.965 77.583 
2018-1-12 7.776 5.962 4.375 3.786 78.101 
2018-1-13 7.165 7.233 4.529 2.058 79.016 
2018-1-14 7.794 7.465 4.174 1.960 78.607 
2018-1-15 8.671 6.413 3.295 3.783 77.838 
2018-1-16 8.900 6.054 3.961 3.973 77.113 
2018-1-17 8.618 5.802 4.285 4.120 77.174 
2018-1-18 8.656 6.610 3.794 3.794 77.145 
2018-1-19 8.607 5.759 4.304 3.830 77.500 
2018-1-20 7.328 7.221 4.270 2.019 79.161 
2018-1-21 7.332 7.511 4.108 2.087 78.962 
2018-1-22 9.291 6.255 3.837 4.238 76.380 
2018-1-23 9.800 6.879 3.763 3.893 75.666 
2018-1-24 11.940 5.301 3.546 5.600 73.612 
2018-1-25 11.355 5.394 4.500 4.606 74.145 
2018-1-26 9.351 5.923 4.907 4.014 75.805 
2018-1-27 9.479 6.248 5.723 2.735 75.815 
2018-1-28 10.016 5.333 5.409 3.285 75.957 
2018-1-29 14.329 3.438 4.472 6.007 71.754 
2018-1-30 11.110 4.792 4.413 4.656 75.029 
2018-1-31 10.769 4.951 4.620 4.486 75.173 
2018-2-1 10.749 4.410 4.642 5.151 75.047 
2018-2-2 11.467 4.777 4.168 4.638 74.949 
2018-2-3 8.367 4.978 4.773 2.552 79.330 
2018-2-4 8.504 5.210 5.048 2.439 78.800 
2018-2-5 12.511 4.219 3.988 5.751 73.532 
2018-2-6 13.125 4.217 4.267 5.652 72.739 
2018-2-7 13.509 4.477 3.737 5.437 72.839 
2018-2-8 12.799 3.789 4.106 5.766 73.539 
2018-2-9 11.479 4.338 4.379 5.039 74.766 
2018-2-10 9.150 5.121 4.501 2.618 78.611 
2018-2-11 10.721 5.150 5.045 2.864 76.219 
2018-2-12 13.579 4.228 3.934 6.239 72.020 
2018-2-13 14.095 3.965 4.348 5.238 72.353 
2018-2-14 13.338 4.273 3.709 5.593 73.086 
2018-2-15 13.411 3.954 3.968 6.221 72.446 
2018-2-16 13.449 4.252 4.035 5.886 72.379 
2018-2-17 8.921 5.558 3.789 2.346 79.385 
2018-2-18 10.167 5.766 3.625 2.765 77.677 
2018-2-19 14.447 3.565 3.643 6.643 71.702 
2018-2-20 15.554 4.261 3.812 7.576 68.797 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
