6989e28b170e64cc9b5558924ac9cc975e09ccd9 2443b839f70927ca1366ad26a9cefbf43ecf51db 7d3176108470111c1c95d5536fe69384b57df861 da7f240c682aadf1c2208e00a9e474b880ab6aad others
2017-11-21 12.712 6.780 0.847 1.695 77.966 
2017-11-22 13.342 7.801 3.635 5.423 69.799 
2017-11-23 13.355 7.610 4.235 4.545 70.255 
2017-11-24 14.051 8.148 4.697 5.464 67.639 
2017-11-25 15.703 6.402 1.582 5.555 70.759 
2017-11-26 15.810 6.869 1.386 4.875 71.059 
2017-11-27 14.956 8.495 3.603 5.557 67.389 
2017-11-28 13.304 8.483 5.056 5.009 68.148 
2017-11-29 12.873 8.198 6.785 4.936 67.207 
2017-11-30 13.450 8.432 4.263 4.735 69.121 
2017-12-1 14.117 8.361 4.852 4.770 67.900 
2017-12-2 15.907 7.333 2.480 5.800 68.481 
2017-12-3 14.682 6.631 6.397 4.727 67.563 
2017-12-4 13.846 9.422 4.662 5.068 67.003 
2017-12-5 13.801 9.470 3.245 4.995 68.488 
2017-12-6 14.190 8.578 3.896 5.161 68.174 
2017-12-7 14.226 8.577 5.460 5.251 66.485 
2017-12-8 15.402 8.186 3.480 5.419 67.513 
2017-12-9 15.387 7.067 3.481 5.083 68.982 
2017-12-10 15.261 6.989 4.642 4.714 68.394 
2017-12-11 14.553 9.288 3.585 4.969 67.605 
2017-12-12 13.031 8.905 5.573 4.641 67.850 
2017-12-13 13.756 9.269 4.437 4.899 67.640 
2017-12-14 13.477 7.299 6.208 5.451 67.565 
2017-12-15 17.010 6.121 5.945 4.826 66.098 
2017-12-16 15.901 6.852 0.280 4.175 72.793 
2017-12-17 15.245 5.708 0.278 4.769 73.999 
2017-12-18 14.265 10.441 0.516 4.998 69.779 
2017-12-19 14.770 9.243 0.279 4.908 70.800 
2017-12-20 15.141 9.077 0.545 5.259 69.978 
2017-12-21 15.895 8.229 0.422 4.975 70.479 
2017-12-22 15.714 9.055 0.272 5.133 69.826 
2017-12-23 16.698 6.541 0.160 5.663 70.939 
2017-12-24 13.414 5.962 11.178 4.099 65.347 
2017-12-25 14.907 6.443 8.769 4.727 65.154 
2017-12-26 13.352 5.970 11.003 4.045 65.631 
2017-12-27 12.288 7.304 12.632 4.593 63.183 
2017-12-28 14.793 7.415 10.878 4.768 62.146 
2017-12-29 13.775 7.117 13.127 4.571 61.411 
2017-12-30 12.649 5.318 17.644 4.796 59.592 
2017-12-31 10.686 5.006 27.672 3.543 53.093 
2018-1-1 5.505 7.339 40.367 4.587 42.202 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 11.401 4.724 26.155 3.853 53.866 
2018-1-7 12.241 5.111 24.692 3.145 54.810 
2018-1-8 10.772 7.701 20.209 3.984 57.334 
2018-1-9 13.189 7.535 12.855 4.596 61.825 
2018-1-10 12.038 8.075 14.425 3.897 61.565 
2018-1-11 14.075 8.403 8.952 4.854 63.715 
2018-1-12 13.725 7.805 11.941 4.773 61.756 
2018-1-13 15.023 6.723 9.066 4.931 64.257 
2018-1-14 15.305 6.354 8.671 3.896 65.774 
2018-1-15 13.332 8.896 9.080 4.852 63.840 
2018-1-16 14.129 7.785 9.876 4.527 63.682 
2018-1-17 13.194 6.898 13.094 4.837 61.978 
2018-1-18 12.563 7.208 11.375 4.547 64.306 
2018-1-19 14.053 7.612 9.842 4.921 63.572 
2018-1-20 14.373 5.743 13.561 3.901 62.422 
2018-1-21 14.474 5.280 12.808 3.864 63.574 
2018-1-22 12.862 7.378 11.861 4.019 63.880 
2018-1-23 13.111 7.627 10.685 3.872 64.706 
2018-1-24 10.780 7.740 13.453 3.574 64.453 
2018-1-25 13.988 7.356 0.132 4.831 73.693 
2018-1-26 15.295 8.791 0.237 4.590 71.087 
2018-1-27 17.017 6.459 0.208 5.032 71.284 
2018-1-28 16.999 6.357 0.136 5.430 71.078 
2018-1-29 13.795 8.616 0.274 4.283 73.033 
2018-1-30 14.068 7.862 0.301 4.740 73.030 
2018-1-31 14.426 8.471 0.491 4.502 72.110 
2018-2-1 13.856 7.721 0.189 4.998 73.235 
2018-2-2 12.515 7.230 0.319 4.588 75.348 
2018-2-3 16.335 6.612 0.084 5.043 71.925 
2018-2-4 16.623 5.823 0.079 4.262 73.213 
2018-2-5 12.993 7.348 0.347 3.500 75.812 
2018-2-6 13.034 7.480 0.289 4.173 75.024 
2018-2-7 11.528 6.944 0.332 4.485 76.711 
2018-2-8 12.336 7.204 0.296 5.362 74.803 
2018-2-9 13.748 7.082 0.277 3.983 74.910 
2018-2-10 14.187 5.758 0.208 4.301 75.546 
2018-2-11 13.853 5.829 0.114 4.391 75.814 
2018-2-12 12.505 6.753 0.186 4.230 76.327 
2018-2-13 12.808 7.035 0.252 4.353 75.552 
2018-2-14 13.741 6.946 0.227 3.964 75.123 
2018-2-15 13.340 6.617 0.358 4.185 75.501 
2018-2-16 12.102 6.837 0.293 4.241 76.527 
2018-2-17 14.973 5.473 0.313 4.652 74.590 
2018-2-18 13.298 5.309 0.146 3.458 77.789 
2018-2-19 12.365 7.187 0.309 4.173 75.966 
2018-2-20 12.588 5.913 0.234 3.864 77.400 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
