7a6a24f6752a5a123bcc6df63a184217637923fb 2e02e768da96c8034d4d0a0e38d5921bd71540e3 89aec5862cf8db1bc9be69a52c31a169d6182e4c 7339be08be763f6804f18d224b100b61b872b852 others
2017-11-21 15.530 4.924 3.030 0.379 76.136 
2017-11-22 12.159 5.738 2.823 0.939 78.342 
2017-11-23 13.903 6.141 3.132 1.085 75.738 
2017-11-24 15.741 6.919 3.300 1.301 72.740 
2017-11-25 16.447 7.449 3.661 1.290 71.153 
2017-11-26 17.011 7.490 3.778 1.611 70.111 
2017-11-27 13.624 5.935 3.152 1.233 76.056 
2017-11-28 13.013 5.784 2.756 1.290 77.157 
2017-11-29 11.563 4.823 2.530 1.161 79.923 
2017-11-30 14.954 6.257 2.994 1.504 74.291 
2017-12-1 14.472 6.236 3.319 1.597 74.375 
2017-12-2 15.622 6.868 3.331 2.092 72.087 
2017-12-3 16.627 6.547 3.659 2.166 71.001 
2017-12-4 13.211 5.295 2.464 1.537 77.493 
2017-12-5 14.619 6.000 3.025 1.791 74.565 
2017-12-6 15.015 5.731 3.187 2.072 73.995 
2017-12-7 13.705 5.516 2.796 2.002 75.980 
2017-12-8 14.409 5.993 3.174 2.023 74.400 
2017-12-9 16.383 6.881 3.640 2.395 70.701 
2017-12-10 15.657 6.416 3.511 2.441 71.974 
2017-12-11 13.354 5.600 2.872 1.998 76.176 
2017-12-12 15.238 5.229 2.395 2.158 74.980 
2017-12-13 14.469 5.415 2.537 2.066 75.513 
2017-12-14 14.543 5.391 2.275 2.091 75.700 
2017-12-15 13.610 5.977 3.640 2.255 74.518 
2017-12-16 17.204 6.289 3.050 3.225 70.233 
2017-12-17 16.037 5.913 3.062 2.944 72.043 
2017-12-18 13.650 5.273 2.792 2.229 76.056 
2017-12-19 14.537 5.913 2.678 2.365 74.507 
2017-12-20 14.910 5.952 3.369 2.617 73.153 
2017-12-21 15.570 6.409 3.478 2.841 71.702 
2017-12-22 17.274 7.260 3.863 2.683 68.920 
2017-12-23 15.060 6.514 3.803 2.601 72.022 
2017-12-24 14.664 5.647 3.458 2.364 73.867 
2017-12-25 14.411 6.590 3.375 2.271 73.353 
2017-12-26 19.128 7.602 3.904 3.275 66.091 
2017-12-27 17.851 7.573 3.847 3.098 67.631 
2017-12-28 15.972 6.937 3.895 2.681 70.514 
2017-12-29 16.504 6.371 3.368 2.730 71.027 
2017-12-30 15.284 5.763 2.957 2.606 73.390 
2017-12-31 17.678 6.940 3.168 3.168 69.047 
2018-1-1 11.538 6.593 2.747 0.000 79.121 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 13.505 5.513 2.669 2.622 75.691 
2018-1-7 14.785 6.221 3.025 3.025 72.944 
2018-1-8 9.746 3.947 1.974 1.637 82.696 
2018-1-9 14.657 5.952 2.846 2.478 74.066 
2018-1-10 14.514 6.001 2.857 2.578 74.050 
2018-1-11 14.985 5.992 3.031 2.528 73.464 
2018-1-12 15.196 6.250 3.125 3.065 72.365 
2018-1-13 16.974 6.570 3.425 3.797 69.235 
2018-1-14 15.790 5.977 3.310 3.143 71.780 
2018-1-15 13.627 5.483 2.798 2.843 75.249 
2018-1-16 15.428 6.330 3.236 3.274 71.732 
2018-1-17 14.531 5.930 3.252 2.616 73.671 
2018-1-18 14.545 6.047 2.813 2.748 73.847 
2018-1-19 15.515 6.218 3.280 2.860 72.127 
2018-1-20 17.914 7.034 3.452 3.685 67.914 
2018-1-21 18.300 6.954 3.562 3.873 67.311 
2018-1-22 13.634 4.789 2.537 2.778 76.262 
2018-1-23 14.406 5.650 3.165 3.513 73.266 
2018-1-24 11.495 3.936 2.087 2.699 79.782 
2018-1-25 12.153 4.918 2.796 2.388 77.745 
2018-1-26 15.496 6.596 3.373 3.352 71.183 
2018-1-27 15.941 6.342 3.384 3.480 70.852 
2018-1-28 14.657 6.295 3.492 3.005 72.550 
2018-1-29 10.957 4.513 2.661 2.544 79.324 
2018-1-30 16.334 6.656 3.108 3.084 70.818 
2018-1-31 15.460 6.806 3.764 2.831 71.139 
2018-2-1 15.252 7.185 3.626 2.895 71.042 
2018-2-2 15.600 6.735 3.911 2.813 70.940 
2018-2-3 18.909 7.895 4.645 3.798 64.753 
2018-2-4 18.410 7.784 4.373 3.704 65.728 
2018-2-5 12.743 5.756 2.967 2.598 75.937 
2018-2-6 12.379 5.726 2.751 2.063 77.081 
2018-2-7 12.958 5.531 3.074 2.945 75.492 
2018-2-8 13.815 6.663 3.464 2.640 73.418 
2018-2-9 15.737 7.123 3.759 3.134 70.247 
2018-2-10 17.871 8.662 4.673 4.399 64.395 
2018-2-11 16.106 7.328 4.074 3.076 69.415 
2018-2-12 11.396 5.290 3.161 1.963 78.190 
2018-2-13 12.290 5.752 3.241 2.455 76.262 
2018-2-14 12.792 5.286 2.949 2.022 76.951 
2018-2-15 13.120 5.985 3.265 2.932 74.698 
2018-2-16 12.176 5.254 3.023 2.495 77.053 
2018-2-17 18.326 7.360 3.780 4.232 66.303 
2018-2-18 14.712 5.966 3.259 3.922 72.141 
2018-2-19 9.877 4.279 2.187 1.866 81.791 
2018-2-20 7.060 3.501 1.649 1.360 86.429 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
