True False others
2017-11-21 98.992 1.008 0.000 
2017-11-22 98.300 1.700 0.000 
2017-11-23 98.366 1.634 0.000 
2017-11-24 98.646 1.354 0.000 
2017-11-25 98.307 1.693 0.000 
2017-11-26 98.282 1.718 0.000 
2017-11-27 98.472 1.528 0.000 
2017-11-28 98.349 1.651 0.000 
2017-11-29 98.434 1.566 0.000 
2017-11-30 98.369 1.631 0.000 
2017-12-1 98.149 1.851 0.000 
2017-12-2 97.864 2.136 0.000 
2017-12-3 97.885 2.115 0.000 
2017-12-4 98.232 1.768 0.000 
2017-12-5 98.177 1.823 0.000 
2017-12-6 98.190 1.810 0.000 
2017-12-7 97.954 2.046 0.000 
2017-12-8 97.837 2.163 0.000 
2017-12-9 97.899 2.101 0.000 
2017-12-10 97.754 2.246 0.000 
2017-12-11 98.171 1.829 0.000 
2017-12-12 97.925 2.075 0.000 
2017-12-13 97.985 2.015 0.000 
2017-12-14 97.790 2.210 0.000 
2017-12-15 98.004 1.996 0.000 
2017-12-16 97.452 2.548 0.000 
2017-12-17 97.371 2.629 0.000 
2017-12-18 97.757 2.243 0.000 
2017-12-19 98.033 1.967 0.000 
2017-12-20 98.072 1.928 0.000 
2017-12-21 98.190 1.810 0.000 
2017-12-22 98.212 1.788 0.000 
2017-12-23 97.948 2.052 0.000 
2017-12-24 97.949 2.051 0.000 
2017-12-25 98.233 1.767 0.000 
2017-12-26 97.919 2.081 0.000 
2017-12-27 97.970 2.030 0.000 
2017-12-28 98.297 1.703 0.000 
2017-12-29 98.064 1.936 0.000 
2017-12-30 98.132 1.868 0.000 
2017-12-31 98.041 1.959 0.000 
2018-1-1 96.864 3.136 0.000 
2018-1-2 0.000 0.000 100.000 
2018-1-3 0.000 0.000 100.000 
2018-1-4 0.000 0.000 100.000 
2018-1-5 0.000 0.000 100.000 
2018-1-6 98.131 1.869 0.000 
2018-1-7 98.440 1.560 0.000 
2018-1-8 98.445 1.555 0.000 
2018-1-9 98.404 1.596 0.000 
2018-1-10 98.360 1.640 0.000 
2018-1-11 98.170 1.830 0.000 
2018-1-12 98.060 1.940 0.000 
2018-1-13 97.939 2.061 0.000 
2018-1-14 97.684 2.316 0.000 
2018-1-15 98.142 1.858 0.000 
2018-1-16 98.210 1.790 0.000 
2018-1-17 98.213 1.787 0.000 
2018-1-18 98.109 1.891 0.000 
2018-1-19 98.009 1.991 0.000 
2018-1-20 98.129 1.871 0.000 
2018-1-21 97.960 2.040 0.000 
2018-1-22 98.083 1.917 0.000 
2018-1-23 97.899 2.101 0.000 
2018-1-24 97.986 2.014 0.000 
2018-1-25 98.052 1.948 0.000 
2018-1-26 98.135 1.865 0.000 
2018-1-27 98.025 1.975 0.000 
2018-1-28 98.122 1.878 0.000 
2018-1-29 98.258 1.742 0.000 
2018-1-30 98.437 1.563 0.000 
2018-1-31 98.229 1.771 0.000 
2018-2-1 98.277 1.723 0.000 
2018-2-2 98.317 1.683 0.000 
2018-2-3 98.247 1.753 0.000 
2018-2-4 98.164 1.836 0.000 
2018-2-5 98.066 1.934 0.000 
2018-2-6 98.140 1.860 0.000 
2018-2-7 98.361 1.639 0.000 
2018-2-8 98.377 1.623 0.000 
2018-2-9 98.164 1.836 0.000 
2018-2-10 98.203 1.797 0.000 
2018-2-11 98.184 1.816 0.000 
2018-2-12 98.072 1.928 0.000 
2018-2-13 98.112 1.888 0.000 
2018-2-14 98.221 1.779 0.000 
2018-2-15 98.374 1.626 0.000 
2018-2-16 98.188 1.812 0.000 
2018-2-17 97.655 2.345 0.000 
2018-2-18 97.527 2.473 0.000 
2018-2-19 98.258 1.742 0.000 
2018-2-20 98.412 1.588 0.000 
2018-2-21 0.000 0.000 100.000 
2018-2-22 0.000 0.000 100.000 
