4 8 2 -1 others
2017-11-21 40.302 17.128 14.610 26.700 1.259 
2017-11-22 37.454 17.519 14.385 29.132 1.510 
2017-11-23 36.446 16.896 13.378 31.876 1.403 
2017-11-24 33.336 17.567 13.786 33.981 1.330 
2017-11-25 31.986 18.468 14.304 33.674 1.568 
2017-11-26 31.588 20.107 13.635 33.349 1.321 
2017-11-27 36.209 17.588 13.461 31.210 1.532 
2017-11-28 35.435 18.548 13.590 31.010 1.417 
2017-11-29 38.403 16.679 14.436 28.842 1.639 
2017-11-30 34.609 19.261 12.785 31.966 1.379 
2017-12-1 35.369 19.140 12.685 31.291 1.515 
2017-12-2 33.632 20.198 13.140 31.427 1.603 
2017-12-3 32.597 20.301 11.885 33.803 1.413 
2017-12-4 37.019 19.087 12.506 29.741 1.646 
2017-12-5 35.685 18.936 12.741 31.225 1.413 
2017-12-6 35.411 19.599 12.120 31.405 1.465 
2017-12-7 35.382 22.579 11.456 29.038 1.546 
2017-12-8 34.514 21.367 12.296 30.139 1.685 
2017-12-9 32.040 21.890 12.056 32.337 1.677 
2017-12-10 32.378 22.464 11.651 31.941 1.566 
2017-12-11 35.651 19.862 12.079 30.516 1.892 
2017-12-12 34.320 23.156 10.802 30.087 1.635 
2017-12-13 34.915 22.329 11.118 29.878 1.759 
2017-12-14 33.525 26.186 10.016 28.360 1.913 
2017-12-15 34.828 20.569 13.147 29.855 1.601 
2017-12-16 30.177 26.191 10.163 31.645 1.825 
2017-12-17 31.358 27.806 9.801 29.250 1.785 
2017-12-18 35.349 22.992 11.050 28.792 1.817 
2017-12-19 34.692 22.280 11.271 30.089 1.668 
2017-12-20 33.698 21.077 11.450 32.128 1.647 
2017-12-21 33.010 21.185 11.572 32.717 1.516 
2017-12-22 32.378 18.997 12.070 34.957 1.598 
2017-12-23 33.401 19.453 12.984 32.514 1.648 
2017-12-24 33.528 19.368 12.812 32.465 1.826 
2017-12-25 34.044 20.467 12.767 31.400 1.322 
2017-12-26 28.488 21.659 11.034 37.426 1.394 
2017-12-27 30.296 20.624 10.743 37.195 1.142 
2017-12-28 32.152 17.783 12.292 36.322 1.451 
2017-12-29 31.522 21.148 11.131 34.683 1.516 
2017-12-30 32.108 20.498 11.518 34.227 1.650 
2017-12-31 29.050 20.905 10.357 38.464 1.224 
2018-1-1 34.146 20.209 7.317 36.585 1.742 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 32.429 19.807 11.496 34.730 1.538 
2018-1-7 31.386 18.500 11.087 37.714 1.313 
2018-1-8 39.531 16.115 11.832 30.847 1.675 
2018-1-9 34.165 18.242 12.094 33.974 1.525 
2018-1-10 33.739 20.325 10.618 33.651 1.667 
2018-1-11 34.256 19.983 11.635 32.557 1.568 
2018-1-12 32.902 19.993 11.032 34.401 1.672 
2018-1-13 30.687 22.562 10.619 34.473 1.659 
2018-1-14 32.123 23.728 10.486 31.933 1.730 
2018-1-15 34.292 22.859 9.927 31.110 1.812 
2018-1-16 33.016 20.921 10.593 33.945 1.525 
2018-1-17 33.640 20.643 10.882 33.232 1.604 
2018-1-18 33.375 21.905 10.935 32.199 1.586 
2018-1-19 33.790 18.811 11.846 34.125 1.427 
2018-1-20 29.906 20.764 10.777 36.913 1.640 
2018-1-21 28.769 22.503 9.977 37.233 1.518 
2018-1-22 34.085 23.120 10.313 30.810 1.672 
2018-1-23 33.485 22.893 10.267 31.807 1.549 
2018-1-24 37.655 21.590 10.766 28.356 1.633 
2018-1-25 37.397 22.424 12.090 26.170 1.920 
2018-1-26 34.568 19.500 11.681 32.678 1.573 
2018-1-27 33.683 19.895 12.739 32.012 1.671 
2018-1-28 35.434 18.677 12.739 31.695 1.455 
2018-1-29 40.463 17.895 12.625 27.441 1.575 
2018-1-30 34.375 19.107 12.088 33.061 1.369 
2018-1-31 34.620 19.054 11.801 33.303 1.221 
2018-2-1 35.394 18.984 11.657 32.664 1.301 
2018-2-2 34.690 19.984 11.119 32.598 1.609 
2018-2-3 30.293 19.307 11.771 37.191 1.438 
2018-2-4 31.371 19.032 11.586 36.561 1.450 
2018-2-5 37.579 20.226 11.904 28.701 1.590 
2018-2-6 38.285 20.864 11.780 27.221 1.851 
2018-2-7 37.829 20.522 11.726 28.131 1.792 
2018-2-8 36.948 18.534 12.596 30.111 1.811 
2018-2-9 34.407 18.917 12.174 33.054 1.448 
2018-2-10 31.101 19.374 11.184 37.002 1.340 
2018-2-11 33.165 19.887 11.795 33.882 1.271 
2018-2-12 39.208 21.185 12.238 25.770 1.599 
2018-2-13 38.221 19.722 12.004 28.546 1.507 
2018-2-14 38.243 21.072 11.704 27.594 1.387 
2018-2-15 37.759 19.996 11.716 29.294 1.236 
2018-2-16 39.105 21.278 11.505 26.473 1.639 
2018-2-17 30.408 23.322 10.402 34.243 1.625 
2018-2-18 33.662 24.244 10.247 29.887 1.960 
2018-2-19 41.007 21.202 12.490 23.546 1.755 
2018-2-20 42.715 23.799 11.830 19.929 1.727 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
