4 2 8 -1 others
2017-11-21 40.302 14.610 17.128 26.700 1.259 
2017-11-22 37.455 14.386 17.520 29.134 1.505 
2017-11-23 36.446 13.378 16.896 31.876 1.403 
2017-11-24 33.337 13.786 17.568 33.982 1.326 
2017-11-25 31.989 14.306 18.470 33.678 1.558 
2017-11-26 31.588 13.635 20.107 33.349 1.321 
2017-11-27 36.212 13.462 17.590 31.212 1.524 
2017-11-28 35.437 13.591 18.549 31.011 1.412 
2017-11-29 38.406 14.437 16.680 28.844 1.633 
2017-11-30 34.609 12.785 19.261 31.966 1.379 
2017-12-1 35.369 12.685 19.140 31.291 1.515 
2017-12-2 33.634 13.140 20.199 31.429 1.597 
2017-12-3 32.600 11.887 20.303 33.806 1.404 
2017-12-4 37.019 12.506 19.087 29.741 1.646 
2017-12-5 35.686 12.741 18.937 31.226 1.409 
2017-12-6 35.414 12.121 19.600 31.408 1.456 
2017-12-7 35.386 11.458 22.581 29.042 1.533 
2017-12-8 34.517 12.297 21.368 30.141 1.676 
2017-12-9 32.041 12.057 21.891 32.339 1.672 
2017-12-10 32.385 11.653 22.469 31.948 1.545 
2017-12-11 35.656 12.081 19.865 30.521 1.876 
2017-12-12 34.324 10.803 23.158 30.091 1.623 
2017-12-13 34.928 11.122 22.337 29.888 1.724 
2017-12-14 33.531 10.018 26.190 28.365 1.896 
2017-12-15 34.828 13.147 20.569 29.855 1.601 
2017-12-16 30.181 10.164 26.195 31.650 1.810 
2017-12-17 31.358 9.801 27.806 29.250 1.785 
2017-12-18 35.353 11.051 22.995 28.795 1.806 
2017-12-19 34.693 11.272 22.281 30.090 1.664 
2017-12-20 33.699 11.450 21.077 32.130 1.644 
2017-12-21 33.014 11.574 21.188 32.721 1.503 
2017-12-22 32.378 12.070 18.997 34.957 1.598 
2017-12-23 33.406 12.986 19.456 32.519 1.633 
2017-12-24 33.528 12.812 19.368 32.465 1.826 
2017-12-25 34.048 12.768 20.469 31.403 1.311 
2017-12-26 28.489 11.034 21.660 37.428 1.389 
2017-12-27 30.296 10.743 20.624 37.195 1.142 
2017-12-28 32.157 12.294 17.786 36.328 1.435 
2017-12-29 31.525 11.133 21.150 34.687 1.506 
2017-12-30 32.113 11.520 20.501 34.233 1.634 
2017-12-31 29.050 10.357 20.905 38.464 1.224 
2018-1-1 34.146 7.317 20.209 36.585 1.742 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 32.432 11.497 19.809 34.734 1.528 
2018-1-7 31.389 11.088 18.502 37.718 1.304 
2018-1-8 39.539 11.834 16.118 30.853 1.657 
2018-1-9 34.167 12.095 18.243 33.976 1.520 
2018-1-10 33.743 10.619 20.327 33.655 1.656 
2018-1-11 34.261 11.636 19.986 32.561 1.556 
2018-1-12 32.905 11.033 19.995 34.404 1.663 
2018-1-13 30.687 10.619 22.562 34.473 1.659 
2018-1-14 32.127 10.488 23.731 31.937 1.718 
2018-1-15 34.292 9.927 22.859 31.110 1.812 
2018-1-16 33.019 10.594 20.923 33.948 1.517 
2018-1-17 33.641 10.882 20.644 33.233 1.600 
2018-1-18 33.380 10.937 21.908 32.204 1.571 
2018-1-19 33.792 11.847 18.812 34.126 1.423 
2018-1-20 29.906 10.777 20.764 36.913 1.640 
2018-1-21 28.769 9.977 22.503 37.233 1.518 
2018-1-22 34.085 10.313 23.120 30.810 1.672 
2018-1-23 33.485 10.267 22.893 31.807 1.549 
2018-1-24 37.666 10.769 21.596 28.365 1.604 
2018-1-25 37.402 12.091 22.427 26.174 1.906 
2018-1-26 34.570 11.681 19.501 32.680 1.568 
2018-1-27 33.683 12.739 19.895 32.012 1.671 
2018-1-28 35.434 12.739 18.677 31.695 1.455 
2018-1-29 40.463 12.625 17.895 27.441 1.575 
2018-1-30 34.375 12.088 19.107 33.061 1.369 
2018-1-31 34.626 11.803 19.058 33.309 1.203 
2018-2-1 35.397 11.658 18.985 32.666 1.294 
2018-2-2 34.690 11.119 19.984 32.598 1.609 
2018-2-3 30.295 11.772 19.309 37.194 1.431 
2018-2-4 31.375 11.588 19.035 36.566 1.437 
2018-2-5 37.579 11.904 20.226 28.701 1.590 
2018-2-6 38.285 11.780 20.864 27.221 1.851 
2018-2-7 37.829 11.726 20.522 28.131 1.792 
2018-2-8 36.948 12.596 18.534 30.111 1.811 
2018-2-9 34.407 12.174 18.917 33.054 1.448 
2018-2-10 31.101 11.184 19.374 37.002 1.340 
2018-2-11 33.165 11.795 19.887 33.882 1.271 
2018-2-12 39.212 12.240 21.188 25.773 1.587 
2018-2-13 38.229 12.006 19.726 28.552 1.487 
2018-2-14 38.247 11.705 21.074 27.597 1.376 
2018-2-15 37.759 11.716 19.996 29.294 1.236 
2018-2-16 39.110 11.506 21.281 26.476 1.627 
2018-2-17 30.408 10.402 23.322 34.243 1.625 
2018-2-18 33.662 10.247 24.244 29.887 1.960 
2018-2-19 41.012 12.492 21.204 23.549 1.742 
2018-2-20 42.724 11.832 23.804 19.932 1.707 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
