-1 2 4 8 others
2017-11-21 26.768 14.646 40.404 17.172 1.010 
2017-11-22 29.335 14.485 37.714 17.641 0.825 
2017-11-23 32.046 13.450 36.641 16.986 0.877 
2017-11-24 34.153 13.856 33.505 17.656 0.831 
2017-11-25 33.873 14.389 32.175 18.577 0.986 
2017-11-26 33.488 13.692 31.719 20.191 0.910 
2017-11-27 31.390 13.539 36.419 17.690 0.962 
2017-11-28 31.194 13.671 35.646 18.658 0.830 
2017-11-29 29.083 14.557 38.724 16.818 0.817 
2017-11-30 32.127 12.850 34.784 19.359 0.879 
2017-12-1 31.462 12.754 35.562 19.245 0.977 
2017-12-2 31.605 13.214 33.823 20.312 1.046 
2017-12-3 33.961 11.941 32.749 20.396 0.953 
2017-12-4 29.923 12.583 37.245 19.204 1.045 
2017-12-5 31.374 12.802 35.855 19.027 0.943 
2017-12-6 31.568 12.183 35.594 19.700 0.955 
2017-12-7 29.182 11.513 35.557 22.691 1.057 
2017-12-8 30.312 12.366 34.712 21.489 1.121 
2017-12-9 32.500 12.117 32.201 22.000 1.181 
2017-12-10 32.090 11.705 32.529 22.569 1.108 
2017-12-11 30.709 12.156 35.877 19.988 1.269 
2017-12-12 30.219 10.849 34.470 23.257 1.206 
2017-12-13 30.042 11.180 35.107 22.452 1.219 
2017-12-14 28.544 10.081 33.743 26.356 1.275 
2017-12-15 30.082 13.247 35.092 20.725 0.854 
2017-12-16 31.823 10.220 30.347 26.339 1.271 
2017-12-17 29.372 9.842 31.490 27.923 1.373 
2017-12-18 28.964 11.116 35.560 23.129 1.230 
2017-12-19 30.217 11.319 34.840 22.376 1.248 
2017-12-20 32.295 11.509 33.872 21.186 1.138 
2017-12-21 32.887 11.632 33.182 21.296 1.003 
2017-12-22 35.155 12.138 32.561 19.104 1.041 
2017-12-23 32.700 13.058 33.591 19.564 1.087 
2017-12-24 32.779 12.936 33.852 19.556 0.877 
2017-12-25 31.526 12.818 34.181 20.549 0.926 
2017-12-26 37.563 11.074 28.592 21.738 1.032 
2017-12-27 37.329 10.781 30.405 20.698 0.786 
2017-12-28 36.539 12.365 32.344 17.889 0.863 
2017-12-29 34.850 11.185 31.673 21.249 1.043 
2017-12-30 34.411 11.580 32.281 20.608 1.120 
2017-12-31 38.593 10.392 29.147 20.976 0.892 
2018-1-1 36.842 7.368 34.386 20.351 1.053 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 34.895 11.551 32.583 19.901 1.070 
2018-1-7 37.865 11.131 31.512 18.574 0.917 
2018-1-8 31.046 11.908 39.786 16.218 1.041 
2018-1-9 34.170 12.164 34.362 18.347 0.957 
2018-1-10 33.839 10.677 33.927 20.438 1.120 
2018-1-11 32.740 11.700 34.448 20.095 1.016 
2018-1-12 34.571 11.087 33.064 20.091 1.187 
2018-1-13 34.637 10.669 30.832 22.669 1.193 
2018-1-14 32.085 10.536 32.276 23.841 1.262 
2018-1-15 31.278 9.980 34.476 22.982 1.284 
2018-1-16 34.127 10.650 33.194 21.033 0.997 
2018-1-17 33.415 10.942 33.825 20.756 1.061 
2018-1-18 32.381 10.997 33.563 22.028 1.031 
2018-1-19 34.302 11.908 33.965 18.909 0.917 
2018-1-20 37.079 10.825 30.040 20.858 1.197 
2018-1-21 37.401 10.022 28.899 22.605 1.074 
2018-1-22 30.977 10.368 34.269 23.244 1.142 
2018-1-23 31.966 10.318 33.652 23.007 1.058 
2018-1-24 28.507 10.823 37.855 21.705 1.111 
2018-1-25 26.319 12.158 37.609 22.551 1.364 
2018-1-26 32.850 11.742 34.751 19.603 1.054 
2018-1-27 32.229 12.826 33.912 20.031 1.002 
2018-1-28 31.862 12.806 35.621 18.776 0.935 
2018-1-29 27.582 12.690 40.670 17.987 1.070 
2018-1-30 33.219 12.146 34.539 19.198 0.899 
2018-1-31 33.450 11.853 34.772 19.138 0.787 
2018-2-1 32.836 11.719 35.581 19.084 0.780 
2018-2-2 32.802 11.189 34.906 20.109 0.995 
2018-2-3 37.355 11.823 30.427 19.393 1.002 
2018-2-4 36.747 11.645 31.531 19.130 0.947 
2018-2-5 28.848 11.965 37.771 20.329 1.088 
2018-2-6 27.396 11.855 38.530 20.997 1.222 
2018-2-7 28.343 11.814 38.114 20.677 1.052 
2018-2-8 30.324 12.686 37.210 18.665 1.116 
2018-2-9 33.217 12.234 34.577 19.010 0.962 
2018-2-10 37.163 11.232 31.236 19.458 0.911 
2018-2-11 34.064 11.858 33.343 19.994 0.741 
2018-2-12 25.929 12.314 39.449 21.315 0.994 
2018-2-13 28.712 12.073 38.443 19.837 0.935 
2018-2-14 27.745 11.768 38.452 21.188 0.847 
2018-2-15 29.464 11.783 37.977 20.111 0.665 
2018-2-16 26.621 11.569 39.325 21.398 1.087 
2018-2-17 34.425 10.457 30.569 23.446 1.102 
2018-2-18 30.093 10.318 33.894 24.411 1.285 
2018-2-19 23.725 12.586 41.319 21.363 1.007 
2018-2-20 20.080 11.920 43.040 23.980 0.980 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
