gzip,_deflate,_br gzip,_deflate gzip,deflate,sdch gzip,deflate others
2017-11-21 68.514 12.091 0.252 1.008 18.136 
2017-11-22 64.923 17.529 0.305 0.819 16.424 
2017-11-23 62.162 18.826 0.369 0.522 18.120 
2017-11-24 59.532 18.979 0.355 0.734 20.401 
2017-11-25 59.209 17.234 0.430 0.828 22.299 
2017-11-26 59.376 15.523 0.449 0.859 23.793 
2017-11-27 62.980 18.099 0.377 0.550 17.994 
2017-11-28 63.143 18.555 0.332 0.762 17.207 
2017-11-29 65.866 18.350 0.353 0.500 14.931 
2017-11-30 62.281 16.860 0.366 0.647 19.846 
2017-12-1 63.197 16.530 0.393 0.729 19.150 
2017-12-2 62.644 14.686 0.501 0.745 21.424 
2017-12-3 59.631 16.629 0.395 0.702 22.643 
2017-12-4 64.988 17.349 0.421 0.636 16.606 
2017-12-5 63.406 16.367 0.384 0.741 19.102 
2017-12-6 63.180 15.868 0.363 0.829 19.761 
2017-12-7 65.213 15.219 0.487 0.782 18.298 
2017-12-8 64.256 15.125 0.426 0.895 19.298 
2017-12-9 61.327 14.547 0.468 0.892 22.766 
2017-12-10 61.864 15.073 0.447 0.910 21.705 
2017-12-11 64.284 16.742 0.435 0.721 17.819 
2017-12-12 64.758 15.035 0.416 0.725 19.065 
2017-12-13 65.286 15.056 0.389 0.742 18.528 
2017-12-14 66.658 13.761 0.395 0.790 18.396 
2017-12-15 64.268 14.617 0.509 0.885 19.721 
2017-12-16 62.168 12.609 0.571 1.045 23.607 
2017-12-17 64.999 11.309 0.598 0.826 22.268 
2017-12-18 66.136 14.444 0.561 0.869 17.990 
2017-12-19 64.717 14.476 0.495 0.743 19.569 
2017-12-20 62.691 15.272 0.359 0.597 21.081 
2017-12-21 61.962 14.808 0.343 0.654 22.232 
2017-12-22 59.365 15.293 0.341 0.624 24.377 
2017-12-23 61.841 14.438 0.327 0.723 22.671 
2017-12-24 61.877 16.539 0.329 0.718 20.536 
2017-12-25 63.304 14.809 0.511 0.922 20.453 
2017-12-26 56.747 15.244 0.389 0.851 26.769 
2017-12-27 57.293 16.596 0.405 0.757 24.949 
2017-12-28 58.307 18.227 0.350 0.585 22.532 
2017-12-29 60.004 16.846 0.468 0.681 22.001 
2017-12-30 60.993 17.648 0.553 0.653 20.152 
2017-12-31 56.430 19.554 0.399 0.590 23.027 
2018-1-1 58.188 25.436 0.000 0.697 15.679 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 60.627 20.541 0.432 0.472 17.928 
2018-1-7 57.356 20.955 0.352 0.409 20.927 
2018-1-8 65.532 20.633 0.284 0.384 13.167 
2018-1-9 61.619 17.797 0.378 0.559 19.647 
2018-1-10 61.764 17.423 0.395 0.620 19.798 
2018-1-11 62.778 16.254 0.326 0.625 20.018 
2018-1-12 61.007 16.934 0.391 0.586 21.082 
2018-1-13 60.363 14.442 0.428 0.785 23.982 
2018-1-14 62.693 13.822 0.379 0.883 22.223 
2018-1-15 64.431 15.701 0.336 0.719 18.813 
2018-1-16 61.534 15.245 0.350 0.673 22.198 
2018-1-17 62.483 16.416 0.310 0.591 20.201 
2018-1-18 63.143 15.662 0.450 0.610 20.134 
2018-1-19 61.188 16.432 0.366 0.643 21.371 
2018-1-20 58.218 15.350 0.397 0.739 25.296 
2018-1-21 57.890 14.717 0.453 0.708 26.232 
2018-1-22 65.053 15.749 0.385 0.658 18.155 
2018-1-23 63.869 14.282 0.320 0.656 20.873 
2018-1-24 68.234 15.321 0.332 0.616 15.497 
2018-1-25 69.455 11.526 0.328 0.621 18.070 
2018-1-26 62.898 13.243 0.373 0.691 22.796 
2018-1-27 63.187 12.587 0.334 0.623 23.268 
2018-1-28 63.669 12.747 0.389 0.575 22.619 
2018-1-29 68.866 13.574 0.264 0.334 16.961 
2018-1-30 62.343 13.315 0.282 0.519 23.542 
2018-1-31 61.949 14.244 0.233 0.628 22.946 
2018-2-1 62.887 12.884 0.395 0.511 23.323 
2018-2-2 62.729 12.647 0.376 0.605 23.644 
2018-2-3 57.777 12.847 0.382 0.543 28.452 
2018-2-4 58.378 12.602 0.352 0.650 28.017 
2018-2-5 67.056 12.431 0.345 0.632 19.536 
2018-2-6 68.441 11.631 0.289 0.597 19.043 
2018-2-7 67.574 11.488 0.266 0.584 20.088 
2018-2-8 65.710 11.846 0.277 0.574 21.593 
2018-2-9 62.451 12.680 0.222 0.443 24.205 
2018-2-10 57.936 12.133 0.399 0.602 28.930 
2018-2-11 61.310 12.288 0.434 0.565 25.404 
2018-2-12 69.927 11.133 0.282 0.635 18.023 
2018-2-13 67.407 12.071 0.264 0.577 19.681 
2018-2-14 68.635 10.886 0.403 0.747 19.329 
2018-2-15 66.793 11.380 0.444 0.509 20.874 
2018-2-16 69.425 10.947 0.349 0.639 18.640 
2018-2-17 60.565 11.517 0.510 0.711 26.697 
2018-2-18 65.260 11.111 0.526 0.736 22.367 
2018-2-19 72.918 11.184 0.307 0.551 15.040 
2018-2-20 77.193 10.103 0.258 0.496 11.949 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
