gzip,_deflate,_br gzip,_deflate gzip,_br identity others
2017-11-21 68.861 12.152 0.000 0.000 18.987 
2017-11-22 65.150 17.590 0.010 0.005 17.246 
2017-11-23 62.419 18.904 0.000 0.000 18.677 
2017-11-24 59.763 19.052 0.020 0.004 21.161 
2017-11-25 59.474 17.311 0.000 0.000 23.215 
2017-11-26 59.662 15.597 0.000 0.004 24.736 
2017-11-27 63.231 18.172 0.008 0.004 18.584 
2017-11-28 63.363 18.620 0.010 0.000 18.007 
2017-11-29 66.128 18.423 0.012 0.006 15.431 
2017-11-30 62.540 16.930 0.019 0.005 20.506 
2017-12-1 63.461 16.599 0.004 0.000 19.935 
2017-12-2 62.979 14.764 0.006 0.000 22.250 
2017-12-3 59.898 16.703 0.005 0.000 23.394 
2017-12-4 65.287 17.429 0.005 0.009 17.270 
2017-12-5 63.672 16.436 0.004 0.004 19.884 
2017-12-6 63.418 15.928 0.009 0.013 20.631 
2017-12-7 65.562 15.301 0.026 0.006 19.105 
2017-12-8 64.539 15.192 0.018 0.013 20.238 
2017-12-9 61.633 14.620 0.005 0.005 23.737 
2017-12-10 62.158 15.145 0.000 0.010 22.686 
2017-12-11 64.580 16.819 0.016 0.016 18.570 
2017-12-12 65.048 15.102 0.000 0.000 19.850 
2017-12-13 65.554 15.118 0.015 0.000 19.313 
2017-12-14 66.934 13.818 0.018 0.009 19.221 
2017-12-15 64.658 14.705 0.019 0.000 20.618 
2017-12-16 62.535 12.683 0.000 0.005 24.777 
2017-12-17 65.415 11.382 0.000 0.000 23.203 
2017-12-18 66.539 14.532 0.006 0.006 18.918 
2017-12-19 65.054 14.551 0.019 0.000 20.376 
2017-12-20 62.932 15.330 0.016 0.004 21.718 
2017-12-21 62.201 14.865 0.000 0.000 22.934 
2017-12-22 59.577 15.348 0.012 0.004 25.059 
2017-12-23 62.058 14.489 0.000 0.000 23.453 
2017-12-24 62.091 16.597 0.015 0.000 21.298 
2017-12-25 63.651 14.891 0.000 0.000 21.459 
2017-12-26 56.986 15.308 0.000 0.000 27.706 
2017-12-27 57.533 16.666 0.007 0.007 25.788 
2017-12-28 58.518 18.293 0.004 0.000 23.185 
2017-12-29 60.289 16.926 0.005 0.000 22.780 
2017-12-30 61.338 17.748 0.000 0.008 20.906 
2017-12-31 56.677 19.639 0.000 0.009 23.675 
2018-1-1 58.188 25.436 0.000 0.000 16.376 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 60.909 20.636 0.000 0.000 18.455 
2018-1-7 57.575 21.036 0.000 0.000 21.389 
2018-1-8 65.743 20.699 0.000 0.000 13.558 
2018-1-9 61.861 17.867 0.010 0.000 20.262 
2018-1-10 62.032 17.499 0.022 0.000 20.446 
2018-1-11 63.004 16.312 0.004 0.004 20.676 
2018-1-12 61.252 17.002 0.009 0.000 21.737 
2018-1-13 60.633 14.507 0.000 0.004 24.856 
2018-1-14 62.943 13.877 0.006 0.000 23.174 
2018-1-15 64.658 15.756 0.000 0.000 19.586 
2018-1-16 61.753 15.299 0.000 0.000 22.948 
2018-1-17 62.695 16.471 0.019 0.005 20.810 
2018-1-18 63.448 15.738 0.000 0.005 20.809 
2018-1-19 61.420 16.495 0.013 0.000 22.071 
2018-1-20 58.461 15.414 0.005 0.005 26.116 
2018-1-21 58.173 14.788 0.000 0.000 27.039 
2018-1-22 65.327 15.815 0.006 0.006 18.846 
2018-1-23 64.094 14.332 0.010 0.005 21.558 
2018-1-24 68.482 15.376 0.000 0.000 16.142 
2018-1-25 69.703 11.567 0.000 0.007 18.722 
2018-1-26 63.140 13.294 0.010 0.000 23.557 
2018-1-27 63.414 12.632 0.000 0.000 23.954 
2018-1-28 63.951 12.804 0.000 0.017 23.229 
2018-1-29 69.085 13.618 0.018 0.000 17.280 
2018-1-30 62.526 13.354 0.000 0.000 24.121 
2018-1-31 62.116 14.282 0.006 0.000 23.596 
2018-2-1 63.150 12.938 0.000 0.000 23.913 
2018-2-2 62.971 12.696 0.008 0.008 24.317 
2018-2-3 58.020 12.901 0.000 0.000 29.080 
2018-2-4 58.600 12.650 0.000 0.000 28.749 
2018-2-5 67.314 12.478 0.010 0.000 20.198 
2018-2-6 68.639 11.664 0.020 0.010 19.667 
2018-2-7 67.762 11.520 0.010 0.010 20.698 
2018-2-8 65.906 11.881 0.040 0.010 22.164 
2018-2-9 62.594 12.709 0.024 0.008 24.665 
2018-2-10 58.203 12.189 0.000 0.000 29.608 
2018-2-11 61.577 12.342 0.010 0.000 26.072 
2018-2-12 70.150 11.169 0.012 0.012 18.658 
2018-2-13 67.605 12.106 0.000 0.000 20.288 
2018-2-14 68.929 10.932 0.012 0.000 20.126 
2018-2-15 67.106 11.433 0.011 0.000 21.450 
2018-2-16 69.684 10.988 0.023 0.000 19.305 
2018-2-17 60.887 11.578 0.000 0.000 27.535 
2018-2-18 65.605 11.170 0.000 0.000 23.225 
2018-2-19 73.153 11.220 0.026 0.000 15.602 
2018-2-20 77.439 10.135 0.000 0.000 12.425 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
