br,_gzip,_deflate gzip,_deflate gzip,deflate gzip,_deflate,_br others
2017-11-21 17.975 12.152 1.013 68.861 0.000 
2017-11-22 16.381 17.596 0.822 65.172 0.029 
2017-11-23 18.123 18.907 0.524 62.428 0.019 
2017-11-24 20.385 19.061 0.737 59.789 0.028 
2017-11-25 22.367 17.311 0.832 59.474 0.016 
2017-11-26 23.858 15.599 0.863 59.667 0.013 
2017-11-27 17.950 18.179 0.553 63.258 0.060 
2017-11-28 17.212 18.624 0.765 63.379 0.020 
2017-11-29 14.868 18.431 0.502 66.157 0.043 
2017-11-30 19.807 16.937 0.650 62.564 0.043 
2017-12-1 19.170 16.602 0.732 63.469 0.027 
2017-12-2 21.490 14.765 0.749 62.983 0.013 
2017-12-3 22.666 16.704 0.705 59.901 0.025 
2017-12-4 16.572 17.437 0.639 65.315 0.038 
2017-12-5 19.114 16.440 0.744 63.687 0.015 
2017-12-6 19.762 15.933 0.832 63.441 0.031 
2017-12-7 18.290 15.310 0.787 65.600 0.013 
2017-12-8 19.312 15.202 0.900 64.582 0.004 
2017-12-9 22.818 14.621 0.897 61.639 0.024 
2017-12-10 21.765 15.147 0.915 62.168 0.005 
2017-12-11 17.788 16.831 0.725 64.626 0.032 
2017-12-12 19.056 15.103 0.729 65.052 0.060 
2017-12-13 18.504 15.124 0.745 65.581 0.046 
2017-12-14 18.379 13.829 0.794 66.989 0.009 
2017-12-15 19.655 14.708 0.891 64.670 0.076 
2017-12-16 23.689 12.685 1.051 62.544 0.031 
2017-12-17 22.353 11.382 0.831 65.415 0.019 
2017-12-18 17.996 14.536 0.875 66.554 0.040 
2017-12-19 19.588 14.556 0.747 65.075 0.033 
2017-12-20 21.069 15.335 0.600 62.949 0.047 
2017-12-21 22.220 14.869 0.657 62.218 0.036 
2017-12-22 24.401 15.353 0.627 59.596 0.023 
2017-12-23 22.720 14.489 0.726 62.058 0.008 
2017-12-24 20.568 16.602 0.721 62.109 0.000 
2017-12-25 20.532 14.891 0.927 63.651 0.000 
2017-12-26 26.846 15.307 0.854 56.983 0.010 
2017-12-27 24.980 16.673 0.761 57.560 0.026 
2017-12-28 22.555 18.298 0.588 58.535 0.024 
2017-12-29 22.070 16.929 0.684 60.298 0.019 
2017-12-30 20.251 17.749 0.657 61.343 0.000 
2017-12-31 23.076 19.641 0.592 56.682 0.009 
2018-1-1 15.679 25.436 0.697 58.188 0.000 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 17.981 20.636 0.475 60.909 0.000 
2018-1-7 20.952 21.038 0.411 57.581 0.019 
2018-1-8 13.138 20.703 0.386 65.755 0.018 
2018-1-9 19.651 17.875 0.562 61.888 0.024 
2018-1-10 19.776 17.511 0.623 62.074 0.017 
2018-1-11 19.978 16.318 0.627 63.029 0.048 
2018-1-12 21.129 17.004 0.589 61.260 0.018 
2018-1-13 24.065 14.508 0.789 60.638 0.000 
2018-1-14 22.277 13.878 0.886 62.947 0.012 
2018-1-15 18.801 15.761 0.722 64.678 0.038 
2018-1-16 22.235 15.301 0.675 61.762 0.027 
2018-1-17 20.186 16.480 0.593 62.727 0.014 
2018-1-18 20.173 15.739 0.613 63.454 0.020 
2018-1-19 21.407 16.501 0.646 61.442 0.004 
2018-1-20 25.351 15.418 0.742 58.474 0.014 
2018-1-21 26.319 14.789 0.711 58.176 0.005 
2018-1-22 18.162 15.821 0.661 65.350 0.006 
2018-1-23 20.880 14.336 0.658 64.111 0.016 
2018-1-24 15.458 15.379 0.618 68.495 0.049 
2018-1-25 18.053 11.570 0.623 69.718 0.036 
2018-1-26 22.821 13.296 0.693 63.149 0.040 
2018-1-27 23.323 12.633 0.625 63.419 0.000 
2018-1-28 22.606 12.807 0.578 63.967 0.042 
2018-1-29 16.892 13.625 0.336 69.121 0.026 
2018-1-30 23.551 13.357 0.521 62.543 0.028 
2018-1-31 22.938 14.284 0.630 62.123 0.024 
2018-2-1 23.370 12.940 0.513 63.163 0.014 
2018-2-2 23.714 12.698 0.607 62.981 0.000 
2018-2-3 28.527 12.901 0.545 58.020 0.007 
2018-2-4 28.090 12.650 0.653 58.600 0.007 
2018-2-5 19.521 12.482 0.635 67.333 0.029 
2018-2-6 19.036 11.669 0.599 68.666 0.030 
2018-2-7 20.097 11.522 0.585 67.776 0.021 
2018-2-8 21.553 11.889 0.576 65.952 0.030 
2018-2-9 24.186 12.716 0.445 62.629 0.024 
2018-2-10 28.986 12.189 0.605 58.203 0.017 
2018-2-11 25.507 12.343 0.567 61.583 0.000 
2018-2-12 17.982 11.174 0.637 70.183 0.024 
2018-2-13 19.680 12.106 0.579 67.605 0.029 
2018-2-14 19.347 10.936 0.751 68.954 0.012 
2018-2-15 20.900 11.435 0.512 67.120 0.033 
2018-2-16 18.646 10.992 0.642 69.708 0.012 
2018-2-17 26.800 11.578 0.715 60.887 0.019 
2018-2-18 22.459 11.170 0.740 65.605 0.026 
2018-2-19 15.021 11.227 0.553 73.200 0.000 
2018-2-20 11.908 10.135 0.498 77.439 0.020 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
