None others
2017-11-21 100.000 0.000 
2017-11-22 100.000 0.000 
2017-11-23 100.000 0.000 
2017-11-24 100.000 0.000 
2017-11-25 100.000 0.000 
2017-11-26 100.000 0.000 
2017-11-27 100.000 0.000 
2017-11-28 100.000 0.000 
2017-11-29 100.000 0.000 
2017-11-30 100.000 0.000 
2017-12-1 100.000 0.000 
2017-12-2 100.000 0.000 
2017-12-3 100.000 0.000 
2017-12-4 100.000 0.000 
2017-12-5 100.000 0.000 
2017-12-6 100.000 0.000 
2017-12-7 100.000 0.000 
2017-12-8 100.000 0.000 
2017-12-9 100.000 0.000 
2017-12-10 100.000 0.000 
2017-12-11 100.000 0.000 
2017-12-12 100.000 0.000 
2017-12-13 100.000 0.000 
2017-12-14 100.000 0.000 
2017-12-15 100.000 0.000 
2017-12-16 100.000 0.000 
2017-12-17 100.000 0.000 
2017-12-18 100.000 0.000 
2017-12-19 100.000 0.000 
2017-12-20 100.000 0.000 
2017-12-21 100.000 0.000 
2017-12-22 100.000 0.000 
2017-12-23 100.000 0.000 
2017-12-24 100.000 0.000 
2017-12-25 100.000 0.000 
2017-12-26 100.000 0.000 
2017-12-27 100.000 0.000 
2017-12-28 100.000 0.000 
2017-12-29 100.000 0.000 
2017-12-30 100.000 0.000 
2017-12-31 100.000 0.000 
2018-1-1 100.000 0.000 
2018-1-2 0.000 100.000 
2018-1-3 0.000 100.000 
2018-1-4 0.000 100.000 
2018-1-5 0.000 100.000 
2018-1-6 100.000 0.000 
2018-1-7 100.000 0.000 
2018-1-8 100.000 0.000 
2018-1-9 100.000 0.000 
2018-1-10 100.000 0.000 
2018-1-11 100.000 0.000 
2018-1-12 100.000 0.000 
2018-1-13 100.000 0.000 
2018-1-14 100.000 0.000 
2018-1-15 100.000 0.000 
2018-1-16 100.000 0.000 
2018-1-17 100.000 0.000 
2018-1-18 100.000 0.000 
2018-1-19 100.000 0.000 
2018-1-20 100.000 0.000 
2018-1-21 100.000 0.000 
2018-1-22 100.000 0.000 
2018-1-23 100.000 0.000 
2018-1-24 100.000 0.000 
2018-1-25 100.000 0.000 
2018-1-26 100.000 0.000 
2018-1-27 100.000 0.000 
2018-1-28 100.000 0.000 
2018-1-29 100.000 0.000 
2018-1-30 100.000 0.000 
2018-1-31 100.000 0.000 
2018-2-1 100.000 0.000 
2018-2-2 100.000 0.000 
2018-2-3 100.000 0.000 
2018-2-4 100.000 0.000 
2018-2-5 100.000 0.000 
2018-2-6 100.000 0.000 
2018-2-7 100.000 0.000 
2018-2-8 100.000 0.000 
2018-2-9 100.000 0.000 
2018-2-10 100.000 0.000 
2018-2-11 100.000 0.000 
2018-2-12 100.000 0.000 
2018-2-13 100.000 0.000 
2018-2-14 100.000 0.000 
2018-2-15 100.000 0.000 
2018-2-16 100.000 0.000 
2018-2-17 100.000 0.000 
2018-2-18 100.000 0.000 
2018-2-19 100.000 0.000 
2018-2-20 100.000 0.000 
2018-2-21 0.000 100.000 
2018-2-22 0.000 100.000 
