24 32 None -1 others
2017-11-21 64.736 31.486 3.526 0.000 0.252 
2017-11-22 61.398 36.791 1.634 0.014 0.162 
2017-11-23 60.250 38.674 0.886 0.000 0.189 
2017-11-24 55.680 43.647 0.552 0.000 0.121 
2017-11-25 50.889 48.697 0.346 0.000 0.068 
2017-11-26 47.312 52.338 0.315 0.009 0.026 
2017-11-27 60.908 38.601 0.296 0.000 0.195 
2017-11-28 61.634 37.961 0.274 0.010 0.122 
2017-11-29 66.782 32.773 0.256 0.018 0.171 
2017-11-30 58.028 41.654 0.166 0.014 0.138 
2017-12-1 57.703 42.046 0.128 0.009 0.115 
2017-12-2 52.358 47.429 0.175 0.000 0.038 
2017-12-3 50.721 49.145 0.089 0.010 0.035 
2017-12-4 62.331 37.426 0.117 0.000 0.126 
2017-12-5 58.178 41.579 0.076 0.004 0.163 
2017-12-6 57.003 42.782 0.085 0.009 0.121 
2017-12-7 55.876 43.855 0.109 0.019 0.141 
2017-12-8 54.213 45.616 0.075 0.009 0.088 
2017-12-9 47.835 52.067 0.049 0.000 0.049 
2017-12-10 48.658 51.238 0.068 0.016 0.021 
2017-12-11 59.803 39.926 0.043 0.016 0.211 
2017-12-12 54.587 45.217 0.048 0.012 0.137 
2017-12-13 56.544 43.221 0.056 0.005 0.174 
2017-12-14 52.191 47.548 0.036 0.045 0.180 
2017-12-15 53.946 45.941 0.057 0.000 0.057 
2017-12-16 42.600 57.323 0.025 0.020 0.031 
2017-12-17 44.027 55.897 0.057 0.009 0.009 
2017-12-18 56.383 43.381 0.034 0.011 0.191 
2017-12-19 54.692 45.121 0.037 0.023 0.126 
2017-12-20 55.864 43.949 0.031 0.012 0.144 
2017-12-21 52.958 46.897 0.036 0.000 0.108 
2017-12-22 51.941 47.911 0.023 0.023 0.101 
2017-12-23 52.628 47.240 0.078 0.016 0.039 
2017-12-24 56.010 43.901 0.030 0.015 0.045 
2017-12-25 50.700 49.233 0.033 0.000 0.033 
2017-12-26 45.293 54.630 0.014 0.010 0.053 
2017-12-27 48.613 51.276 0.007 0.013 0.091 
2017-12-28 56.016 43.858 0.008 0.012 0.106 
2017-12-29 51.793 48.105 0.029 0.010 0.063 
2017-12-30 55.076 44.832 0.017 0.025 0.050 
2017-12-31 50.136 49.828 0.018 0.000 0.018 
2018-1-1 58.885 41.115 0.000 0.000 0.000 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 60.858 39.071 0.020 0.000 0.050 
2018-1-7 58.974 40.940 0.029 0.010 0.048 
2018-1-8 74.087 25.775 0.009 0.018 0.110 
2018-1-9 60.553 39.342 0.010 0.005 0.091 
2018-1-10 58.273 41.612 0.011 0.011 0.093 
2018-1-11 56.943 42.866 0.016 0.004 0.171 
2018-1-12 55.975 43.879 0.009 0.023 0.114 
2018-1-13 48.067 51.898 0.009 0.000 0.026 
2018-1-14 48.391 51.549 0.024 0.006 0.030 
2018-1-15 56.340 43.454 0.000 0.000 0.206 
2018-1-16 55.005 44.834 0.009 0.009 0.144 
2018-1-17 56.883 43.000 0.009 0.014 0.094 
2018-1-18 54.970 44.875 0.005 0.010 0.140 
2018-1-19 56.593 43.275 0.009 0.009 0.115 
2018-1-20 48.286 51.644 0.000 0.005 0.065 
2018-1-21 45.928 53.998 0.005 0.000 0.069 
2018-1-22 57.397 42.475 0.012 0.006 0.111 
2018-1-23 54.403 45.463 0.005 0.010 0.119 
2018-1-24 65.086 34.748 0.000 0.010 0.156 
2018-1-25 59.705 40.181 0.014 0.000 0.100 
2018-1-26 55.733 44.096 0.010 0.015 0.146 
2018-1-27 56.440 43.491 0.015 0.015 0.038 
2018-1-28 60.910 39.022 0.008 0.008 0.051 
2018-1-29 72.693 27.166 0.009 0.009 0.123 
2018-1-30 61.828 38.034 0.011 0.000 0.127 
2018-1-31 61.732 38.083 0.012 0.024 0.150 
2018-2-1 61.675 38.195 0.014 0.007 0.109 
2018-2-2 61.366 38.527 0.000 0.008 0.098 
2018-2-3 57.247 42.695 0.000 0.007 0.051 
2018-2-4 58.989 40.977 0.000 0.007 0.027 
2018-2-5 70.034 29.860 0.000 0.019 0.086 
2018-2-6 70.958 28.952 0.000 0.010 0.080 
2018-2-7 69.343 30.606 0.000 0.010 0.041 
2018-2-8 69.216 30.666 0.000 0.020 0.099 
2018-2-9 66.028 33.885 0.000 0.000 0.087 
2018-2-10 58.050 41.882 0.017 0.008 0.042 
2018-2-11 62.248 37.692 0.010 0.020 0.030 
2018-2-12 73.336 26.593 0.000 0.012 0.059 
2018-2-13 71.199 28.693 0.010 0.000 0.098 
2018-2-14 71.351 28.566 0.000 0.012 0.071 
2018-2-15 70.196 29.695 0.022 0.000 0.087 
2018-2-16 71.284 28.600 0.000 0.012 0.105 
2018-2-17 59.258 40.704 0.000 0.000 0.038 
2018-2-18 64.598 35.363 0.000 0.000 0.039 
2018-2-19 76.111 23.709 0.000 0.000 0.179 
2018-2-20 80.091 19.770 0.000 0.000 0.139 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
