24 16 -1 None others
2017-11-21 64.736 0.252 0.000 3.526 31.486 
2017-11-22 61.398 0.162 0.014 1.634 36.791 
2017-11-23 60.250 0.189 0.000 0.886 38.674 
2017-11-24 55.680 0.121 0.000 0.552 43.647 
2017-11-25 50.889 0.068 0.000 0.346 48.697 
2017-11-26 47.312 0.026 0.009 0.315 52.338 
2017-11-27 60.908 0.195 0.000 0.296 38.601 
2017-11-28 61.634 0.122 0.010 0.274 37.961 
2017-11-29 66.782 0.171 0.018 0.256 32.773 
2017-11-30 58.028 0.138 0.014 0.166 41.654 
2017-12-1 57.703 0.115 0.009 0.128 42.046 
2017-12-2 52.358 0.038 0.000 0.175 47.429 
2017-12-3 50.721 0.035 0.010 0.089 49.145 
2017-12-4 62.331 0.126 0.000 0.117 37.426 
2017-12-5 58.178 0.163 0.004 0.076 41.579 
2017-12-6 57.003 0.121 0.009 0.085 42.782 
2017-12-7 55.876 0.141 0.019 0.109 43.855 
2017-12-8 54.213 0.088 0.009 0.075 45.616 
2017-12-9 47.835 0.049 0.000 0.049 52.067 
2017-12-10 48.658 0.021 0.016 0.068 51.238 
2017-12-11 59.803 0.211 0.016 0.043 39.926 
2017-12-12 54.587 0.137 0.012 0.048 45.217 
2017-12-13 56.544 0.174 0.005 0.056 43.221 
2017-12-14 52.191 0.180 0.045 0.036 47.548 
2017-12-15 53.946 0.057 0.000 0.057 45.941 
2017-12-16 42.600 0.031 0.020 0.025 57.323 
2017-12-17 44.027 0.009 0.009 0.057 55.897 
2017-12-18 56.383 0.191 0.011 0.034 43.381 
2017-12-19 54.692 0.126 0.023 0.037 45.121 
2017-12-20 55.864 0.144 0.012 0.031 43.949 
2017-12-21 52.958 0.108 0.000 0.036 46.897 
2017-12-22 51.941 0.101 0.023 0.023 47.911 
2017-12-23 52.628 0.039 0.016 0.078 47.240 
2017-12-24 56.010 0.045 0.015 0.030 43.901 
2017-12-25 50.700 0.033 0.000 0.033 49.233 
2017-12-26 45.293 0.053 0.010 0.014 54.630 
2017-12-27 48.613 0.091 0.013 0.007 51.276 
2017-12-28 56.016 0.106 0.012 0.008 43.858 
2017-12-29 51.793 0.063 0.010 0.029 48.105 
2017-12-30 55.076 0.050 0.025 0.017 44.832 
2017-12-31 50.136 0.018 0.000 0.018 49.828 
2018-1-1 58.885 0.000 0.000 0.000 41.115 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 60.858 0.050 0.000 0.020 39.071 
2018-1-7 58.974 0.048 0.010 0.029 40.940 
2018-1-8 74.087 0.110 0.018 0.009 25.775 
2018-1-9 60.556 0.086 0.005 0.010 39.344 
2018-1-10 58.273 0.093 0.011 0.011 41.612 
2018-1-11 56.943 0.171 0.004 0.016 42.866 
2018-1-12 55.975 0.114 0.023 0.009 43.879 
2018-1-13 48.067 0.026 0.000 0.009 51.898 
2018-1-14 48.391 0.030 0.006 0.024 51.549 
2018-1-15 56.340 0.206 0.000 0.000 43.454 
2018-1-16 55.005 0.144 0.009 0.009 44.834 
2018-1-17 56.883 0.094 0.014 0.009 43.000 
2018-1-18 54.970 0.140 0.010 0.005 44.875 
2018-1-19 56.593 0.115 0.009 0.009 43.275 
2018-1-20 48.286 0.065 0.005 0.000 51.644 
2018-1-21 45.928 0.069 0.000 0.005 53.998 
2018-1-22 57.397 0.111 0.006 0.012 42.475 
2018-1-23 54.403 0.119 0.010 0.005 45.463 
2018-1-24 65.086 0.156 0.010 0.000 34.748 
2018-1-25 59.705 0.100 0.000 0.014 40.181 
2018-1-26 55.733 0.146 0.015 0.010 44.096 
2018-1-27 56.440 0.038 0.015 0.015 43.491 
2018-1-28 60.910 0.051 0.008 0.008 39.022 
2018-1-29 72.693 0.123 0.009 0.009 27.166 
2018-1-30 61.828 0.127 0.000 0.011 38.034 
2018-1-31 61.732 0.150 0.024 0.012 38.083 
2018-2-1 61.671 0.109 0.007 0.014 38.200 
2018-2-2 61.366 0.098 0.008 0.000 38.527 
2018-2-3 57.247 0.051 0.007 0.000 42.695 
2018-2-4 58.989 0.027 0.007 0.000 40.977 
2018-2-5 70.034 0.086 0.019 0.000 29.860 
2018-2-6 70.958 0.080 0.010 0.000 28.952 
2018-2-7 69.343 0.041 0.010 0.000 30.606 
2018-2-8 69.216 0.099 0.020 0.000 30.666 
2018-2-9 66.028 0.087 0.000 0.000 33.885 
2018-2-10 58.050 0.042 0.008 0.017 41.882 
2018-2-11 62.248 0.030 0.020 0.010 37.692 
2018-2-12 73.336 0.059 0.012 0.000 26.593 
2018-2-13 71.199 0.098 0.000 0.010 28.693 
2018-2-14 71.351 0.071 0.012 0.000 28.566 
2018-2-15 70.196 0.087 0.000 0.022 29.695 
2018-2-16 71.284 0.105 0.012 0.000 28.600 
2018-2-17 59.258 0.038 0.000 0.000 40.704 
2018-2-18 64.598 0.039 0.000 0.000 35.363 
2018-2-19 76.111 0.179 0.000 0.000 23.709 
2018-2-20 80.091 0.139 0.000 0.000 19.770 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
