32 24 None others
2017-11-21 31.566 64.899 3.535 0.000 
2017-11-22 36.856 61.507 1.637 0.000 
2017-11-23 38.748 60.364 0.888 0.000 
2017-11-24 43.700 55.747 0.553 0.000 
2017-11-25 48.730 50.923 0.346 0.000 
2017-11-26 52.356 47.329 0.315 -0.000 
2017-11-27 38.676 61.027 0.297 0.000 
2017-11-28 38.011 61.715 0.274 0.000 
2017-11-29 32.835 66.909 0.256 0.000 
2017-11-30 41.717 58.116 0.167 -0.000 
2017-12-1 42.098 57.774 0.128 0.000 
2017-12-2 47.447 52.378 0.175 0.000 
2017-12-3 49.167 50.744 0.089 0.000 
2017-12-4 37.473 62.410 0.117 0.000 
2017-12-5 41.648 58.276 0.076 0.000 
2017-12-6 42.837 57.077 0.085 0.000 
2017-12-7 43.925 55.965 0.109 0.000 
2017-12-8 45.660 54.265 0.075 0.000 
2017-12-9 52.092 47.859 0.049 0.000 
2017-12-10 51.257 48.676 0.068 0.000 
2017-12-11 40.017 59.940 0.043 0.000 
2017-12-12 45.285 54.668 0.048 0.000 
2017-12-13 43.298 56.645 0.056 0.000 
2017-12-14 47.655 52.309 0.036 0.000 
2017-12-15 45.967 53.977 0.057 0.000 
2017-12-16 57.353 42.622 0.025 0.000 
2017-12-17 55.908 44.035 0.057 0.000 
2017-12-18 43.469 56.497 0.034 0.000 
2017-12-19 45.189 54.773 0.037 0.000 
2017-12-20 44.018 55.951 0.031 0.000 
2017-12-21 46.948 53.016 0.036 0.000 
2017-12-22 47.971 52.006 0.023 0.000 
2017-12-23 47.266 52.657 0.078 0.000 
2017-12-24 43.927 56.043 0.030 0.000 
2017-12-25 49.250 50.717 0.033 0.000 
2017-12-26 54.664 45.321 0.014 0.000 
2017-12-27 51.329 48.664 0.007 0.000 
2017-12-28 43.910 56.082 0.008 0.000 
2017-12-29 48.140 51.831 0.029 0.000 
2017-12-30 44.865 55.118 0.017 0.000 
2017-12-31 49.837 50.145 0.018 0.000 
2018-1-1 41.115 58.885 0.000 0.000 
2018-1-2 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 100.000 
2018-1-6 39.091 60.889 0.020 0.000 
2018-1-7 40.964 59.008 0.029 0.000 
2018-1-8 25.809 74.182 0.009 0.000 
2018-1-9 39.380 60.611 0.010 0.000 
2018-1-10 41.656 58.333 0.011 0.000 
2018-1-11 42.941 57.043 0.016 0.000 
2018-1-12 43.939 56.052 0.009 0.000 
2018-1-13 51.912 48.080 0.009 0.000 
2018-1-14 51.568 48.409 0.024 0.000 
2018-1-15 43.544 56.456 0.000 0.000 
2018-1-16 44.902 55.089 0.009 0.000 
2018-1-17 43.046 56.944 0.009 0.000 
2018-1-18 44.943 55.052 0.005 0.000 
2018-1-19 43.328 56.663 0.009 0.000 
2018-1-20 51.680 48.320 0.000 0.000 
2018-1-21 54.036 45.960 0.005 0.000 
2018-1-22 42.525 57.464 0.012 0.000 
2018-1-23 45.522 54.473 0.005 0.000 
2018-1-24 34.806 65.194 0.000 0.000 
2018-1-25 40.221 59.764 0.014 0.000 
2018-1-26 44.167 55.823 0.010 0.000 
2018-1-27 43.515 56.470 0.015 0.000 
2018-1-28 39.045 60.946 0.008 0.000 
2018-1-29 27.202 72.789 0.009 0.000 
2018-1-30 38.083 61.906 0.011 0.000 
2018-1-31 38.149 61.839 0.012 0.000 
2018-2-1 38.240 61.747 0.014 0.000 
2018-2-2 38.568 61.432 0.000 0.000 
2018-2-3 42.720 57.280 0.000 0.000 
2018-2-4 40.991 59.009 0.000 0.000 
2018-2-5 29.892 70.108 0.000 0.000 
2018-2-6 28.978 71.022 0.000 0.000 
2018-2-7 30.622 69.378 0.000 0.000 
2018-2-8 30.702 69.298 0.000 0.000 
2018-2-9 33.914 66.086 0.000 0.000 
2018-2-10 41.903 58.080 0.017 0.000 
2018-2-11 37.711 62.279 0.010 0.000 
2018-2-12 26.612 73.388 0.000 0.000 
2018-2-13 28.721 71.269 0.010 0.000 
2018-2-14 28.590 71.410 0.000 0.000 
2018-2-15 29.721 70.257 0.022 0.000 
2018-2-16 28.633 71.367 0.000 0.000 
2018-2-17 40.719 59.281 0.000 0.000 
2018-2-18 35.377 64.623 0.000 0.000 
2018-2-19 23.752 76.248 0.000 0.000 
2018-2-20 19.797 80.203 0.000 0.000 
2018-2-21 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 100.000 
