unknown None x86 others
2017-11-21 93.939 3.535 2.525 0.000 
2017-11-22 93.128 1.640 5.231 0.000 
2017-11-23 93.042 0.889 6.069 0.000 
2017-11-24 94.006 0.554 5.440 0.000 
2017-11-25 96.151 0.348 3.502 0.000 
2017-11-26 97.393 0.316 2.291 0.000 
2017-11-27 93.855 0.297 5.848 0.000 
2017-11-28 93.940 0.275 5.785 0.000 
2017-11-29 94.525 0.257 5.218 0.000 
2017-11-30 95.170 0.167 4.663 0.000 
2017-12-1 95.078 0.129 4.794 0.000 
2017-12-2 96.555 0.176 3.269 0.000 
2017-12-3 96.747 0.089 3.164 0.000 
2017-12-4 94.340 0.117 5.542 0.000 
2017-12-5 94.710 0.076 5.214 0.000 
2017-12-6 95.195 0.085 4.720 0.000 
2017-12-7 96.110 0.109 3.781 0.000 
2017-12-8 95.333 0.075 4.592 0.000 
2017-12-9 96.957 0.049 2.994 0.000 
2017-12-10 96.794 0.068 3.138 0.000 
2017-12-11 94.085 0.043 5.872 0.000 
2017-12-12 95.712 0.048 4.240 0.000 
2017-12-13 94.900 0.056 5.044 0.000 
2017-12-14 96.060 0.036 3.904 0.000 
2017-12-15 97.182 0.057 2.761 0.000 
2017-12-16 97.383 0.026 2.592 0.000 
2017-12-17 98.009 0.057 1.934 0.000 
2017-12-18 94.504 0.034 5.462 0.000 
2017-12-19 94.985 0.038 4.978 0.000 
2017-12-20 94.477 0.031 5.492 0.000 
2017-12-21 95.139 0.036 4.825 0.000 
2017-12-22 95.502 0.023 4.475 0.000 
2017-12-23 96.260 0.078 3.661 0.000 
2017-12-24 97.193 0.030 2.777 0.000 
2017-12-25 97.199 0.033 2.767 0.000 
2017-12-26 97.482 0.014 2.504 0.000 
2017-12-27 96.611 0.007 3.383 0.000 
2017-12-28 95.513 0.008 4.479 0.000 
2017-12-29 96.489 0.029 3.482 0.000 
2017-12-30 97.177 0.017 2.806 0.000 
2017-12-31 97.663 0.018 2.319 0.000 
2018-1-1 98.596 0.000 1.404 0.000 
2018-1-2 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 100.000 
2018-1-6 97.398 0.020 2.582 0.000 
2018-1-7 97.415 0.029 2.556 0.000 
2018-1-8 95.430 0.009 4.560 0.000 
2018-1-9 95.444 0.010 4.546 0.000 
2018-1-10 95.790 0.011 4.199 0.000 
2018-1-11 94.989 0.016 4.995 0.000 
2018-1-12 95.387 0.009 4.604 0.000 
2018-1-13 96.808 0.009 3.184 0.000 
2018-1-14 97.314 0.024 2.663 0.000 
2018-1-15 95.217 0.000 4.783 0.000 
2018-1-16 95.895 0.009 4.096 0.000 
2018-1-17 95.614 0.009 4.376 0.000 
2018-1-18 96.131 0.005 3.864 0.000 
2018-1-19 95.386 0.009 4.605 0.000 
2018-1-20 97.184 0.000 2.816 0.000 
2018-1-21 97.521 0.005 2.474 0.000 
2018-1-22 95.639 0.012 4.349 0.000 
2018-1-23 96.406 0.005 3.589 0.000 
2018-1-24 95.852 0.000 4.148 0.000 
2018-1-25 96.527 0.014 3.459 0.000 
2018-1-26 95.073 0.010 4.917 0.000 
2018-1-27 96.217 0.015 3.768 0.000 
2018-1-28 96.481 0.008 3.510 0.000 
2018-1-29 94.560 0.009 5.431 0.000 
2018-1-30 95.687 0.011 4.302 0.000 
2018-1-31 95.391 0.012 4.597 0.000 
2018-2-1 96.030 0.014 3.957 0.000 
2018-2-2 96.752 0.000 3.248 0.000 
2018-2-3 96.942 0.000 3.058 0.000 
2018-2-4 97.095 0.000 2.905 0.000 
2018-2-5 96.233 0.000 3.767 0.000 
2018-2-6 97.085 0.000 2.915 0.000 
2018-2-7 97.328 0.000 2.672 0.000 
2018-2-8 96.814 0.000 3.186 0.000 
2018-2-9 96.534 0.000 3.466 0.000 
2018-2-10 97.608 0.017 2.375 0.000 
2018-2-11 97.305 0.010 2.685 0.000 
2018-2-12 96.840 0.000 3.160 0.000 
2018-2-13 96.541 0.010 3.450 0.000 
2018-2-14 97.192 0.000 2.808 0.000 
2018-2-15 97.074 0.022 2.904 0.000 
2018-2-16 96.864 0.000 3.136 0.000 
2018-2-17 97.711 0.000 2.289 0.000 
2018-2-18 98.071 0.000 1.929 0.000 
2018-2-19 96.219 0.000 3.781 0.000 
2018-2-20 96.515 0.000 3.485 0.000 
2018-2-21 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 100.000 
