unknown ARM None others
2017-11-21 96.373 0.000 3.627 0.000 
2017-11-22 98.155 0.116 1.729 0.000 
2017-11-23 98.941 0.113 0.946 0.000 
2017-11-24 99.333 0.081 0.586 0.000 
2017-11-25 99.466 0.174 0.360 0.000 
2017-11-26 99.562 0.115 0.323 0.000 
2017-11-27 99.563 0.122 0.316 0.000 
2017-11-28 99.573 0.135 0.291 0.000 
2017-11-29 99.581 0.148 0.271 0.000 
2017-11-30 99.695 0.130 0.175 0.000 
2017-12-1 99.753 0.112 0.135 0.000 
2017-12-2 99.675 0.143 0.182 0.000 
2017-12-3 99.780 0.128 0.092 0.000 
2017-12-4 99.772 0.104 0.124 0.000 
2017-12-5 99.783 0.137 0.080 0.000 
2017-12-6 99.807 0.104 0.090 0.000 
2017-12-7 99.699 0.187 0.114 0.000 
2017-12-8 99.765 0.157 0.078 0.000 
2017-12-9 99.784 0.166 0.050 0.000 
2017-12-10 99.763 0.167 0.070 0.000 
2017-12-11 99.845 0.109 0.046 0.000 
2017-12-12 99.844 0.106 0.050 0.000 
2017-12-13 99.816 0.124 0.059 0.000 
2017-12-14 99.841 0.122 0.037 0.000 
2017-12-15 99.767 0.175 0.058 0.000 
2017-12-16 99.827 0.147 0.026 0.000 
2017-12-17 99.825 0.116 0.058 0.000 
2017-12-18 99.875 0.089 0.036 0.000 
2017-12-19 99.827 0.133 0.039 0.000 
2017-12-20 99.863 0.104 0.033 0.000 
2017-12-21 99.838 0.124 0.038 0.000 
2017-12-22 99.805 0.171 0.024 0.000 
2017-12-23 99.757 0.162 0.081 0.000 
2017-12-24 99.892 0.077 0.031 0.000 
2017-12-25 99.840 0.126 0.034 0.000 
2017-12-26 99.832 0.153 0.015 0.000 
2017-12-27 99.871 0.122 0.007 0.000 
2017-12-28 99.898 0.094 0.009 0.000 
2017-12-29 99.885 0.085 0.030 0.000 
2017-12-30 99.845 0.138 0.017 0.000 
2017-12-31 99.870 0.112 0.019 0.000 
2018-1-1 100.000 0.000 0.000 0.000 
2018-1-2 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 100.000 
2018-1-6 99.845 0.134 0.021 0.000 
2018-1-7 99.932 0.039 0.029 0.000 
2018-1-8 99.914 0.077 0.010 0.000 
2018-1-9 99.849 0.141 0.010 0.000 
2018-1-10 99.891 0.098 0.011 0.000 
2018-1-11 99.887 0.097 0.017 0.000 
2018-1-12 99.866 0.124 0.010 0.000 
2018-1-13 99.845 0.146 0.009 0.000 
2018-1-14 99.848 0.128 0.024 0.000 
2018-1-15 99.895 0.105 0.000 0.000 
2018-1-16 99.906 0.084 0.009 0.000 
2018-1-17 99.926 0.064 0.010 0.000 
2018-1-18 99.870 0.125 0.005 0.000 
2018-1-19 99.903 0.088 0.009 0.000 
2018-1-20 99.900 0.100 0.000 0.000 
2018-1-21 99.876 0.119 0.005 0.000 
2018-1-22 99.908 0.079 0.012 0.000 
2018-1-23 99.839 0.156 0.005 0.000 
2018-1-24 99.898 0.102 0.000 0.000 
2018-1-25 99.881 0.104 0.015 0.000 
2018-1-26 99.862 0.128 0.011 0.000 
2018-1-27 99.881 0.103 0.016 0.000 
2018-1-28 99.842 0.150 0.009 0.000 
2018-1-29 99.841 0.149 0.009 0.000 
2018-1-30 99.884 0.104 0.012 0.000 
2018-1-31 99.818 0.170 0.013 0.000 
2018-2-1 99.865 0.121 0.014 0.000 
2018-2-2 99.814 0.186 0.000 0.000 
2018-2-3 99.803 0.197 0.000 0.000 
2018-2-4 99.818 0.182 0.000 0.000 
2018-2-5 99.880 0.120 0.000 0.000 
2018-2-6 99.918 0.082 0.000 0.000 
2018-2-7 99.905 0.095 0.000 0.000 
2018-2-8 99.908 0.092 0.000 0.000 
2018-2-9 99.901 0.099 0.000 0.000 
2018-2-10 99.826 0.157 0.017 0.000 
2018-2-11 99.844 0.146 0.010 0.000 
2018-2-12 99.951 0.049 0.000 0.000 
2018-2-13 99.827 0.163 0.010 0.000 
2018-2-14 99.902 0.098 0.000 0.000 
2018-2-15 99.810 0.168 0.022 0.000 
2018-2-16 99.856 0.144 0.000 0.000 
2018-2-17 99.754 0.246 0.000 0.000 
2018-2-18 99.745 0.255 0.000 0.000 
2018-2-19 99.920 0.080 0.000 0.000 
2018-2-20 99.876 0.124 0.000 0.000 
2018-2-21 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 100.000 
