False True None others
2017-11-21 93.451 3.023 3.526 0.000 
2017-11-22 94.537 3.833 1.629 0.000 
2017-11-23 95.736 3.379 0.885 0.000 
2017-11-24 95.712 3.737 0.551 0.000 
2017-11-25 95.674 3.981 0.345 0.000 
2017-11-26 95.548 4.138 0.314 0.000 
2017-11-27 96.403 3.301 0.296 0.000 
2017-11-28 96.011 3.716 0.273 0.000 
2017-11-29 96.490 3.255 0.256 0.000 
2017-11-30 96.037 3.797 0.166 0.000 
2017-12-1 96.192 3.680 0.128 0.000 
2017-12-2 95.939 3.887 0.175 0.000 
2017-12-3 95.479 4.433 0.088 0.000 
2017-12-4 96.188 3.695 0.117 0.000 
2017-12-5 95.809 4.115 0.076 0.000 
2017-12-6 95.980 3.935 0.085 0.000 
2017-12-7 95.693 4.198 0.109 0.000 
2017-12-8 95.796 4.130 0.074 0.000 
2017-12-9 95.456 4.495 0.048 0.000 
2017-12-10 95.340 4.592 0.067 0.000 
2017-12-11 96.271 3.686 0.043 0.000 
2017-12-12 95.554 4.399 0.047 0.000 
2017-12-13 95.859 4.084 0.056 0.000 
2017-12-14 95.360 4.604 0.036 0.000 
2017-12-15 95.561 4.383 0.056 0.000 
2017-12-16 94.699 5.275 0.025 0.000 
2017-12-17 94.593 5.350 0.057 0.000 
2017-12-18 95.680 4.286 0.034 0.000 
2017-12-19 95.553 4.409 0.037 0.000 
2017-12-20 96.075 3.894 0.031 0.000 
2017-12-21 95.501 4.463 0.036 0.000 
2017-12-22 96.161 3.816 0.023 0.000 
2017-12-23 95.809 4.113 0.078 0.000 
2017-12-24 95.864 4.106 0.030 0.000 
2017-12-25 95.410 4.557 0.033 0.000 
2017-12-26 95.413 4.573 0.014 0.000 
2017-12-27 95.887 4.106 0.007 0.000 
2017-12-28 96.183 3.809 0.008 0.000 
2017-12-29 95.488 4.483 0.029 0.000 
2017-12-30 95.745 4.238 0.017 0.000 
2017-12-31 95.619 4.363 0.018 0.000 
2018-1-1 95.122 4.878 0.000 0.000 
2018-1-2 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 100.000 
2018-1-6 95.716 4.264 0.020 0.000 
2018-1-7 96.112 3.860 0.029 0.000 
2018-1-8 96.684 3.307 0.009 0.000 
2018-1-9 96.179 3.812 0.010 0.000 
2018-1-10 96.163 3.826 0.011 0.000 
2018-1-11 95.924 4.060 0.016 0.000 
2018-1-12 95.907 4.084 0.009 0.000 
2018-1-13 95.221 4.771 0.009 0.000 
2018-1-14 94.894 5.083 0.024 0.000 
2018-1-15 95.470 4.530 0.000 0.000 
2018-1-16 95.902 4.089 0.009 0.000 
2018-1-17 96.075 3.916 0.009 0.000 
2018-1-18 95.766 4.229 0.005 0.000 
2018-1-19 96.195 3.796 0.009 0.000 
2018-1-20 95.634 4.366 0.000 0.000 
2018-1-21 95.067 4.929 0.005 0.000 
2018-1-22 95.777 4.211 0.012 0.000 
2018-1-23 95.533 4.462 0.005 0.000 
2018-1-24 95.980 4.020 0.000 0.000 
2018-1-25 95.780 4.206 0.014 0.000 
2018-1-26 96.047 3.943 0.010 0.000 
2018-1-27 95.878 4.106 0.015 0.000 
2018-1-28 95.914 4.078 0.008 0.000 
2018-1-29 96.662 3.329 0.009 0.000 
2018-1-30 95.939 4.050 0.011 0.000 
2018-1-31 96.457 3.531 0.012 0.000 
2018-2-1 96.348 3.638 0.014 0.000 
2018-2-2 96.353 3.647 0.000 0.000 
2018-2-3 96.043 3.957 0.000 0.000 
2018-2-4 95.910 4.090 0.000 0.000 
2018-2-5 96.179 3.821 0.000 0.000 
2018-2-6 96.559 3.441 0.000 0.000 
2018-2-7 96.548 3.452 0.000 0.000 
2018-2-8 96.377 3.623 0.000 0.000 
2018-2-9 96.273 3.727 0.000 0.000 
2018-2-10 95.729 4.254 0.017 0.000 
2018-2-11 95.829 4.161 0.010 0.000 
2018-2-12 96.223 3.777 0.000 0.000 
2018-2-13 96.224 3.767 0.010 0.000 
2018-2-14 96.439 3.561 0.000 0.000 
2018-2-15 96.671 3.308 0.022 0.000 
2018-2-16 95.743 4.257 0.000 0.000 
2018-2-17 94.290 5.710 0.000 0.000 
2018-2-18 94.982 5.018 0.000 0.000 
2018-2-19 95.712 4.288 0.000 0.000 
2018-2-20 95.648 4.352 0.000 0.000 
2018-2-21 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 100.000 
