False True None others
2017-11-21 74.055 22.418 3.526 0.000 
2017-11-22 76.036 22.331 1.633 0.000 
2017-11-23 74.338 24.776 0.886 0.000 
2017-11-24 72.210 27.238 0.552 0.000 
2017-11-25 69.667 29.987 0.346 0.000 
2017-11-26 68.832 30.853 0.315 0.000 
2017-11-27 75.813 23.890 0.296 0.000 
2017-11-28 76.422 23.305 0.273 0.000 
2017-11-29 79.237 20.507 0.256 0.000 
2017-11-30 74.272 25.562 0.166 0.000 
2017-12-1 75.073 24.799 0.128 0.000 
2017-12-2 72.327 27.498 0.175 0.000 
2017-12-3 70.950 28.961 0.089 0.000 
2017-12-4 78.112 21.771 0.117 0.000 
2017-12-5 75.451 24.473 0.076 0.000 
2017-12-6 74.806 25.109 0.085 0.000 
2017-12-7 76.616 23.275 0.109 0.000 
2017-12-8 75.367 24.558 0.075 0.000 
2017-12-9 71.406 28.545 0.049 0.000 
2017-12-10 72.197 27.735 0.068 0.000 
2017-12-11 77.027 22.930 0.043 0.000 
2017-12-12 76.395 23.558 0.048 0.000 
2017-12-13 77.060 22.884 0.056 0.000 
2017-12-14 77.718 22.246 0.036 0.000 
2017-12-15 74.115 25.828 0.056 0.000 
2017-12-16 71.198 28.777 0.025 0.000 
2017-12-17 73.030 26.913 0.057 0.000 
2017-12-18 77.539 22.427 0.034 0.000 
2017-12-19 75.655 24.307 0.037 0.000 
2017-12-20 74.418 25.551 0.031 0.000 
2017-12-21 72.774 27.189 0.036 0.000 
2017-12-22 69.867 30.110 0.023 0.000 
2017-12-23 71.583 28.339 0.078 0.000 
2017-12-24 74.069 25.901 0.030 0.000 
2017-12-25 73.761 26.205 0.033 0.000 
2017-12-26 67.794 32.192 0.014 0.000 
2017-12-27 70.160 29.834 0.007 0.000 
2017-12-28 72.643 27.348 0.008 0.000 
2017-12-29 73.348 26.623 0.029 0.000 
2017-12-30 75.500 24.483 0.017 0.000 
2017-12-31 72.748 27.234 0.018 0.000 
2018-1-1 79.443 20.557 0.000 0.000 
2018-1-2 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 100.000 
2018-1-6 78.176 21.804 0.020 0.000 
2018-1-7 74.344 25.628 0.029 0.000 
2018-1-8 83.420 16.571 0.009 0.000 
2018-1-9 75.990 24.000 0.010 0.000 
2018-1-10 76.220 23.769 0.011 0.000 
2018-1-11 75.600 24.385 0.016 0.000 
2018-1-12 74.453 25.538 0.009 0.000 
2018-1-13 71.552 28.439 0.009 0.000 
2018-1-14 72.824 27.153 0.024 0.000 
2018-1-15 77.089 22.911 0.000 0.000 
2018-1-16 73.878 26.113 0.009 0.000 
2018-1-17 75.623 24.367 0.009 0.000 
2018-1-18 75.461 24.534 0.005 0.000 
2018-1-19 74.084 25.907 0.009 0.000 
2018-1-20 70.278 29.722 0.000 0.000 
2018-1-21 69.104 30.891 0.005 0.000 
2018-1-22 77.877 22.111 0.012 0.000 
2018-1-23 75.390 24.605 0.005 0.000 
2018-1-24 80.870 19.130 0.000 0.000 
2018-1-25 77.599 22.387 0.014 0.000 
2018-1-26 72.904 27.086 0.010 0.000 
2018-1-27 72.483 27.502 0.015 0.000 
2018-1-28 72.673 27.318 0.008 0.000 
2018-1-29 79.443 20.549 0.009 0.000 
2018-1-30 71.561 28.428 0.011 0.000 
2018-1-31 71.641 28.347 0.012 0.000 
2018-2-1 71.553 28.433 0.014 0.000 
2018-2-2 70.729 29.271 0.000 0.000 
2018-2-3 65.943 34.057 0.000 0.000 
2018-2-4 66.658 33.342 0.000 0.000 
2018-2-5 75.237 24.763 0.000 0.000 
2018-2-6 76.167 23.833 0.000 0.000 
2018-2-7 74.391 25.609 0.000 0.000 
2018-2-8 73.519 26.481 0.000 0.000 
2018-2-9 70.848 29.152 0.000 0.000 
2018-2-10 64.975 35.008 0.017 0.000 
2018-2-11 68.519 31.471 0.010 0.000 
2018-2-12 77.009 22.991 0.000 0.000 
2018-2-13 75.352 24.638 0.010 0.000 
2018-2-14 75.992 24.008 0.000 0.000 
2018-2-15 74.242 25.736 0.022 0.000 
2018-2-16 76.533 23.467 0.000 0.000 
2018-2-17 67.832 32.168 0.000 0.000 
2018-2-18 72.689 27.311 0.000 0.000 
2018-2-19 80.699 19.301 0.000 0.000 
2018-2-20 84.315 15.685 0.000 0.000 
2018-2-21 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 100.000 
