True False None others
2017-11-21 22.418 74.055 3.526 0.000 
2017-11-22 22.331 76.036 1.633 0.000 
2017-11-23 24.776 74.338 0.886 0.000 
2017-11-24 27.238 72.210 0.552 0.000 
2017-11-25 29.987 69.667 0.346 0.000 
2017-11-26 30.853 68.832 0.315 0.000 
2017-11-27 23.890 75.813 0.296 0.000 
2017-11-28 23.305 76.422 0.273 0.000 
2017-11-29 20.507 79.237 0.256 0.000 
2017-11-30 25.562 74.272 0.166 0.000 
2017-12-1 24.799 75.073 0.128 0.000 
2017-12-2 27.498 72.327 0.175 0.000 
2017-12-3 28.961 70.950 0.089 0.000 
2017-12-4 21.771 78.112 0.117 0.000 
2017-12-5 24.473 75.451 0.076 0.000 
2017-12-6 25.109 74.806 0.085 0.000 
2017-12-7 23.275 76.616 0.109 0.000 
2017-12-8 24.558 75.367 0.075 0.000 
2017-12-9 28.545 71.406 0.049 0.000 
2017-12-10 27.735 72.197 0.068 0.000 
2017-12-11 22.930 77.027 0.043 0.000 
2017-12-12 23.558 76.395 0.048 0.000 
2017-12-13 22.884 77.060 0.056 0.000 
2017-12-14 22.246 77.718 0.036 0.000 
2017-12-15 25.828 74.115 0.056 0.000 
2017-12-16 28.777 71.198 0.025 0.000 
2017-12-17 26.913 73.030 0.057 0.000 
2017-12-18 22.427 77.539 0.034 0.000 
2017-12-19 24.307 75.655 0.037 0.000 
2017-12-20 25.551 74.418 0.031 0.000 
2017-12-21 27.189 72.774 0.036 0.000 
2017-12-22 30.110 69.867 0.023 0.000 
2017-12-23 28.339 71.583 0.078 0.000 
2017-12-24 25.901 74.069 0.030 0.000 
2017-12-25 26.205 73.761 0.033 0.000 
2017-12-26 32.192 67.794 0.014 0.000 
2017-12-27 29.834 70.160 0.007 0.000 
2017-12-28 27.348 72.643 0.008 0.000 
2017-12-29 26.623 73.348 0.029 0.000 
2017-12-30 24.483 75.500 0.017 0.000 
2017-12-31 27.234 72.748 0.018 0.000 
2018-1-1 20.557 79.443 0.000 0.000 
2018-1-2 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 100.000 
2018-1-6 21.804 78.176 0.020 0.000 
2018-1-7 25.628 74.344 0.029 0.000 
2018-1-8 16.571 83.420 0.009 0.000 
2018-1-9 24.000 75.990 0.010 0.000 
2018-1-10 23.769 76.220 0.011 0.000 
2018-1-11 24.385 75.600 0.016 0.000 
2018-1-12 25.538 74.453 0.009 0.000 
2018-1-13 28.439 71.552 0.009 0.000 
2018-1-14 27.153 72.824 0.024 0.000 
2018-1-15 22.911 77.089 0.000 0.000 
2018-1-16 26.113 73.878 0.009 0.000 
2018-1-17 24.367 75.623 0.009 0.000 
2018-1-18 24.534 75.461 0.005 0.000 
2018-1-19 25.907 74.084 0.009 0.000 
2018-1-20 29.722 70.278 0.000 0.000 
2018-1-21 30.891 69.104 0.005 0.000 
2018-1-22 22.111 77.877 0.012 0.000 
2018-1-23 24.605 75.390 0.005 0.000 
2018-1-24 19.130 80.870 0.000 0.000 
2018-1-25 22.387 77.599 0.014 0.000 
2018-1-26 27.086 72.904 0.010 0.000 
2018-1-27 27.502 72.483 0.015 0.000 
2018-1-28 27.318 72.673 0.008 0.000 
2018-1-29 20.549 79.443 0.009 0.000 
2018-1-30 28.428 71.561 0.011 0.000 
2018-1-31 28.347 71.641 0.012 0.000 
2018-2-1 28.433 71.553 0.014 0.000 
2018-2-2 29.271 70.729 0.000 0.000 
2018-2-3 34.057 65.943 0.000 0.000 
2018-2-4 33.342 66.658 0.000 0.000 
2018-2-5 24.763 75.237 0.000 0.000 
2018-2-6 23.833 76.167 0.000 0.000 
2018-2-7 25.609 74.391 0.000 0.000 
2018-2-8 26.481 73.519 0.000 0.000 
2018-2-9 29.152 70.848 0.000 0.000 
2018-2-10 35.008 64.975 0.017 0.000 
2018-2-11 31.471 68.519 0.010 0.000 
2018-2-12 22.991 77.009 0.000 0.000 
2018-2-13 24.638 75.352 0.010 0.000 
2018-2-14 24.008 75.992 0.000 0.000 
2018-2-15 25.736 74.242 0.022 0.000 
2018-2-16 23.467 76.533 0.000 0.000 
2018-2-17 32.168 67.832 0.000 0.000 
2018-2-18 27.311 72.689 0.000 0.000 
2018-2-19 19.301 80.699 0.000 0.000 
2018-2-20 15.685 84.315 0.000 0.000 
2018-2-21 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 100.000 
