False None True others
2017-11-21 93.955 3.526 2.519 0.000 
2017-11-22 94.501 1.633 3.866 0.000 
2017-11-23 94.952 0.886 4.162 0.000 
2017-11-24 94.715 0.552 4.733 0.000 
2017-11-25 94.101 0.346 5.553 0.000 
2017-11-26 94.244 0.315 5.441 0.000 
2017-11-27 95.553 0.296 4.151 0.000 
2017-11-28 96.030 0.273 3.697 0.000 
2017-11-29 96.211 0.256 3.533 0.000 
2017-11-30 96.003 0.166 3.830 0.000 
2017-12-1 96.034 0.128 3.838 0.000 
2017-12-2 95.161 0.175 4.664 0.000 
2017-12-3 95.003 0.089 4.908 0.000 
2017-12-4 96.825 0.117 3.058 0.000 
2017-12-5 96.239 0.076 3.685 0.000 
2017-12-6 95.974 0.085 3.941 0.000 
2017-12-7 96.660 0.109 3.231 0.000 
2017-12-8 96.294 0.075 3.631 0.000 
2017-12-9 95.410 0.049 4.541 0.000 
2017-12-10 95.576 0.068 4.356 0.000 
2017-12-11 96.492 0.043 3.465 0.000 
2017-12-12 97.063 0.048 2.889 0.000 
2017-12-13 97.056 0.056 2.888 0.000 
2017-12-14 97.431 0.036 2.533 0.000 
2017-12-15 94.882 0.056 5.061 0.000 
2017-12-16 96.016 0.025 3.958 0.000 
2017-12-17 96.356 0.057 3.587 0.000 
2017-12-18 97.078 0.034 2.888 0.000 
2017-12-19 96.613 0.037 3.350 0.000 
2017-12-20 96.067 0.031 3.902 0.000 
2017-12-21 95.719 0.036 4.245 0.000 
2017-12-22 95.076 0.023 4.901 0.000 
2017-12-23 94.831 0.078 5.091 0.000 
2017-12-24 95.244 0.030 4.726 0.000 
2017-12-25 95.071 0.033 4.896 0.000 
2017-12-26 94.884 0.014 5.102 0.000 
2017-12-27 95.355 0.007 4.638 0.000 
2017-12-28 94.917 0.008 5.075 0.000 
2017-12-29 95.918 0.029 4.053 0.000 
2017-12-30 96.250 0.017 3.733 0.000 
2017-12-31 96.209 0.018 3.773 0.000 
2018-1-1 97.213 0.000 2.787 0.000 
2018-1-2 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 100.000 
2018-1-6 97.056 0.020 2.924 0.000 
2018-1-7 95.654 0.029 4.318 0.000 
2018-1-8 97.740 0.009 2.251 0.000 
2018-1-9 96.101 0.010 3.890 0.000 
2018-1-10 96.359 0.011 3.630 0.000 
2018-1-11 96.285 0.016 3.699 0.000 
2018-1-12 96.244 0.009 3.747 0.000 
2018-1-13 95.951 0.009 4.040 0.000 
2018-1-14 95.856 0.024 4.121 0.000 
2018-1-15 96.827 0.000 3.173 0.000 
2018-1-16 96.229 0.009 3.763 0.000 
2018-1-17 95.930 0.009 4.061 0.000 
2018-1-18 96.574 0.005 3.421 0.000 
2018-1-19 95.913 0.009 4.078 0.000 
2018-1-20 95.494 0.000 4.506 0.000 
2018-1-21 95.625 0.005 4.371 0.000 
2018-1-22 97.076 0.012 2.912 0.000 
2018-1-23 96.574 0.005 3.421 0.000 
2018-1-24 97.927 0.000 2.073 0.000 
2018-1-25 96.247 0.014 3.739 0.000 
2018-1-26 95.585 0.010 4.405 0.000 
2018-1-27 95.352 0.015 4.633 0.000 
2018-1-28 95.197 0.008 4.794 0.000 
2018-1-29 96.790 0.009 3.202 0.000 
2018-1-30 95.595 0.011 4.394 0.000 
2018-1-31 95.042 0.012 4.946 0.000 
2018-2-1 95.373 0.014 4.614 0.000 
2018-2-2 95.118 0.000 4.882 0.000 
2018-2-3 94.090 0.000 5.910 0.000 
2018-2-4 94.251 0.000 5.749 0.000 
2018-2-5 95.569 0.000 4.431 0.000 
2018-2-6 95.306 0.000 4.694 0.000 
2018-2-7 95.384 0.000 4.616 0.000 
2018-2-8 95.203 0.000 4.797 0.000 
2018-2-9 95.027 0.000 4.973 0.000 
2018-2-10 93.701 0.017 6.282 0.000 
2018-2-11 94.275 0.010 5.715 0.000 
2018-2-12 96.064 0.000 3.936 0.000 
2018-2-13 95.601 0.010 4.389 0.000 
2018-2-14 95.874 0.000 4.126 0.000 
2018-2-15 95.766 0.022 4.213 0.000 
2018-2-16 96.190 0.000 3.810 0.000 
2018-2-17 95.119 0.000 4.881 0.000 
2018-2-18 96.044 0.000 3.956 0.000 
2018-2-19 97.003 0.000 2.997 0.000 
2018-2-20 97.460 0.000 2.540 0.000 
2018-2-21 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 100.000 
