False None others
2017-11-21 96.382 3.618 0.000 
2017-11-22 98.301 1.699 0.000 
2017-11-23 99.076 0.924 0.000 
2017-11-24 99.421 0.579 0.000 
2017-11-25 99.634 0.366 0.000 
2017-11-26 99.667 0.333 0.000 
2017-11-27 99.691 0.309 0.000 
2017-11-28 99.716 0.284 0.000 
2017-11-29 99.735 0.265 0.000 
2017-11-30 99.827 0.173 0.000 
2017-12-1 99.867 0.133 0.000 
2017-12-2 99.816 0.184 0.000 
2017-12-3 99.907 0.093 0.000 
2017-12-4 99.879 0.121 0.000 
2017-12-5 99.921 0.079 0.000 
2017-12-6 99.911 0.089 0.000 
2017-12-7 99.887 0.113 0.000 
2017-12-8 99.923 0.077 0.000 
2017-12-9 99.949 0.051 0.000 
2017-12-10 99.929 0.071 0.000 
2017-12-11 99.955 0.045 0.000 
2017-12-12 99.951 0.049 0.000 
2017-12-13 99.942 0.058 0.000 
2017-12-14 99.963 0.037 0.000 
2017-12-15 99.941 0.059 0.000 
2017-12-16 99.973 0.027 0.000 
2017-12-17 99.941 0.059 0.000 
2017-12-18 99.965 0.035 0.000 
2017-12-19 99.961 0.039 0.000 
2017-12-20 99.968 0.032 0.000 
2017-12-21 99.962 0.038 0.000 
2017-12-22 99.976 0.024 0.000 
2017-12-23 99.918 0.082 0.000 
2017-12-24 99.969 0.031 0.000 
2017-12-25 99.965 0.035 0.000 
2017-12-26 99.985 0.015 0.000 
2017-12-27 99.993 0.007 0.000 
2017-12-28 99.991 0.009 0.000 
2017-12-29 99.970 0.030 0.000 
2017-12-30 99.983 0.017 0.000 
2017-12-31 99.981 0.019 0.000 
2018-1-1 100.000 0.000 0.000 
2018-1-2 0.000 0.000 100.000 
2018-1-3 0.000 0.000 100.000 
2018-1-4 0.000 0.000 100.000 
2018-1-5 0.000 0.000 100.000 
2018-1-6 99.979 0.021 0.000 
2018-1-7 99.970 0.030 0.000 
2018-1-8 99.991 0.009 0.000 
2018-1-9 99.990 0.010 0.000 
2018-1-10 99.989 0.011 0.000 
2018-1-11 99.983 0.017 0.000 
2018-1-12 99.991 0.009 0.000 
2018-1-13 99.991 0.009 0.000 
2018-1-14 99.975 0.025 0.000 
2018-1-15 100.000 0.000 0.000 
2018-1-16 99.991 0.009 0.000 
2018-1-17 99.990 0.010 0.000 
2018-1-18 99.995 0.005 0.000 
2018-1-19 99.991 0.009 0.000 
2018-1-20 100.000 0.000 0.000 
2018-1-21 99.995 0.005 0.000 
2018-1-22 99.988 0.012 0.000 
2018-1-23 99.995 0.005 0.000 
2018-1-24 100.000 0.000 0.000 
2018-1-25 99.985 0.015 0.000 
2018-1-26 99.989 0.011 0.000 
2018-1-27 99.984 0.016 0.000 
2018-1-28 99.991 0.009 0.000 
2018-1-29 99.991 0.009 0.000 
2018-1-30 99.988 0.012 0.000 
2018-1-31 99.987 0.013 0.000 
2018-2-1 99.986 0.014 0.000 
2018-2-2 100.000 0.000 0.000 
2018-2-3 100.000 0.000 0.000 
2018-2-4 100.000 0.000 0.000 
2018-2-5 100.000 0.000 0.000 
2018-2-6 100.000 0.000 0.000 
2018-2-7 100.000 0.000 0.000 
2018-2-8 100.000 0.000 0.000 
2018-2-9 100.000 0.000 0.000 
2018-2-10 99.982 0.018 0.000 
2018-2-11 99.989 0.011 0.000 
2018-2-12 100.000 0.000 0.000 
2018-2-13 99.990 0.010 0.000 
2018-2-14 100.000 0.000 0.000 
2018-2-15 99.977 0.023 0.000 
2018-2-16 100.000 0.000 0.000 
2018-2-17 100.000 0.000 0.000 
2018-2-18 100.000 0.000 0.000 
2018-2-19 100.000 0.000 0.000 
2018-2-20 100.000 0.000 0.000 
2018-2-21 0.000 0.000 100.000 
2018-2-22 0.000 0.000 100.000 
