False True None others
2017-11-21 93.955 2.519 3.526 0.000 
2017-11-22 94.501 3.866 1.633 0.000 
2017-11-23 94.952 4.162 0.886 0.000 
2017-11-24 94.715 4.733 0.552 0.000 
2017-11-25 94.101 5.553 0.346 0.000 
2017-11-26 94.244 5.441 0.315 0.000 
2017-11-27 95.553 4.151 0.296 0.000 
2017-11-28 96.030 3.697 0.273 0.000 
2017-11-29 96.211 3.533 0.256 0.000 
2017-11-30 96.003 3.830 0.166 0.000 
2017-12-1 96.034 3.838 0.128 0.000 
2017-12-2 95.161 4.664 0.175 0.000 
2017-12-3 95.003 4.908 0.089 0.000 
2017-12-4 96.825 3.058 0.117 0.000 
2017-12-5 96.239 3.685 0.076 0.000 
2017-12-6 95.974 3.941 0.085 0.000 
2017-12-7 96.660 3.231 0.109 0.000 
2017-12-8 96.294 3.631 0.075 0.000 
2017-12-9 95.410 4.541 0.049 0.000 
2017-12-10 95.576 4.356 0.068 0.000 
2017-12-11 96.492 3.465 0.043 0.000 
2017-12-12 97.063 2.889 0.048 0.000 
2017-12-13 97.056 2.888 0.056 0.000 
2017-12-14 97.431 2.533 0.036 0.000 
2017-12-15 94.882 5.061 0.056 0.000 
2017-12-16 96.016 3.958 0.025 0.000 
2017-12-17 96.356 3.587 0.057 0.000 
2017-12-18 97.078 2.888 0.034 0.000 
2017-12-19 96.613 3.350 0.037 0.000 
2017-12-20 96.067 3.902 0.031 0.000 
2017-12-21 95.719 4.245 0.036 0.000 
2017-12-22 95.076 4.901 0.023 0.000 
2017-12-23 94.831 5.091 0.078 0.000 
2017-12-24 95.244 4.726 0.030 0.000 
2017-12-25 95.071 4.896 0.033 0.000 
2017-12-26 94.884 5.102 0.014 0.000 
2017-12-27 95.355 4.638 0.007 0.000 
2017-12-28 94.917 5.075 0.008 0.000 
2017-12-29 95.918 4.053 0.029 0.000 
2017-12-30 96.250 3.733 0.017 0.000 
2017-12-31 96.209 3.773 0.018 0.000 
2018-1-1 97.213 2.787 0.000 0.000 
2018-1-2 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 100.000 
2018-1-6 97.056 2.924 0.020 0.000 
2018-1-7 95.654 4.318 0.029 0.000 
2018-1-8 97.740 2.251 0.009 0.000 
2018-1-9 96.101 3.890 0.010 0.000 
2018-1-10 96.359 3.630 0.011 0.000 
2018-1-11 96.285 3.699 0.016 0.000 
2018-1-12 96.244 3.747 0.009 0.000 
2018-1-13 95.951 4.040 0.009 0.000 
2018-1-14 95.856 4.121 0.024 0.000 
2018-1-15 96.827 3.173 0.000 0.000 
2018-1-16 96.229 3.763 0.009 0.000 
2018-1-17 95.930 4.061 0.009 0.000 
2018-1-18 96.574 3.421 0.005 0.000 
2018-1-19 95.913 4.078 0.009 0.000 
2018-1-20 95.494 4.506 0.000 0.000 
2018-1-21 95.625 4.371 0.005 0.000 
2018-1-22 97.076 2.912 0.012 0.000 
2018-1-23 96.574 3.421 0.005 0.000 
2018-1-24 97.927 2.073 0.000 0.000 
2018-1-25 96.247 3.739 0.014 0.000 
2018-1-26 95.585 4.405 0.010 0.000 
2018-1-27 95.352 4.633 0.015 0.000 
2018-1-28 95.197 4.794 0.008 0.000 
2018-1-29 96.790 3.202 0.009 0.000 
2018-1-30 95.595 4.394 0.011 0.000 
2018-1-31 95.042 4.946 0.012 0.000 
2018-2-1 95.373 4.614 0.014 0.000 
2018-2-2 95.118 4.882 0.000 0.000 
2018-2-3 94.090 5.910 0.000 0.000 
2018-2-4 94.251 5.749 0.000 0.000 
2018-2-5 95.569 4.431 0.000 0.000 
2018-2-6 95.306 4.694 0.000 0.000 
2018-2-7 95.384 4.616 0.000 0.000 
2018-2-8 95.203 4.797 0.000 0.000 
2018-2-9 95.027 4.973 0.000 0.000 
2018-2-10 93.701 6.282 0.017 0.000 
2018-2-11 94.275 5.715 0.010 0.000 
2018-2-12 96.064 3.936 0.000 0.000 
2018-2-13 95.601 4.389 0.010 0.000 
2018-2-14 95.874 4.126 0.000 0.000 
2018-2-15 95.766 4.213 0.022 0.000 
2018-2-16 96.190 3.810 0.000 0.000 
2018-2-17 95.119 4.881 0.000 0.000 
2018-2-18 96.044 3.956 0.000 0.000 
2018-2-19 97.003 2.997 0.000 0.000 
2018-2-20 97.460 2.540 0.000 0.000 
2018-2-21 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 100.000 
