1 3 2 1.25 others
2017-11-21 52.152 9.367 22.785 6.076 9.620 
2017-11-22 47.915 10.307 23.981 5.379 12.418 
2017-11-23 47.328 10.037 25.842 5.520 11.274 
2017-11-24 43.579 11.343 28.880 5.366 10.832 
2017-11-25 39.621 12.338 31.899 5.052 11.090 
2017-11-26 37.093 13.748 33.654 4.798 10.706 
2017-11-27 47.911 10.349 25.542 5.461 10.737 
2017-11-28 47.638 10.879 24.858 5.697 10.928 
2017-11-29 52.401 9.004 22.077 6.176 10.342 
2017-11-30 45.192 11.682 26.887 5.433 10.805 
2017-12-1 44.388 12.088 26.663 5.328 11.533 
2017-12-2 40.389 13.618 29.520 5.272 11.201 
2017-12-3 38.917 14.101 30.895 4.918 11.170 
2017-12-4 48.466 11.434 23.539 5.410 11.150 
2017-12-5 45.091 12.357 26.178 5.336 11.039 
2017-12-6 44.177 12.968 26.566 5.152 11.136 
2017-12-7 42.802 14.549 25.482 4.909 12.258 
2017-12-8 41.943 14.582 26.400 5.204 11.870 
2017-12-9 36.884 16.088 30.570 5.006 11.452 
2017-12-10 37.176 15.709 30.198 4.722 12.196 
2017-12-11 45.854 12.668 24.504 5.900 11.074 
2017-12-12 41.197 15.092 26.413 5.041 12.258 
2017-12-13 43.213 14.498 25.171 5.120 11.999 
2017-12-14 39.488 17.033 25.666 4.169 13.643 
2017-12-15 42.521 13.263 27.600 5.143 11.473 
2017-12-16 31.732 19.600 31.707 4.196 12.765 
2017-12-17 31.472 20.268 31.035 3.938 13.287 
2017-12-18 42.344 14.680 25.263 5.373 12.340 
2017-12-19 41.142 14.449 26.884 5.295 12.230 
2017-12-20 42.378 13.307 27.482 5.498 11.335 
2017-12-21 40.566 14.178 28.657 5.063 11.536 
2017-12-22 40.069 13.068 31.132 5.092 10.638 
2017-12-23 40.249 12.864 30.222 5.433 11.232 
2017-12-24 43.066 12.298 28.243 5.290 11.103 
2017-12-25 39.860 14.585 29.038 4.862 11.655 
2017-12-26 34.919 16.387 33.505 4.136 11.053 
2017-12-27 37.589 15.200 32.090 4.097 11.025 
2017-12-28 44.182 11.843 28.675 5.290 10.011 
2017-12-29 40.778 14.812 28.745 4.709 10.957 
2017-12-30 43.552 13.825 26.914 4.854 10.854 
2017-12-31 38.994 15.811 29.674 4.279 11.242 
2018-1-1 49.477 11.847 24.739 3.833 10.105 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 47.804 13.006 23.218 4.965 11.006 
2018-1-7 46.610 11.994 27.009 4.919 9.468 
2018-1-8 59.079 7.917 17.559 5.502 9.942 
2018-1-9 47.672 11.595 25.484 5.051 10.197 
2018-1-10 45.667 13.006 25.625 4.800 10.902 
2018-1-11 44.690 13.149 25.786 5.267 11.109 
2018-1-12 43.512 13.938 26.987 4.934 10.630 
2018-1-13 36.946 16.738 29.851 4.539 11.925 
2018-1-14 36.783 16.845 29.319 4.857 12.196 
2018-1-15 43.133 15.269 25.558 4.713 11.328 
2018-1-16 42.649 13.987 27.669 5.045 10.650 
2018-1-17 44.564 13.436 25.973 5.015 11.012 
2018-1-18 42.993 14.243 26.599 4.803 11.362 
2018-1-19 43.803 12.578 27.485 5.349 10.785 
2018-1-20 37.980 15.969 30.800 4.475 10.777 
2018-1-21 34.959 17.046 32.453 4.427 11.114 
2018-1-22 44.481 14.858 24.093 4.931 11.636 
2018-1-23 42.234 15.234 26.197 5.054 11.282 
2018-1-24 50.214 11.873 21.405 5.130 11.378 
2018-1-25 45.382 13.898 23.817 5.620 11.283 
2018-1-26 42.576 13.177 27.899 5.625 10.722 
2018-1-27 41.714 13.413 28.634 5.256 10.983 
2018-1-28 43.674 12.255 28.028 5.489 10.555 
2018-1-29 52.575 9.156 21.303 6.226 10.739 
2018-1-30 43.972 12.134 28.375 5.269 10.251 
2018-1-31 43.908 11.604 29.264 5.429 9.795 
2018-2-1 43.683 12.002 29.093 4.897 10.325 
2018-2-2 41.650 12.651 30.254 4.904 10.541 
2018-2-3 36.886 14.242 34.190 4.994 9.688 
2018-2-4 36.331 14.151 34.437 5.002 10.079 
2018-2-5 46.332 11.885 25.845 5.272 10.667 
2018-2-6 46.453 11.591 25.583 5.158 11.215 
2018-2-7 45.552 11.345 26.882 4.764 11.457 
2018-2-8 45.915 10.927 26.885 5.109 11.164 
2018-2-9 43.535 11.929 29.254 5.089 10.193 
2018-2-10 34.890 14.805 35.263 4.440 10.603 
2018-2-11 38.101 13.466 32.557 4.959 10.916 
2018-2-12 47.856 10.740 25.044 5.376 10.985 
2018-2-13 46.706 10.916 26.179 5.088 11.111 
2018-2-14 45.821 11.184 26.654 4.839 11.502 
2018-2-15 45.826 11.540 27.308 4.799 10.526 
2018-2-16 45.937 12.480 25.017 5.105 11.461 
2018-2-17 33.202 17.146 33.587 4.176 11.890 
2018-2-18 36.236 17.947 30.034 4.368 11.415 
2018-2-19 50.408 11.094 22.010 5.381 11.107 
2018-2-20 52.117 10.415 19.374 5.099 12.995 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
