1 1.25 2 3 others
2017-11-21 53.368 6.218 23.316 9.585 7.513 
2017-11-22 49.960 5.608 25.005 10.747 8.680 
2017-11-23 49.300 5.750 26.919 10.455 7.575 
2017-11-24 45.417 5.592 30.098 11.821 7.071 
2017-11-25 41.082 5.238 33.076 12.793 7.811 
2017-11-26 38.337 4.959 34.783 14.209 7.711 
2017-11-27 49.987 5.698 26.649 10.797 6.869 
2017-11-28 49.771 5.953 25.971 11.366 6.939 
2017-11-29 54.599 6.435 23.003 9.382 6.580 
2017-11-30 47.095 5.662 28.019 12.174 7.050 
2017-12-1 46.313 5.559 27.820 12.612 7.696 
2017-12-2 42.089 5.494 30.763 14.191 7.464 
2017-12-3 40.444 5.111 32.107 14.654 7.684 
2017-12-4 50.635 5.652 24.593 11.946 7.174 
2017-12-5 47.097 5.573 27.342 12.907 7.081 
2017-12-6 46.170 5.385 27.765 13.553 7.127 
2017-12-7 44.840 5.143 26.695 15.242 8.080 
2017-12-8 43.764 5.430 27.546 15.215 8.045 
2017-12-9 38.392 5.211 31.820 16.745 7.832 
2017-12-10 38.825 4.931 31.537 16.405 8.301 
2017-12-11 47.937 6.168 25.617 13.243 7.034 
2017-12-12 43.152 5.280 27.666 15.808 8.094 
2017-12-13 45.308 5.368 26.391 15.201 7.731 
2017-12-14 41.540 4.385 27.000 17.918 9.157 
2017-12-15 44.281 5.356 28.742 13.812 7.809 
2017-12-16 33.260 4.398 33.233 20.544 8.565 
2017-12-17 32.844 4.109 32.387 21.151 9.509 
2017-12-18 44.362 5.629 26.467 15.380 8.162 
2017-12-19 43.124 5.550 28.179 15.145 8.002 
2017-12-20 44.394 5.759 28.789 13.939 7.119 
2017-12-21 42.366 5.288 29.929 14.807 7.610 
2017-12-22 41.715 5.302 32.411 13.605 6.968 
2017-12-23 41.853 5.650 31.426 13.377 7.695 
2017-12-24 44.752 5.497 29.348 12.780 7.624 
2017-12-25 41.635 5.078 30.330 15.235 7.722 
2017-12-26 36.296 4.300 34.827 17.033 7.544 
2017-12-27 39.091 4.261 33.372 15.807 7.469 
2017-12-28 45.946 5.501 29.820 12.316 6.418 
2017-12-29 42.500 4.908 29.959 15.437 7.196 
2017-12-30 45.260 5.044 27.970 14.368 7.358 
2017-12-31 40.507 4.445 30.825 16.425 7.798 
2018-1-1 52.015 4.029 26.007 12.454 5.495 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 49.796 5.172 24.186 13.548 7.298 
2018-1-7 48.336 5.101 28.009 12.438 6.116 
2018-1-8 61.584 5.735 18.304 8.253 6.123 
2018-1-9 49.628 5.258 26.529 12.071 6.514 
2018-1-10 47.745 5.019 26.791 13.598 6.848 
2018-1-11 46.637 5.496 26.909 13.722 7.236 
2018-1-12 45.361 5.143 28.133 14.530 6.832 
2018-1-13 38.676 4.751 31.249 17.522 7.802 
2018-1-14 38.516 5.086 30.701 17.639 8.057 
2018-1-15 45.140 4.932 26.747 15.979 7.202 
2018-1-16 44.506 5.265 28.874 14.596 6.759 
2018-1-17 46.584 5.242 27.150 14.045 6.978 
2018-1-18 44.957 5.022 27.814 14.894 7.314 
2018-1-19 45.785 5.591 28.729 13.147 6.748 
2018-1-20 39.507 4.655 32.038 16.611 7.190 
2018-1-21 36.423 4.613 33.813 17.760 7.392 
2018-1-22 46.498 5.155 25.185 15.532 7.629 
2018-1-23 44.240 5.294 27.441 15.958 7.068 
2018-1-24 52.494 5.363 22.377 12.412 7.354 
2018-1-25 47.353 5.864 24.852 14.502 7.429 
2018-1-26 44.492 5.878 29.155 13.770 6.704 
2018-1-27 43.702 5.506 29.999 14.053 6.740 
2018-1-28 45.594 5.730 29.260 12.794 6.622 
2018-1-29 55.146 6.531 22.345 9.604 6.375 
2018-1-30 45.915 5.502 29.629 12.670 6.283 
2018-1-31 45.679 5.648 30.444 12.072 6.157 
2018-2-1 45.549 5.107 30.335 12.515 6.495 
2018-2-2 43.308 5.099 31.459 13.154 6.980 
2018-2-3 38.266 5.181 35.469 14.774 6.309 
2018-2-4 37.822 5.207 35.851 14.732 6.387 
2018-2-5 48.352 5.501 26.971 12.403 6.773 
2018-2-6 48.394 5.374 26.652 12.075 7.505 
2018-2-7 47.586 4.977 28.083 11.851 7.503 
2018-2-8 48.048 5.347 28.134 11.435 7.036 
2018-2-9 45.397 5.306 30.506 12.439 6.351 
2018-2-10 36.231 4.610 36.618 15.374 7.167 
2018-2-11 39.710 5.169 33.932 14.035 7.154 
2018-2-12 50.079 5.626 26.208 11.239 6.848 
2018-2-13 48.764 5.312 27.333 11.397 7.194 
2018-2-14 47.966 5.065 27.902 11.708 7.358 
2018-2-15 47.752 5.001 28.456 12.025 6.766 
2018-2-16 47.940 5.328 26.108 13.024 7.599 
2018-2-17 34.659 4.359 35.061 17.898 8.023 
2018-2-18 37.818 4.559 31.346 18.730 7.547 
2018-2-19 52.665 5.622 22.995 11.591 7.128 
2018-2-20 55.157 5.397 20.504 11.023 7.918 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
