2 1 3 1.5 others
2017-11-21 23.018 52.685 9.463 2.302 12.532 
2017-11-22 24.629 49.208 10.585 2.820 12.758 
2017-11-23 26.619 48.751 10.339 2.805 11.485 
2017-11-24 29.626 44.706 11.636 2.853 11.178 
2017-11-25 32.588 40.477 12.605 3.290 11.040 
2017-11-26 34.158 37.649 13.954 3.040 11.199 
2017-11-27 26.261 49.258 10.640 2.855 10.987 
2017-11-28 25.619 49.097 11.213 2.743 11.328 
2017-11-29 22.705 53.892 9.260 2.902 11.241 
2017-11-30 27.577 46.353 11.982 2.704 11.384 
2017-12-1 27.403 45.619 12.423 3.077 11.477 
2017-12-2 30.139 41.236 13.903 3.171 11.551 
2017-12-3 31.544 39.734 14.397 2.987 11.339 
2017-12-4 24.254 49.938 11.782 2.706 11.321 
2017-12-5 26.902 46.339 12.700 2.870 11.189 
2017-12-6 27.292 45.384 13.322 2.800 11.201 
2017-12-7 26.180 43.976 14.948 2.861 12.035 
2017-12-8 27.064 42.998 14.949 3.212 11.777 
2017-12-9 31.172 37.611 16.405 3.005 11.807 
2017-12-10 30.885 38.022 16.066 3.273 11.754 
2017-12-11 25.177 47.113 13.016 2.987 11.707 
2017-12-12 27.162 42.365 15.520 2.860 12.093 
2017-12-13 25.901 44.467 14.918 2.792 11.922 
2017-12-14 26.425 40.656 17.537 2.846 12.536 
2017-12-15 28.168 43.396 13.536 3.595 11.306 
2017-12-16 32.320 32.347 19.979 3.070 12.284 
2017-12-17 31.701 32.148 20.703 3.303 12.144 
2017-12-18 25.986 43.555 15.100 3.281 12.078 
2017-12-19 27.615 42.261 14.842 3.093 12.189 
2017-12-20 28.227 43.527 13.667 2.833 11.746 
2017-12-21 29.319 41.504 14.505 3.016 11.655 
2017-12-22 31.809 40.940 13.352 3.025 10.874 
2017-12-23 30.926 41.187 13.164 3.484 11.239 
2017-12-24 28.890 44.054 12.580 3.363 11.113 
2017-12-25 29.707 40.779 14.922 3.554 11.038 
2017-12-26 34.107 35.546 16.681 2.972 10.693 
2017-12-27 32.780 38.398 15.527 2.752 10.542 
2017-12-28 29.350 45.222 12.122 2.811 10.496 
2017-12-29 29.379 41.677 15.138 2.821 10.986 
2017-12-30 27.490 44.482 14.121 3.026 10.881 
2017-12-31 30.303 39.820 16.147 2.935 10.795 
2018-1-1 25.448 50.896 12.186 1.434 10.036 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 23.790 48.980 13.326 3.120 10.783 
2018-1-7 27.601 47.632 12.257 2.620 9.889 
2018-1-8 18.170 61.133 8.192 2.565 9.940 
2018-1-9 26.109 48.842 11.879 3.113 10.057 
2018-1-10 26.337 46.938 13.368 2.804 10.553 
2018-1-11 26.398 45.750 13.461 3.076 11.316 
2018-1-12 27.665 44.605 14.288 2.699 10.743 
2018-1-13 30.536 37.794 17.122 3.044 11.504 
2018-1-14 29.993 37.627 17.232 3.230 11.918 
2018-1-15 26.212 44.238 15.660 2.703 11.187 
2018-1-16 28.338 43.680 14.325 2.616 11.040 
2018-1-17 26.677 45.772 13.800 2.864 10.888 
2018-1-18 27.288 44.108 14.612 2.848 11.145 
2018-1-19 28.184 44.917 12.898 2.979 11.023 
2018-1-20 31.396 38.715 16.278 2.790 10.820 
2018-1-21 33.055 35.607 17.362 2.689 11.287 
2018-1-22 24.703 45.608 15.235 2.886 11.568 
2018-1-23 26.850 43.287 15.614 2.601 11.647 
2018-1-24 22.123 51.898 12.272 2.480 11.227 
2018-1-25 24.499 46.682 14.296 3.070 11.453 
2018-1-26 28.588 43.628 13.503 2.774 11.508 
2018-1-27 29.359 42.769 13.753 2.881 11.237 
2018-1-28 28.727 44.764 12.561 3.121 10.827 
2018-1-29 22.027 54.363 9.467 2.731 11.412 
2018-1-30 29.112 45.114 12.449 2.615 10.709 
2018-1-31 29.984 44.988 11.890 2.515 10.623 
2018-2-1 29.868 44.847 12.322 2.692 10.272 
2018-2-2 30.955 42.615 12.944 3.017 10.468 
2018-2-3 34.879 37.629 14.529 2.840 10.123 
2018-2-4 35.114 37.045 14.429 2.699 10.713 
2018-2-5 26.542 47.581 12.206 3.029 10.642 
2018-2-6 26.330 47.808 11.929 3.122 10.811 
2018-2-7 27.615 46.793 11.654 3.228 10.711 
2018-2-8 27.701 47.307 11.259 3.276 10.457 
2018-2-9 30.039 44.702 12.249 2.803 10.207 
2018-2-10 35.968 35.587 15.101 3.342 10.001 
2018-2-11 33.299 38.969 13.773 3.381 10.577 
2018-2-12 25.798 49.296 11.063 2.901 10.943 
2018-2-13 26.865 47.930 11.202 3.481 10.522 
2018-2-14 27.426 47.147 11.508 3.380 10.539 
2018-2-15 28.027 47.033 11.844 3.011 10.084 
2018-2-16 25.775 47.328 12.858 3.423 10.615 
2018-2-17 34.231 33.838 17.474 3.420 11.037 
2018-2-18 30.628 36.953 18.302 3.216 10.900 
2018-2-19 22.618 51.802 11.401 3.066 11.113 
2018-2-20 20.078 54.009 10.794 3.142 11.977 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
