Mali-T880 Mali-T830 Google_SwiftShader ANGLE_(Intel(R)_HD_Graphics_Direct3D11_vs_5_0_ps_5_0) others
2017-11-21 3.419 2.849 5.698 4.274 83.761 
2017-11-22 3.693 2.285 1.962 4.101 87.959 
2017-11-23 3.509 2.348 1.984 3.726 88.433 
2017-11-24 3.989 2.634 1.764 3.528 88.084 
2017-11-25 4.661 2.889 1.635 3.151 87.665 
2017-11-26 5.164 3.226 1.329 3.236 87.046 
2017-11-27 3.714 2.061 2.076 3.700 88.448 
2017-11-28 3.896 2.276 2.131 3.702 87.995 
2017-11-29 3.144 1.830 2.406 4.215 88.405 
2017-11-30 4.617 2.553 1.872 3.492 87.466 
2017-12-1 4.276 2.564 1.768 3.461 87.931 
2017-12-2 4.853 2.837 1.547 3.270 87.493 
2017-12-3 5.307 2.930 1.299 3.122 87.341 
2017-12-4 4.198 2.054 2.144 3.739 87.864 
2017-12-5 4.222 2.682 1.919 3.672 87.504 
2017-12-6 4.607 2.543 1.929 3.503 87.417 
2017-12-7 5.528 2.680 2.094 3.134 86.564 
2017-12-8 5.492 3.044 1.610 3.412 86.441 
2017-12-9 6.059 3.399 1.399 3.151 85.993 
2017-12-10 5.782 3.222 1.225 3.271 86.501 
2017-12-11 4.357 2.541 1.776 3.307 88.019 
2017-12-12 5.863 2.952 1.789 3.006 86.391 
2017-12-13 5.450 2.923 1.912 3.219 86.497 
2017-12-14 6.807 2.897 1.975 2.784 85.537 
2017-12-15 4.706 2.832 1.503 3.399 87.560 
2017-12-16 7.753 3.937 1.094 2.734 84.482 
2017-12-17 7.259 4.355 0.927 2.457 85.003 
2017-12-18 5.170 3.154 1.806 3.345 86.524 
2017-12-19 5.228 3.050 1.743 3.211 86.769 
2017-12-20 4.563 2.948 1.574 3.260 87.655 
2017-12-21 5.104 2.943 1.585 3.044 87.324 
2017-12-22 4.490 2.901 1.649 3.141 87.818 
2017-12-23 4.314 3.050 1.639 3.050 87.947 
2017-12-24 4.263 2.610 1.740 2.680 88.707 
2017-12-25 5.072 3.720 1.925 3.329 85.954 
2017-12-26 5.730 3.814 1.396 2.821 86.238 
2017-12-27 5.480 3.090 1.526 2.795 87.109 
2017-12-28 3.750 2.723 1.557 3.348 88.622 
2017-12-29 5.409 3.331 1.502 2.812 86.946 
2017-12-30 4.724 3.272 1.704 2.846 87.454 
2017-12-31 5.389 3.365 1.353 2.705 87.188 
2018-1-1 3.502 3.502 0.778 1.556 90.661 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 4.494 2.623 1.711 3.159 88.013 
2018-1-7 3.879 2.766 1.411 3.020 88.924 
2018-1-8 2.362 1.704 2.791 3.578 89.565 
2018-1-9 3.611 2.958 1.690 3.655 88.087 
2018-1-10 4.344 3.009 1.793 3.373 87.481 
2018-1-11 4.739 3.167 1.544 3.304 87.246 
2018-1-12 4.805 3.360 1.477 3.080 87.278 
2018-1-13 5.831 3.828 1.164 2.921 86.257 
2018-1-14 5.940 4.263 1.144 2.960 85.693 
2018-1-15 5.404 3.403 1.471 3.028 86.694 
2018-1-16 4.626 3.241 1.836 3.047 87.250 
2018-1-17 4.733 3.291 1.517 3.351 87.109 
2018-1-18 4.861 3.610 1.661 3.108 86.761 
2018-1-19 4.113 3.173 1.640 3.316 87.759 
2018-1-20 5.442 3.613 1.070 2.993 86.883 
2018-1-21 6.021 4.255 1.064 2.796 85.864 
2018-1-22 5.041 3.623 1.960 3.055 86.321 
2018-1-23 5.217 3.545 1.874 3.062 86.302 
2018-1-24 3.617 2.729 2.632 3.390 87.631 
2018-1-25 4.208 3.210 1.915 3.750 86.917 
2018-1-26 4.072 3.297 1.726 3.404 87.501 
2018-1-27 4.588 3.461 1.735 3.416 86.800 
2018-1-28 3.750 3.227 1.470 3.839 87.713 
2018-1-29 2.559 2.089 2.834 3.707 88.812 
2018-1-30 4.019 3.008 2.518 3.862 86.592 
2018-1-31 3.800 3.075 2.062 3.462 87.602 
2018-2-1 3.613 3.004 2.275 3.412 87.696 
2018-2-2 4.074 3.275 2.427 3.130 87.093 
2018-2-3 4.263 3.731 1.712 3.001 87.293 
2018-2-4 4.335 3.821 1.500 2.942 87.402 
2018-2-5 3.669 2.894 2.818 3.342 87.277 
2018-2-6 3.580 3.094 2.631 3.298 87.397 
2018-2-7 3.555 3.261 2.331 3.449 87.403 
2018-2-8 3.039 3.131 2.741 3.727 87.361 
2018-2-9 3.731 3.300 2.485 3.619 86.865 
2018-2-10 4.389 4.536 1.937 3.042 86.096 
2018-2-11 4.161 4.016 1.628 3.353 86.841 
2018-2-12 3.488 3.277 2.724 4.133 86.378 
2018-2-13 3.316 3.026 2.736 3.941 86.981 
2018-2-14 3.552 3.350 2.529 3.417 87.152 
2018-2-15 3.333 3.072 2.997 3.519 87.079 
2018-2-16 3.886 3.596 2.766 3.794 85.957 
2018-2-17 5.403 4.434 1.529 2.905 85.729 
2018-2-18 5.588 4.329 1.796 3.270 85.017 
2018-2-19 3.437 3.141 3.085 3.634 86.704 
2018-2-20 3.155 3.240 3.368 3.858 86.378 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
