No_Debug_Info ANGLE_(Intel(R)_HD_Graphics_Direct3D11_vs_5_0_ps_5_0) ANGLE_(Intel(R)_HD_Graphics_4000_Direct3D11_vs_5_0_ps_5_0) ANGLE_(Intel(R)_HD_Graphics_4600_Direct3D11_vs_5_0_ps_5_0) others
2017-11-21 3.960 4.950 5.281 1.980 83.828 
2017-11-22 5.448 5.045 2.479 2.843 84.185 
2017-11-23 5.897 4.731 2.459 2.875 84.037 
2017-11-24 5.990 4.547 2.559 2.613 84.290 
2017-11-25 4.629 4.051 2.984 1.733 86.604 
2017-11-26 4.157 4.091 2.882 1.752 87.118 
2017-11-27 5.705 4.644 3.028 2.919 83.704 
2017-11-28 6.171 4.594 3.113 2.934 83.189 
2017-11-29 7.309 5.108 3.154 2.965 81.464 
2017-11-30 5.747 4.336 2.577 2.884 84.456 
2017-12-1 6.127 4.305 2.521 2.899 84.147 
2017-12-2 4.415 4.076 2.824 1.883 86.802 
2017-12-3 6.100 3.944 2.796 1.751 85.409 
2017-12-4 6.135 4.567 2.574 2.929 83.796 
2017-12-5 5.526 4.553 2.671 2.866 84.384 
2017-12-6 5.494 4.343 2.424 2.699 85.040 
2017-12-7 6.450 3.771 2.344 2.793 84.642 
2017-12-8 5.241 4.218 2.539 2.515 85.487 
2017-12-9 4.883 3.925 2.528 1.671 86.992 
2017-12-10 5.284 4.048 2.615 1.819 86.233 
2017-12-11 5.596 4.061 2.530 2.815 84.998 
2017-12-12 6.279 3.623 2.517 2.418 85.163 
2017-12-13 5.692 3.912 2.380 2.917 85.099 
2017-12-14 6.252 3.302 2.088 2.513 85.846 
2017-12-15 6.019 4.118 3.089 2.165 84.609 
2017-12-16 3.550 3.363 2.175 1.540 89.372 
2017-12-17 3.208 2.953 2.282 1.517 90.040 
2017-12-18 4.278 4.055 2.690 2.837 86.139 
2017-12-19 4.395 3.928 2.474 2.612 86.592 
2017-12-20 4.115 4.098 2.581 2.626 86.580 
2017-12-21 4.073 3.827 2.558 2.545 86.997 
2017-12-22 4.153 4.052 2.705 2.520 86.570 
2017-12-23 3.542 3.867 2.648 1.893 88.050 
2017-12-24 8.259 3.286 2.689 2.134 83.632 
2017-12-25 6.828 4.065 2.826 1.826 84.455 
2017-12-26 7.809 3.599 2.287 1.460 84.845 
2017-12-27 9.366 3.524 2.170 2.062 82.878 
2017-12-28 8.879 4.228 2.618 2.147 82.128 
2017-12-29 9.132 3.487 2.318 1.961 83.102 
2017-12-30 11.533 3.442 2.845 1.686 80.494 
2017-12-31 15.048 3.315 1.997 1.331 78.309 
2018-1-1 21.005 1.826 2.283 1.370 73.516 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 15.587 3.732 2.775 1.724 76.182 
2018-1-7 14.722 3.637 2.562 2.031 77.048 
2018-1-8 13.845 4.128 2.507 3.392 76.127 
2018-1-9 9.655 4.465 2.360 2.561 80.959 
2018-1-10 10.257 4.109 2.215 2.658 80.761 
2018-1-11 7.693 4.076 2.611 2.532 83.087 
2018-1-12 9.093 3.807 2.320 2.412 82.369 
2018-1-13 6.714 3.659 2.207 1.800 85.619 
2018-1-14 6.614 3.625 2.751 1.537 85.473 
2018-1-15 7.721 3.641 2.417 2.616 83.605 
2018-1-16 7.795 3.746 2.450 2.540 83.469 
2018-1-17 9.029 4.118 2.234 2.684 81.935 
2018-1-18 8.376 3.768 2.573 2.272 83.011 
2018-1-19 8.163 4.139 2.423 2.634 82.640 
2018-1-20 9.077 3.742 2.335 1.372 83.474 
2018-1-21 8.319 3.533 2.597 1.379 84.172 
2018-1-22 8.477 3.661 2.491 2.594 82.777 
2018-1-23 7.757 3.698 2.458 2.401 83.687 
2018-1-24 9.403 3.951 2.461 3.155 81.030 
2018-1-25 3.213 4.537 2.872 2.940 86.439 
2018-1-26 3.784 4.324 2.643 2.815 86.434 
2018-1-27 3.166 4.366 3.178 1.863 87.427 
2018-1-28 2.999 4.821 3.049 1.735 87.396 
2018-1-29 3.837 4.477 3.198 3.186 85.301 
2018-1-30 3.587 4.848 2.866 2.809 85.890 
2018-1-31 3.804 4.393 2.982 2.822 85.999 
2018-2-1 3.445 4.304 2.688 2.758 86.804 
2018-2-2 3.657 3.910 2.647 2.695 87.091 
2018-2-3 3.307 3.961 2.950 1.832 87.951 
2018-2-4 3.180 3.866 2.984 1.993 87.978 
2018-2-5 3.692 4.064 2.364 3.453 86.428 
2018-2-6 3.360 3.956 2.804 3.414 86.465 
2018-2-7 3.274 4.171 2.804 3.132 86.619 
2018-2-8 3.769 4.570 2.644 3.192 85.825 
2018-2-9 3.332 4.544 2.755 2.696 86.673 
2018-2-10 3.107 3.973 2.612 1.361 88.947 
2018-2-11 2.930 4.309 2.883 1.659 88.219 
2018-2-12 3.417 4.944 2.614 2.740 86.286 
2018-2-13 3.177 4.772 2.893 2.771 86.386 
2018-2-14 3.623 4.090 2.544 3.349 86.395 
2018-2-15 3.672 4.276 2.901 2.992 86.159 
2018-2-16 3.417 4.556 2.769 3.306 85.952 
2018-2-17 3.434 3.654 2.509 1.599 88.804 
2018-2-18 3.505 3.971 2.778 1.305 88.441 
2018-2-19 3.700 4.224 2.750 3.569 85.756 
2018-2-20 3.276 4.425 2.910 3.276 86.112 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
