Apple_A9_GPU Apple_A10_GPU Apple_A8_GPU Apple_A7_GPU others
2017-11-21 6.050 8.897 3.915 2.847 78.292 
2017-11-22 7.651 5.131 5.061 3.673 78.484 
2017-11-23 8.680 5.911 5.513 4.084 75.812 
2017-11-24 9.793 6.416 5.867 4.299 73.625 
2017-11-25 10.111 6.757 6.568 4.779 71.785 
2017-11-26 10.459 6.949 6.449 4.930 71.214 
2017-11-27 8.576 5.498 4.983 4.077 76.865 
2017-11-28 7.833 5.575 5.096 3.552 77.945 
2017-11-29 7.135 4.846 4.156 3.319 80.544 
2017-11-30 8.811 6.600 5.582 3.731 75.276 
2017-12-1 8.491 5.942 5.149 4.084 76.333 
2017-12-2 9.223 6.490 5.889 4.244 74.153 
2017-12-3 9.620 6.950 5.401 4.504 73.524 
2017-12-4 7.446 5.846 4.669 3.152 78.888 
2017-12-5 8.285 6.230 5.181 3.673 76.631 
2017-12-6 8.523 6.124 4.938 3.892 76.523 
2017-12-7 7.211 5.959 4.884 3.312 78.634 
2017-12-8 8.340 6.222 5.156 3.883 76.399 
2017-12-9 9.299 6.947 5.699 4.251 73.804 
2017-12-10 8.850 6.614 5.450 4.171 74.914 
2017-12-11 7.633 5.500 4.817 3.435 78.614 
2017-12-12 8.148 6.395 4.692 2.760 78.005 
2017-12-13 8.306 5.905 4.824 2.920 78.045 
2017-12-14 7.378 6.286 4.611 2.415 79.311 
2017-12-15 7.364 5.616 4.556 4.530 77.934 
2017-12-16 9.300 7.451 5.454 3.665 74.131 
2017-12-17 8.605 7.237 4.862 3.457 75.839 
2017-12-18 7.670 5.799 4.530 3.333 78.668 
2017-12-19 8.289 6.107 5.243 3.403 76.959 
2017-12-20 8.586 6.402 5.108 4.088 75.816 
2017-12-21 9.068 6.395 5.452 4.150 74.934 
2017-12-22 10.323 6.972 6.277 4.752 71.676 
2017-12-23 8.887 6.269 5.392 4.782 74.670 
2017-12-24 7.823 6.296 4.288 4.246 77.348 
2017-12-25 7.730 6.024 5.302 4.149 76.794 
2017-12-26 10.415 7.686 6.059 4.527 71.313 
2017-12-27 10.061 6.573 6.100 4.347 72.919 
2017-12-28 8.923 6.109 5.547 4.458 74.963 
2017-12-29 8.975 6.785 5.071 3.831 75.338 
2017-12-30 7.875 6.134 4.739 3.332 77.920 
2017-12-31 9.125 6.343 5.129 3.502 75.902 
2018-1-1 5.530 5.069 4.608 2.304 82.488 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 6.655 5.462 4.268 2.850 80.764 
2018-1-7 7.724 5.547 4.821 3.577 78.331 
2018-1-8 4.783 3.797 3.081 2.189 86.151 
2018-1-9 7.998 5.596 4.721 3.277 78.409 
2018-1-10 7.842 5.673 4.444 3.208 78.834 
2018-1-11 8.135 6.330 4.901 3.507 77.128 
2018-1-12 8.249 6.117 5.057 3.490 77.088 
2018-1-13 9.661 6.891 5.522 3.827 74.099 
2018-1-14 8.423 6.505 4.795 3.796 76.480 
2018-1-15 7.452 5.355 4.344 3.130 79.719 
2018-1-16 8.297 6.399 5.194 3.586 76.524 
2018-1-17 7.883 5.612 4.582 3.558 78.366 
2018-1-18 8.188 5.844 4.986 3.174 77.808 
2018-1-19 8.756 6.047 4.961 3.726 76.510 
2018-1-20 9.822 7.206 5.684 3.909 73.380 
2018-1-21 10.162 7.366 5.554 4.040 72.878 
2018-1-22 7.383 5.275 4.103 2.808 80.431 
2018-1-23 7.571 6.097 4.615 3.511 78.205 
2018-1-24 5.747 5.103 3.258 2.363 83.529 
2018-1-25 7.450 4.724 4.164 3.382 80.281 
2018-1-26 9.190 6.404 5.543 3.937 74.926 
2018-1-27 9.605 6.691 5.317 4.176 74.211 
2018-1-28 8.952 6.062 5.099 4.371 75.515 
2018-1-29 6.469 4.663 3.774 3.356 81.739 
2018-1-30 9.329 6.944 5.779 3.761 74.187 
2018-1-31 9.148 6.214 5.740 4.561 74.337 
2018-2-1 8.971 6.281 6.127 4.347 74.275 
2018-2-2 9.312 6.275 5.691 4.656 74.067 
2018-2-3 10.721 7.882 6.523 5.516 69.358 
2018-2-4 10.711 7.509 6.442 5.162 70.176 
2018-2-5 7.415 5.072 4.548 3.569 79.396 
2018-2-6 7.243 4.715 4.516 3.380 80.145 
2018-2-7 7.946 4.884 4.665 3.572 78.933 
2018-2-8 8.249 5.461 5.461 4.174 76.655 
2018-2-9 9.295 6.315 5.937 4.459 73.994 
2018-2-10 10.528 6.803 7.233 5.490 69.946 
2018-2-11 9.809 6.413 5.894 4.869 73.014 
2018-2-12 7.326 4.282 4.041 3.852 80.499 
2018-2-13 7.469 5.056 4.827 3.899 78.749 
2018-2-14 7.568 5.096 4.305 3.414 79.617 
2018-2-15 8.194 4.855 5.164 3.850 77.938 
2018-2-16 7.546 4.777 4.558 3.545 79.575 
2018-2-17 10.231 7.025 5.939 4.075 72.730 
2018-2-18 8.483 5.434 4.932 3.784 77.367 
2018-2-19 6.075 3.558 3.369 2.650 84.349 
2018-2-20 4.592 2.743 2.982 1.878 87.806 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
