None 0_ac77440ae797eee9bc47c83574d976ff72baa16b 0_480bba8ec15658093d320b330762358ba7cb637c 0_0501de4b07396671fd355b83253947cf383fc4e4 others
2017-11-21 39.341 0.000 12.747 1.538 46.374 
2017-11-22 38.098 0.037 8.483 2.175 51.207 
2017-11-23 37.857 0.056 8.502 2.310 51.275 
2017-11-24 39.201 0.046 6.390 2.487 51.876 
2017-11-25 38.220 0.056 5.580 3.096 53.047 
2017-11-26 39.454 0.019 5.120 3.090 52.316 
2017-11-27 38.971 0.040 7.767 2.162 51.061 
2017-11-28 38.605 0.029 8.337 2.009 51.019 
2017-11-29 37.818 0.067 9.519 1.870 50.726 
2017-11-30 37.840 0.029 7.930 2.257 51.943 
2017-12-1 37.521 0.035 7.003 2.522 52.919 
2017-12-2 37.819 0.022 5.814 2.825 53.520 
2017-12-3 39.004 0.013 5.079 2.909 52.995 
2017-12-4 37.456 0.052 8.022 2.391 52.079 
2017-12-5 38.700 0.036 7.311 2.372 51.581 
2017-12-6 40.811 0.035 7.097 2.309 49.749 
2017-12-7 42.241 0.333 6.721 2.377 48.328 
2017-12-8 40.098 0.464 5.199 2.603 51.636 
2017-12-9 40.376 0.783 3.636 2.933 52.272 
2017-12-10 41.511 0.943 3.699 2.980 50.867 
2017-12-11 39.480 1.376 5.277 2.270 51.596 
2017-12-12 41.490 1.899 4.696 2.212 49.702 
2017-12-13 40.324 2.742 3.934 2.067 50.933 
2017-12-14 42.135 3.210 3.163 2.331 49.160 
2017-12-15 39.997 4.551 1.463 2.763 51.227 
2017-12-16 43.200 3.001 0.696 3.156 49.947 
2017-12-17 44.958 2.965 0.704 2.915 48.459 
2017-12-18 43.165 5.149 1.137 2.056 48.494 
2017-12-19 41.523 5.269 1.100 2.317 49.791 
2017-12-20 40.888 5.096 0.826 2.053 51.137 
2017-12-21 40.382 5.289 0.843 2.323 51.163 
2017-12-22 39.875 4.793 0.688 2.306 52.338 
2017-12-23 39.400 4.349 0.721 2.528 53.002 
2017-12-24 39.837 5.594 0.765 1.975 51.829 
2017-12-25 40.002 4.945 0.777 2.997 51.278 
2017-12-26 39.682 3.905 0.565 2.762 53.087 
2017-12-27 43.202 4.133 0.643 2.262 49.760 
2017-12-28 39.762 4.668 0.674 2.157 52.739 
2017-12-29 39.580 4.581 0.575 2.535 52.729 
2017-12-30 39.116 4.590 0.644 2.386 53.264 
2017-12-31 40.002 4.057 0.562 2.781 52.598 
2018-1-1 41.880 6.268 0.285 2.279 49.288 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 38.744 5.903 0.547 2.123 52.682 
2018-1-7 39.370 5.735 0.801 2.166 51.928 
2018-1-8 38.314 9.275 1.030 1.271 50.110 
2018-1-9 39.093 6.334 0.611 1.984 51.978 
2018-1-10 41.621 6.344 0.618 2.274 49.144 
2018-1-11 39.915 5.658 0.636 2.217 51.574 
2018-1-12 40.719 5.397 0.576 2.189 51.118 
2018-1-13 41.307 3.992 0.316 2.804 51.581 
2018-1-14 42.686 4.152 0.338 2.486 50.338 
2018-1-15 43.951 5.635 0.430 2.120 47.864 
2018-1-16 42.401 6.031 0.364 1.936 49.269 
2018-1-17 42.132 6.118 0.302 2.137 49.312 
2018-1-18 41.255 6.191 0.367 2.097 50.091 
2018-1-19 41.223 6.173 0.356 2.088 50.161 
2018-1-20 41.655 4.070 0.134 2.653 51.488 
2018-1-21 42.731 4.105 0.170 2.495 50.499 
2018-1-22 42.841 6.529 0.376 1.872 48.381 
2018-1-23 43.772 6.498 0.405 2.016 47.309 
2018-1-24 40.768 9.857 0.520 1.510 47.345 
2018-1-25 44.438 7.941 0.392 1.707 45.522 
2018-1-26 42.467 6.093 0.362 1.980 49.098 
2018-1-27 45.198 5.320 0.182 1.882 47.418 
2018-1-28 45.179 6.054 0.274 2.003 46.490 
2018-1-29 41.577 10.803 0.474 1.222 45.924 
2018-1-30 43.980 7.729 0.388 1.646 46.258 
2018-1-31 44.380 7.473 0.374 1.589 46.185 
2018-2-1 45.159 7.750 0.417 1.705 44.968 
2018-2-2 45.460 8.082 0.448 1.778 44.232 
2018-2-3 46.673 4.706 0.243 2.017 46.360 
2018-2-4 47.860 4.837 0.234 1.942 45.127 
2018-2-5 45.361 9.203 0.334 1.319 43.783 
2018-2-6 46.783 9.348 0.527 1.306 42.036 
2018-2-7 45.603 9.766 0.451 1.265 42.914 
2018-2-8 45.937 9.396 0.443 1.270 42.953 
2018-2-9 45.003 8.118 0.390 1.624 44.864 
2018-2-10 48.252 5.345 0.277 2.234 43.892 
2018-2-11 48.275 6.323 0.252 1.963 43.187 
2018-2-12 47.167 10.137 0.466 1.125 41.105 
2018-2-13 45.025 10.452 0.468 1.498 42.557 
2018-2-14 46.337 10.264 0.277 1.459 41.662 
2018-2-15 45.323 10.138 0.402 1.215 42.923 
2018-2-16 46.096 9.394 0.315 1.495 42.700 
2018-2-17 46.988 5.045 0.175 2.063 45.729 
2018-2-18 49.065 6.035 0.229 1.690 42.981 
2018-2-19 46.399 10.902 0.400 1.189 41.109 
2018-2-20 45.532 12.510 0.501 1.236 40.220 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
