None 0_f5080aa0a14819586fb4af74fd471660e7858de6 0_99c791ce2f5081e8b862bda97dfcdbeda932ef1d 0_193aed9db6f7ef4b3f57e90c76561f0abe549088 others
2017-11-21 56.646 6.962 2.532 0.633 33.228 
2017-11-22 55.287 8.569 4.380 2.184 29.580 
2017-11-23 55.256 8.786 4.454 1.984 29.519 
2017-11-24 58.150 8.610 4.552 2.107 26.580 
2017-11-25 59.149 8.396 3.386 2.359 26.709 
2017-11-26 61.426 8.411 3.410 2.323 24.431 
2017-11-27 55.900 9.214 4.441 2.119 28.327 
2017-11-28 55.603 8.662 4.768 1.766 29.200 
2017-11-29 52.752 9.467 5.281 1.844 30.656 
2017-11-30 55.873 8.395 4.691 1.943 29.097 
2017-12-1 54.907 9.164 5.282 2.223 28.424 
2017-12-2 57.783 8.715 4.291 2.317 26.893 
2017-12-3 59.537 8.409 5.529 2.414 24.111 
2017-12-4 53.989 9.481 5.105 2.036 29.389 
2017-12-5 56.698 9.038 4.102 1.939 28.223 
2017-12-6 58.760 8.240 4.369 1.740 26.892 
2017-12-7 60.281 8.133 4.748 1.688 25.151 
2017-12-8 59.730 8.635 4.541 2.213 24.881 
2017-12-9 63.059 8.077 4.351 2.261 22.253 
2017-12-10 63.520 8.074 4.540 2.099 21.768 
2017-12-11 57.788 9.483 4.683 2.300 25.746 
2017-12-12 61.433 8.458 5.183 1.733 23.193 
2017-12-13 61.101 8.889 4.866 2.117 23.027 
2017-12-14 64.019 8.110 5.247 1.538 21.085 
2017-12-15 63.265 9.049 5.604 2.365 19.717 
2017-12-16 70.463 7.766 3.145 1.815 16.811 
2017-12-17 69.462 7.673 3.403 1.954 17.508 
2017-12-18 65.519 9.426 3.473 2.164 19.419 
2017-12-19 65.249 9.421 3.344 2.095 19.890 
2017-12-20 65.003 9.522 3.716 2.552 19.208 
2017-12-21 65.695 9.386 3.550 2.280 19.089 
2017-12-22 64.934 9.956 3.594 2.357 19.160 
2017-12-23 64.251 9.209 3.955 2.868 19.718 
2017-12-24 64.097 7.853 8.612 2.091 17.347 
2017-12-25 65.839 8.540 6.413 2.035 17.173 
2017-12-26 66.326 7.682 7.168 2.093 16.731 
2017-12-27 66.658 7.477 7.558 1.831 16.477 
2017-12-28 62.320 9.435 7.823 2.292 18.129 
2017-12-29 64.222 8.128 8.472 2.196 16.983 
2017-12-30 61.775 7.813 10.576 2.188 17.648 
2017-12-31 63.541 6.469 14.337 1.690 13.963 
2018-1-1 63.090 4.292 19.742 1.717 11.159 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 60.010 7.247 15.606 1.910 15.227 
2018-1-7 60.754 7.565 14.775 1.751 15.155 
2018-1-8 57.941 9.731 13.055 1.668 17.605 
2018-1-9 61.797 9.181 8.927 1.924 18.171 
2018-1-10 64.574 8.426 9.109 1.546 16.345 
2018-1-11 63.247 9.019 7.073 2.231 18.430 
2018-1-12 63.826 8.657 8.129 2.008 17.381 
2018-1-13 67.347 7.900 6.662 1.961 16.130 
2018-1-14 67.889 8.185 6.179 2.022 15.725 
2018-1-15 66.127 8.262 7.183 1.845 16.583 
2018-1-16 66.424 8.707 7.199 1.850 15.820 
2018-1-17 65.323 8.967 8.293 1.835 15.582 
2018-1-18 65.784 8.454 7.711 1.940 16.111 
2018-1-19 65.455 8.415 7.105 1.988 17.038 
2018-1-20 67.490 7.790 8.359 1.880 14.480 
2018-1-21 69.232 7.288 7.669 1.820 13.991 
2018-1-22 65.829 8.097 7.781 1.704 16.588 
2018-1-23 68.356 7.547 7.245 1.637 15.214 
2018-1-24 64.298 8.362 8.759 1.614 16.968 
2018-1-25 68.560 8.715 3.421 2.076 17.229 
2018-1-26 68.341 8.919 3.271 2.022 17.447 
2018-1-27 71.226 7.604 3.284 2.093 15.793 
2018-1-28 70.272 8.822 2.937 1.827 16.142 
2018-1-29 66.222 9.801 3.715 1.745 18.516 
2018-1-30 70.889 8.639 2.854 1.574 16.044 
2018-1-31 69.815 8.519 3.030 1.871 16.765 
2018-2-1 70.947 8.673 2.744 1.798 15.838 
2018-2-2 71.409 7.823 2.861 1.624 16.283 
2018-2-3 73.731 7.354 2.873 1.801 14.242 
2018-2-4 74.738 7.759 2.405 1.713 13.385 
2018-2-5 70.591 8.499 3.249 1.663 15.997 
2018-2-6 71.363 8.719 2.836 1.240 15.842 
2018-2-7 70.781 8.568 2.746 1.606 16.298 
2018-2-8 71.563 8.168 2.577 1.461 16.231 
2018-2-9 71.383 8.334 2.509 1.559 16.215 
2018-2-10 75.518 6.823 2.085 1.724 13.850 
2018-2-11 74.631 7.477 2.089 1.727 14.077 
2018-2-12 71.103 8.405 2.903 1.406 16.183 
2018-2-13 71.093 7.942 3.158 1.720 16.087 
2018-2-14 70.945 8.274 3.492 1.447 15.841 
2018-2-15 70.594 8.610 2.696 1.370 16.729 
2018-2-16 70.700 8.233 2.932 1.575 16.560 
2018-2-17 74.639 6.847 2.556 1.556 14.403 
2018-2-18 74.260 7.508 2.302 1.553 14.377 
2018-2-19 70.050 8.725 3.607 1.460 16.158 
2018-2-20 70.113 8.925 3.266 1.312 16.384 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
