None 0_fa5f57760d291c1b65250cc29c38f7684ec1783a 0_86edd996bc4321f4eafaf5d413a680a137652edd 0_0440f95aae081251a8105fd2e3291646b3f9869a others
2017-11-21 41.531 8.353 2.320 1.624 46.172 
2017-11-22 40.127 6.769 2.399 1.546 49.158 
2017-11-23 39.432 7.732 2.607 1.696 48.534 
2017-11-24 39.988 8.851 2.726 1.749 46.685 
2017-11-25 37.843 9.779 3.294 2.087 46.997 
2017-11-26 38.176 9.953 3.190 2.104 46.578 
2017-11-27 40.632 7.263 2.322 1.631 48.152 
2017-11-28 40.373 7.121 2.202 1.440 48.864 
2017-11-29 40.293 6.180 1.921 1.326 50.281 
2017-11-30 38.832 8.320 2.663 1.579 48.605 
2017-12-1 38.794 8.006 2.452 1.758 48.989 
2017-12-2 38.267 9.125 2.969 1.874 47.765 
2017-12-3 38.774 9.436 2.725 1.965 47.100 
2017-12-4 39.749 7.115 2.171 1.280 49.685 
2017-12-5 40.372 8.043 2.434 1.688 47.463 
2017-12-6 42.136 7.838 2.261 1.652 46.113 
2017-12-7 43.735 7.257 2.237 1.438 45.333 
2017-12-8 41.720 7.666 2.322 1.685 46.608 
2017-12-9 40.473 9.115 2.763 1.957 45.691 
2017-12-10 41.967 8.514 2.529 1.775 45.214 
2017-12-11 41.843 6.912 2.202 1.469 47.573 
2017-12-12 43.108 7.775 2.117 1.178 45.822 
2017-12-13 42.370 7.600 2.282 1.289 46.458 
2017-12-14 43.838 7.750 2.385 1.176 44.851 
2017-12-15 40.874 7.441 2.176 1.893 47.617 
2017-12-16 43.200 9.167 2.549 1.583 43.501 
2017-12-17 44.988 8.775 2.321 1.609 42.306 
2017-12-18 45.743 7.012 2.068 1.375 43.801 
2017-12-19 43.391 7.394 2.337 1.351 45.527 
2017-12-20 42.390 7.908 2.361 1.789 45.552 
2017-12-21 41.393 8.459 2.589 1.805 45.755 
2017-12-22 40.100 9.537 3.055 2.051 45.257 
2017-12-23 39.873 8.865 2.705 2.169 46.388 
2017-12-24 40.735 8.040 2.124 1.785 47.316 
2017-12-25 40.676 7.943 2.695 1.829 46.857 
2017-12-26 39.016 10.601 3.043 2.123 45.218 
2017-12-27 42.874 9.287 2.987 1.903 42.949 
2017-12-28 40.561 8.486 2.594 2.037 46.322 
2017-12-29 40.278 8.515 2.526 1.730 46.951 
2017-12-30 40.155 7.988 2.320 1.523 48.014 
2017-12-31 39.829 9.085 2.610 1.543 46.932 
2018-1-1 42.120 5.158 2.292 1.146 49.284 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 39.921 6.646 2.095 1.304 50.034 
2018-1-7 39.445 7.646 2.408 1.502 48.999 
2018-1-8 41.007 4.416 1.462 0.915 52.200 
2018-1-9 40.663 7.499 2.139 1.366 48.333 
2018-1-10 42.823 6.936 1.988 1.348 46.905 
2018-1-11 41.920 7.641 2.381 1.514 46.544 
2018-1-12 41.924 7.682 2.363 1.569 46.461 
2018-1-13 41.649 8.986 2.714 1.759 44.893 
2018-1-14 43.402 8.141 2.382 1.662 44.413 
2018-1-15 45.778 6.630 2.024 1.379 44.189 
2018-1-16 43.226 7.679 2.333 1.583 45.179 
2018-1-17 43.477 7.073 2.089 1.528 45.832 
2018-1-18 42.476 7.382 2.363 1.368 46.411 
2018-1-19 42.605 7.821 2.309 1.631 45.634 
2018-1-20 41.316 9.483 2.835 1.832 44.534 
2018-1-21 42.001 9.421 2.866 1.850 43.862 
2018-1-22 44.884 6.610 1.814 1.236 45.457 
2018-1-23 44.638 7.205 2.060 1.487 44.610 
2018-1-24 43.258 5.609 1.585 1.017 48.531 
2018-1-25 46.561 5.965 1.716 1.325 44.434 
2018-1-26 43.708 8.363 2.641 1.724 43.563 
2018-1-27 45.900 8.464 2.374 1.766 41.496 
2018-1-28 45.752 7.999 2.445 1.715 42.089 
2018-1-29 43.816 5.704 1.670 1.350 47.460 
2018-1-30 44.323 8.686 2.643 1.514 42.833 
2018-1-31 44.756 8.046 2.638 1.911 42.649 
2018-2-1 45.278 7.968 2.702 1.727 42.325 
2018-2-2 45.395 7.832 2.649 1.978 42.147 
2018-2-3 45.625 10.090 2.954 2.328 39.002 
2018-2-4 46.476 9.656 2.887 2.107 38.874 
2018-2-5 46.731 6.263 1.944 1.394 43.668 
2018-2-6 48.025 5.965 1.917 1.225 42.867 
2018-2-7 46.337 6.184 1.834 1.393 44.252 
2018-2-8 47.135 6.692 2.152 1.531 42.490 
2018-2-9 44.888 7.993 2.586 1.939 42.594 
2018-2-10 46.148 9.097 3.270 2.416 39.069 
2018-2-11 47.683 8.086 2.713 2.055 39.463 
2018-2-12 48.677 5.367 1.569 1.433 42.954 
2018-2-13 46.148 5.993 1.954 1.483 44.421 
2018-2-14 47.569 6.350 1.814 1.276 42.991 
2018-2-15 46.198 6.444 2.067 1.423 43.868 
2018-2-16 47.392 6.010 1.892 1.495 43.211 
2018-2-17 46.260 9.340 2.660 1.808 39.933 
2018-2-18 49.059 7.507 2.136 1.545 39.754 
2018-2-19 48.870 4.600 1.416 0.913 44.200 
2018-2-20 48.731 3.343 1.144 0.679 46.103 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
