Google_Inc. ARM Qualcomm Microsoft others
2017-11-21 46.851 11.335 4.282 5.793 31.738 
2017-11-22 38.335 12.799 6.183 10.594 32.090 
2017-11-23 36.349 12.155 5.835 11.652 34.009 
2017-11-24 32.812 13.471 6.252 10.876 36.589 
2017-11-25 31.010 14.892 7.320 8.678 38.100 
2017-11-26 30.202 16.916 7.802 6.191 38.889 
2017-11-27 37.039 12.284 5.897 10.870 33.910 
2017-11-28 36.681 12.686 5.730 10.903 33.999 
2017-11-29 41.298 10.756 5.198 10.323 32.425 
2017-11-30 35.337 13.674 5.877 9.414 35.698 
2017-12-1 35.186 14.187 6.671 9.835 34.121 
2017-12-2 33.162 15.977 7.935 8.280 34.646 
2017-12-3 30.358 16.224 7.784 7.927 37.707 
2017-12-4 38.043 12.904 6.510 10.734 31.809 
2017-12-5 35.436 14.218 6.454 10.290 33.602 
2017-12-6 34.864 14.414 6.941 9.190 34.591 
2017-12-7 34.067 16.690 7.845 8.121 33.278 
2017-12-8 33.430 16.754 7.785 9.408 32.622 
2017-12-9 29.622 18.375 8.546 7.713 35.745 
2017-12-10 29.772 18.199 9.045 7.698 35.286 
2017-12-11 36.168 14.136 6.721 10.756 32.220 
2017-12-12 32.549 17.657 7.907 8.299 33.589 
2017-12-13 34.312 16.795 7.344 9.349 32.200 
2017-12-14 31.225 19.862 9.675 7.645 31.594 
2017-12-15 34.884 15.898 7.534 7.139 34.545 
2017-12-16 26.237 22.089 9.999 6.697 34.978 
2017-12-17 26.306 23.238 10.931 5.774 33.751 
2017-12-18 34.895 17.080 7.774 9.704 30.547 
2017-12-19 33.771 16.991 7.556 9.196 32.486 
2017-12-20 33.495 15.432 6.543 10.665 33.866 
2017-12-21 32.252 16.090 7.009 9.360 35.289 
2017-12-22 31.540 14.696 6.431 9.336 37.998 
2017-12-23 32.522 15.301 7.184 9.198 35.795 
2017-12-24 34.082 14.713 6.661 7.499 37.045 
2017-12-25 32.222 17.456 8.267 7.511 34.544 
2017-12-26 26.258 17.891 7.948 6.752 41.150 
2017-12-27 26.981 16.995 7.917 7.401 40.706 
2017-12-28 32.501 13.214 6.012 9.394 38.879 
2017-12-29 30.025 16.905 7.516 8.240 37.314 
2017-12-30 31.705 16.008 7.748 7.589 36.949 
2017-12-31 25.512 17.858 8.181 6.548 41.901 
2018-1-1 28.571 16.028 7.666 6.969 40.767 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 33.273 14.652 6.492 7.557 38.026 
2018-1-7 32.023 13.076 6.214 6.785 41.901 
2018-1-8 42.478 8.977 4.145 9.041 35.359 
2018-1-9 34.815 13.414 5.531 9.575 36.665 
2018-1-10 32.988 14.818 6.729 8.714 36.750 
2018-1-11 33.938 15.161 6.709 9.749 34.444 
2018-1-12 31.920 15.385 6.561 9.474 36.659 
2018-1-13 28.542 18.492 8.213 8.174 36.579 
2018-1-14 28.995 19.983 8.525 7.512 34.984 
2018-1-15 32.839 17.138 7.747 8.764 33.512 
2018-1-16 32.446 15.550 6.618 8.587 36.798 
2018-1-17 33.011 15.619 6.562 9.212 35.596 
2018-1-18 32.635 16.823 6.998 8.314 35.231 
2018-1-19 33.244 14.366 6.357 9.666 36.367 
2018-1-20 27.559 17.567 7.654 7.349 39.870 
2018-1-21 26.136 19.056 7.608 7.140 40.060 
2018-1-22 34.015 17.153 7.015 8.740 33.077 
2018-1-23 33.056 17.204 7.092 8.099 34.548 
2018-1-24 39.259 13.562 6.121 8.380 32.678 
2018-1-25 38.560 15.530 6.808 8.778 30.324 
2018-1-26 34.392 14.580 6.161 10.320 34.548 
2018-1-27 33.911 15.459 6.259 10.172 34.199 
2018-1-28 35.730 14.152 6.336 9.609 34.174 
2018-1-29 44.105 9.854 4.258 10.575 31.207 
2018-1-30 35.585 13.397 5.240 9.321 36.457 
2018-1-31 35.260 12.938 5.248 9.599 36.954 
2018-2-1 34.986 13.149 5.835 9.063 36.967 
2018-2-2 34.485 14.257 5.972 7.598 37.688 
2018-2-3 30.007 14.779 6.531 8.160 40.522 
2018-2-4 29.203 15.618 6.335 8.368 40.477 
2018-2-5 38.795 13.120 5.564 8.313 34.208 
2018-2-6 39.628 13.640 5.940 7.581 33.211 
2018-2-7 39.007 13.630 5.520 7.056 34.788 
2018-2-8 39.580 11.934 5.086 7.738 35.662 
2018-2-9 35.626 12.965 5.461 8.303 37.644 
2018-2-10 28.472 16.059 7.097 7.334 41.038 
2018-2-11 31.531 15.518 6.740 8.203 38.008 
2018-2-12 41.512 13.367 5.526 7.677 31.919 
2018-2-13 39.943 12.473 5.547 8.315 33.721 
2018-2-14 39.381 13.447 5.917 7.115 34.140 
2018-2-15 39.449 13.005 5.321 7.294 34.930 
2018-2-16 40.372 14.387 6.089 7.809 31.342 
2018-2-17 27.629 18.968 8.758 6.470 38.175 
2018-2-18 30.676 19.850 8.971 6.169 34.333 
2018-2-19 43.941 13.618 6.111 8.058 28.273 
2018-2-20 46.546 14.410 5.459 7.979 25.605 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
