Google_Inc. No_Debug_Info ARM Qualcomm others
2017-11-21 46.970 3.030 11.364 4.293 34.343 
2017-11-22 38.342 3.926 12.801 6.184 38.747 
2017-11-23 36.351 4.063 12.155 5.835 41.595 
2017-11-24 32.815 3.983 13.473 6.253 43.477 
2017-11-25 31.017 3.026 14.895 7.322 43.740 
2017-11-26 30.207 2.746 16.919 7.803 42.324 
2017-11-27 37.040 4.005 12.285 5.897 40.774 
2017-11-28 36.690 4.378 12.689 5.731 40.511 
2017-11-29 41.308 5.425 10.758 5.199 37.310 
2017-11-30 35.345 4.009 13.678 5.878 41.090 
2017-12-1 35.189 4.295 14.188 6.672 39.656 
2017-12-2 33.164 3.025 15.978 7.936 39.897 
2017-12-3 30.361 4.097 16.226 7.784 41.531 
2017-12-4 38.054 4.449 12.908 6.512 38.077 
2017-12-5 35.439 3.882 14.219 6.454 40.005 
2017-12-6 34.877 3.850 14.420 6.943 39.910 
2017-12-7 34.067 4.695 16.690 7.845 36.703 
2017-12-8 33.433 3.686 16.756 7.785 38.339 
2017-12-9 29.626 3.306 18.377 8.547 40.143 
2017-12-10 29.772 3.625 18.199 9.045 39.358 
2017-12-11 36.176 4.012 14.139 6.723 38.950 
2017-12-12 32.554 4.555 17.660 7.908 37.323 
2017-12-13 34.315 4.123 16.797 7.345 37.420 
2017-12-14 31.225 4.626 19.862 9.675 34.612 
2017-12-15 34.904 4.297 15.907 7.539 37.354 
2017-12-16 26.239 2.421 22.090 10.000 39.251 
2017-12-17 26.306 2.270 23.238 10.931 37.255 
2017-12-18 34.895 3.113 17.080 7.774 37.138 
2017-12-19 33.776 3.122 16.993 7.557 38.552 
2017-12-20 33.495 2.826 15.432 6.543 41.704 
2017-12-21 32.257 2.767 16.093 7.010 41.872 
2017-12-22 31.544 2.704 14.697 6.431 44.624 
2017-12-23 32.530 2.372 15.304 7.186 42.608 
2017-12-24 34.087 5.793 14.716 6.662 38.743 
2017-12-25 32.233 4.779 17.461 8.269 37.257 
2017-12-26 26.260 5.037 17.893 7.949 42.861 
2017-12-27 26.986 6.228 16.998 7.918 41.870 
2017-12-28 32.508 5.984 13.217 6.013 42.278 
2017-12-29 30.027 6.295 16.906 7.516 39.257 
2017-12-30 31.708 8.252 16.009 7.749 36.282 
2017-12-31 25.517 10.459 17.861 8.182 37.981 
2018-1-1 28.571 16.028 16.028 7.666 31.707 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 33.273 11.627 14.652 6.492 33.956 
2018-1-7 32.029 10.556 13.078 6.215 38.121 
2018-1-8 42.478 11.018 8.977 4.145 33.382 
2018-1-9 34.822 6.885 13.416 5.532 39.345 
2018-1-10 32.991 7.366 14.820 6.730 38.092 
2018-1-11 33.942 5.416 15.162 6.710 38.770 
2018-1-12 31.925 6.339 15.387 6.562 39.786 
2018-1-13 28.543 4.511 18.493 8.214 40.239 
2018-1-14 28.995 4.615 19.983 8.525 37.881 
2018-1-15 32.841 5.644 17.140 7.748 36.627 
2018-1-16 32.451 5.425 15.552 6.619 39.953 
2018-1-17 33.017 6.408 15.622 6.563 38.389 
2018-1-18 32.640 5.994 16.825 6.999 37.543 
2018-1-19 33.247 5.640 14.368 6.358 40.389 
2018-1-20 27.565 6.053 17.572 7.656 41.154 
2018-1-21 26.141 5.471 19.060 7.609 41.720 
2018-1-22 34.017 6.246 17.154 7.015 35.567 
2018-1-23 33.056 5.554 17.204 7.092 37.093 
2018-1-24 39.263 7.285 13.563 6.122 33.767 
2018-1-25 38.568 2.356 15.533 6.810 36.734 
2018-1-26 34.395 2.541 14.581 6.161 42.321 
2018-1-27 33.916 2.105 15.461 6.260 42.258 
2018-1-28 35.733 2.047 14.153 6.336 41.731 
2018-1-29 44.113 2.851 9.856 4.259 38.921 
2018-1-30 35.586 2.419 13.397 5.241 43.357 
2018-1-31 35.262 2.550 12.939 5.249 44.000 
2018-2-1 34.993 2.322 13.151 5.837 43.697 
2018-2-2 34.494 2.484 14.260 5.974 42.788 
2018-2-3 30.018 2.041 14.785 6.534 46.623 
2018-2-4 29.204 1.979 15.619 6.336 46.863 
2018-2-5 38.803 2.663 13.123 5.565 39.847 
2018-2-6 39.636 2.468 13.643 5.941 38.312 
2018-2-7 39.015 2.356 13.633 5.521 39.476 
2018-2-8 39.588 2.652 11.936 5.087 40.736 
2018-2-9 35.632 2.240 12.967 5.462 43.699 
2018-2-10 28.479 1.917 16.063 7.099 46.442 
2018-2-11 31.537 1.907 15.521 6.741 44.293 
2018-2-12 41.531 2.552 13.373 5.528 37.015 
2018-2-13 39.947 2.299 12.474 5.547 39.732 
2018-2-14 39.386 2.668 13.449 5.918 38.579 
2018-2-15 39.458 2.634 13.008 5.322 39.577 
2018-2-16 40.377 2.510 14.389 6.090 36.634 
2018-2-17 27.629 2.250 18.968 8.758 42.396 
2018-2-18 30.676 2.473 19.850 8.971 38.029 
2018-2-19 43.946 2.896 13.619 6.111 33.427 
2018-2-20 46.555 2.660 14.413 5.460 30.911 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
