Apple_Inc. Intel_Inc. Imagination_Technologies ATI_Technologies_Inc. others
2017-11-21 16.919 4.545 1.010 3.535 73.990 
2017-11-22 16.779 4.390 2.548 1.832 74.450 
2017-11-23 18.880 4.277 2.742 1.692 72.408 
2017-11-24 21.568 4.296 3.077 1.599 69.461 
2017-11-25 23.702 4.491 3.535 1.245 67.026 
2017-11-26 25.041 4.412 3.482 1.228 65.836 
2017-11-27 18.331 4.712 2.545 1.756 72.656 
2017-11-28 17.602 4.953 2.452 1.982 73.010 
2017-11-29 15.034 5.060 2.246 2.020 75.639 
2017-11-30 20.026 4.859 2.515 1.839 70.762 
2017-12-1 19.437 3.844 2.467 1.630 72.623 
2017-12-2 21.761 3.947 2.830 1.155 70.308 
2017-12-3 23.099 4.378 2.932 1.154 68.436 
2017-12-4 16.739 4.411 1.922 1.908 75.021 
2017-12-5 19.133 4.241 2.406 1.736 72.485 
2017-12-6 19.806 4.203 2.335 1.760 71.896 
2017-12-7 18.199 4.196 2.056 1.909 73.639 
2017-12-8 19.460 3.450 2.442 1.426 73.221 
2017-12-9 23.133 3.420 2.824 1.177 69.446 
2017-12-10 22.152 3.575 2.814 1.172 70.287 
2017-12-11 17.483 4.117 2.331 1.754 74.315 
2017-12-12 18.799 3.985 1.930 1.823 73.463 
2017-12-13 18.226 4.005 1.879 1.854 74.036 
2017-12-14 17.888 3.457 1.819 1.710 75.126 
2017-12-15 19.532 3.929 3.155 1.228 72.157 
2017-12-16 23.940 3.310 2.554 0.996 69.200 
2017-12-17 22.310 3.675 2.200 1.238 70.577 
2017-12-18 17.659 4.041 1.883 1.748 74.670 
2017-12-19 19.510 3.810 2.046 1.915 72.719 
2017-12-20 20.482 4.243 2.300 1.834 71.141 
2017-12-21 22.049 4.043 2.420 1.863 69.625 
2017-12-22 24.328 4.220 3.039 1.628 66.785 
2017-12-23 22.096 4.371 3.179 1.691 68.664 
2017-12-24 20.012 4.470 3.180 1.440 70.897 
2017-12-25 20.684 3.232 3.065 0.992 72.027 
2017-12-26 26.935 3.567 2.840 1.006 65.651 
2017-12-27 24.884 3.805 2.733 1.242 67.336 
2017-12-28 21.888 4.258 3.073 1.539 69.242 
2017-12-29 21.752 3.753 2.500 1.320 70.676 
2017-12-30 19.571 3.808 2.315 1.275 73.031 
2017-12-31 22.723 3.608 2.281 1.154 70.233 
2018-1-1 13.937 2.787 4.181 1.394 77.700 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 16.888 4.157 2.003 1.298 75.654 
2018-1-7 19.846 5.414 2.545 1.392 70.804 
2018-1-8 11.378 5.914 1.403 2.641 78.665 
2018-1-9 18.556 4.276 2.457 2.026 72.686 
2018-1-10 18.777 4.421 2.164 1.873 72.765 
2018-1-11 19.329 3.529 2.464 1.643 73.035 
2018-1-12 20.241 3.984 2.408 1.707 71.659 
2018-1-13 23.523 3.347 2.618 1.030 69.482 
2018-1-14 21.491 3.475 2.465 1.040 71.530 
2018-1-15 17.994 4.098 1.839 1.831 74.238 
2018-1-16 21.172 4.180 2.153 1.924 70.572 
2018-1-17 19.050 4.017 2.344 1.776 72.813 
2018-1-18 19.520 3.819 2.180 1.684 72.797 
2018-1-19 20.450 3.905 2.559 1.756 71.330 
2018-1-20 24.603 3.601 2.698 1.176 67.922 
2018-1-21 25.515 3.741 2.633 1.103 67.008 
2018-1-22 17.246 3.741 1.862 1.856 75.295 
2018-1-23 19.878 3.474 1.866 1.660 73.122 
2018-1-24 14.202 4.861 1.176 2.460 77.301 
2018-1-25 16.682 4.378 2.275 2.160 74.505 
2018-1-26 21.742 3.884 2.702 1.601 70.071 
2018-1-27 22.395 3.882 2.535 1.462 69.727 
2018-1-28 21.062 4.821 2.567 1.474 70.075 
2018-1-29 14.944 5.939 1.886 2.740 74.491 
2018-1-30 22.402 4.621 2.581 2.200 68.196 
2018-1-31 22.228 4.565 3.038 2.103 68.067 
2018-2-1 22.275 4.926 2.722 2.217 67.861 
2018-2-2 22.919 4.657 2.988 2.161 67.275 
2018-2-3 27.777 4.125 3.360 1.272 63.466 
2018-2-4 27.265 4.799 3.319 1.262 63.354 
2018-2-5 18.008 5.392 2.677 2.533 71.390 
2018-2-6 17.547 5.849 2.461 2.471 71.672 
2018-2-7 18.890 5.487 2.810 2.677 70.136 
2018-2-8 20.234 5.326 2.609 2.410 69.421 
2018-2-9 22.995 4.803 2.893 2.275 67.034 
2018-2-10 28.588 4.009 3.304 1.223 62.876 
2018-2-11 24.171 4.834 3.590 1.446 65.959 
2018-2-12 16.612 5.639 2.096 2.590 73.063 
2018-2-13 18.176 5.520 2.510 2.510 71.284 
2018-2-14 17.560 5.429 2.519 2.935 71.558 
2018-2-15 19.363 5.012 2.381 2.653 70.591 
2018-2-16 17.503 4.399 2.258 2.397 73.444 
2018-2-17 25.915 3.669 2.966 1.252 66.198 
2018-2-18 21.430 4.557 2.305 1.528 70.179 
2018-2-19 13.237 4.994 1.797 2.542 77.430 
2018-2-20 10.000 5.209 1.431 3.161 80.199 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
