Dusseldorf Dortmund Nuremberg Berlin others
2017-11-21 3.275 1.511 1.511 2.015 91.688 
2017-11-22 5.564 2.950 3.140 3.159 85.187 
2017-11-23 4.572 2.206 2.711 2.757 87.754 
2017-11-24 5.379 2.918 3.133 3.300 85.270 
2017-11-25 6.060 2.826 3.285 3.405 84.423 
2017-11-26 6.496 3.137 3.356 3.858 83.154 
2017-11-27 5.487 2.788 3.525 3.339 84.861 
2017-11-28 4.397 2.533 3.053 2.975 87.042 
2017-11-29 4.893 2.700 3.202 2.954 86.250 
2017-11-30 5.103 2.765 3.084 3.159 85.889 
2017-12-1 5.794 3.158 3.460 3.417 84.172 
2017-12-2 6.162 3.427 3.377 3.570 83.463 
2017-12-3 6.067 3.126 3.428 3.593 83.786 
2017-12-4 5.400 2.923 3.581 3.257 84.839 
2017-12-5 6.040 3.400 3.438 3.377 83.745 
2017-12-6 5.619 3.247 3.554 3.345 84.234 
2017-12-7 5.476 3.085 3.326 3.212 84.901 
2017-12-8 5.939 3.196 3.707 3.763 83.395 
2017-12-9 6.851 3.503 3.430 3.348 82.869 
2017-12-10 6.361 3.323 3.463 3.577 83.275 
2017-12-11 5.751 3.208 3.889 3.360 83.792 
2017-12-12 5.471 3.054 3.466 3.272 84.737 
2017-12-13 5.655 3.390 3.643 3.273 84.039 
2017-12-14 5.697 3.318 3.658 3.166 84.162 
2017-12-15 6.746 3.448 2.996 3.769 83.041 
2017-12-16 6.619 3.625 3.494 3.534 82.727 
2017-12-17 6.076 3.388 3.587 3.501 83.448 
2017-12-18 5.901 3.168 3.519 3.179 84.233 
2017-12-19 5.961 3.289 3.851 3.331 83.568 
2017-12-20 5.439 3.216 3.593 3.251 84.500 
2017-12-21 5.834 3.255 3.685 3.658 83.567 
2017-12-22 6.015 3.454 3.651 3.759 83.121 
2017-12-23 6.427 3.605 3.427 3.225 83.317 
2017-12-24 5.704 2.859 3.278 3.234 84.925 
2017-12-25 6.426 3.218 3.351 3.373 83.632 
2017-12-26 6.108 3.531 3.449 3.320 83.591 
2017-12-27 5.807 3.396 3.376 3.213 84.208 
2017-12-28 6.016 3.111 3.718 3.504 83.650 
2017-12-29 6.069 3.143 3.301 3.296 84.190 
2017-12-30 5.588 3.229 3.488 3.153 84.542 
2017-12-31 5.993 3.074 3.500 3.536 83.897 
2018-1-1 2.465 1.761 3.521 1.761 90.493 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 4.873 3.125 3.044 3.074 85.884 
2018-1-7 5.252 3.007 2.902 2.978 85.861 
2018-1-8 4.143 2.509 3.084 2.747 87.517 
2018-1-9 5.648 3.378 3.354 3.454 84.166 
2018-1-10 5.255 3.119 3.376 3.206 85.045 
2018-1-11 5.556 3.452 3.583 3.385 84.024 
2018-1-12 5.438 3.458 3.449 3.517 84.137 
2018-1-13 5.947 3.821 3.462 3.558 83.211 
2018-1-14 5.626 3.579 3.189 3.532 84.075 
2018-1-15 5.335 3.224 3.491 3.384 84.566 
2018-1-16 6.644 3.211 3.264 3.064 83.817 
2018-1-17 6.201 3.357 3.180 2.979 84.284 
2018-1-18 6.489 3.712 2.986 3.081 83.732 
2018-1-19 6.685 3.901 3.608 3.498 82.308 
2018-1-20 7.216 4.193 3.337 3.627 81.627 
2018-1-21 7.117 4.291 3.282 3.715 81.596 
2018-1-22 6.735 3.776 3.185 3.063 83.241 
2018-1-23 6.558 3.675 3.384 2.842 83.541 
2018-1-24 4.797 2.909 2.559 2.150 87.584 
2018-1-25 6.218 3.418 2.807 3.269 84.288 
2018-1-26 6.711 4.143 3.401 3.295 82.451 
2018-1-27 6.426 3.447 3.069 3.153 83.904 
2018-1-28 6.721 3.858 2.812 2.778 83.831 
2018-1-29 4.797 2.561 3.034 2.841 86.768 
2018-1-30 6.647 3.337 3.261 3.162 83.593 
2018-1-31 5.942 3.466 3.104 3.004 84.484 
2018-2-1 6.315 3.356 2.831 2.919 84.580 
2018-2-2 6.497 3.511 2.913 3.091 83.989 
2018-2-3 7.046 3.855 3.228 3.629 82.243 
2018-2-4 7.065 3.941 3.212 3.428 82.355 
2018-2-5 5.304 2.986 2.833 2.413 86.464 
2018-2-6 5.081 3.299 2.797 2.541 86.283 
2018-2-7 5.330 3.036 2.741 2.812 86.081 
2018-2-8 5.472 2.976 2.888 2.809 85.856 
2018-2-9 6.198 3.538 3.366 2.950 83.948 
2018-2-10 6.833 3.896 3.307 3.400 82.563 
2018-2-11 6.118 3.663 2.838 3.250 84.132 
2018-2-12 4.903 2.900 2.597 2.702 86.899 
2018-2-13 5.691 2.724 2.481 2.918 86.187 
2018-2-14 5.654 3.015 2.721 2.721 85.889 
2018-2-15 5.657 3.366 2.753 2.742 85.482 
2018-2-16 5.627 2.993 2.900 2.727 85.752 
2018-2-17 7.206 3.977 3.315 3.450 82.053 
2018-2-18 7.148 3.908 3.030 3.423 82.492 
2018-2-19 4.873 2.998 2.743 2.577 86.810 
2018-2-20 4.579 2.447 2.566 2.250 88.159 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
