Minsk Dusseldorf Berlin Nuremberg others
2017-11-21 0.263 3.421 2.105 1.579 92.632 
2017-11-22 1.125 5.698 3.234 3.215 86.728 
2017-11-23 1.221 4.672 2.818 2.771 88.518 
2017-11-24 1.320 5.480 3.362 3.192 86.646 
2017-11-25 0.399 6.180 3.473 3.351 86.598 
2017-11-26 0.356 6.580 3.907 3.399 85.757 
2017-11-27 1.036 5.623 3.422 3.612 86.308 
2017-11-28 1.464 4.526 3.062 3.142 87.807 
2017-11-29 2.312 5.061 3.055 3.311 86.261 
2017-11-30 1.292 5.220 3.232 3.155 87.100 
2017-12-1 1.453 5.907 3.483 3.528 85.629 
2017-12-2 0.705 6.283 3.640 3.443 85.928 
2017-12-3 1.816 6.150 3.643 3.475 84.915 
2017-12-4 1.443 5.524 3.331 3.664 86.038 
2017-12-5 0.944 6.185 3.459 3.520 85.893 
2017-12-6 1.128 5.775 3.438 3.652 86.008 
2017-12-7 1.560 5.596 3.282 3.399 86.163 
2017-12-8 0.935 6.025 3.818 3.761 85.462 
2017-12-9 0.906 6.956 3.400 3.483 85.255 
2017-12-10 1.307 6.466 3.636 3.520 85.070 
2017-12-11 1.060 5.849 3.417 3.955 85.720 
2017-12-12 1.607 5.586 3.341 3.539 85.928 
2017-12-13 1.261 5.767 3.338 3.715 85.919 
2017-12-14 1.683 5.794 3.220 3.720 85.584 
2017-12-15 1.850 6.901 3.855 3.065 84.329 
2017-12-16 0.020 6.694 3.574 3.533 86.178 
2017-12-17 0.019 6.161 3.551 3.637 86.633 
2017-12-18 0.006 6.006 3.236 3.582 87.171 
2017-12-19 0.014 6.062 3.388 3.917 86.619 
2017-12-20 0.012 5.527 3.303 3.650 87.508 
2017-12-21 0.027 5.923 3.714 3.741 86.595 
2017-12-22 0.012 6.091 3.807 3.697 86.393 
2017-12-23 0.039 6.530 3.277 3.482 86.672 
2017-12-24 3.653 5.847 3.315 3.361 83.824 
2017-12-25 2.520 6.566 3.447 3.425 84.042 
2017-12-26 3.012 6.194 3.366 3.498 83.931 
2017-12-27 3.579 5.906 3.268 3.434 83.813 
2017-12-28 3.433 6.091 3.547 3.765 83.164 
2017-12-29 3.972 6.162 3.347 3.352 83.167 
2017-12-30 5.978 5.697 3.215 3.556 81.554 
2017-12-31 8.998 6.088 3.592 3.555 77.768 
2018-1-1 15.468 2.518 1.799 3.597 76.619 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 10.139 5.003 3.156 3.125 78.577 
2018-1-7 9.158 5.378 3.049 2.972 79.443 
2018-1-8 8.478 4.296 2.848 3.198 81.181 
2018-1-9 4.407 5.767 3.527 3.425 82.873 
2018-1-10 4.791 5.378 3.281 3.455 83.096 
2018-1-11 2.796 5.657 3.447 3.648 84.452 
2018-1-12 3.776 5.532 3.578 3.509 83.605 
2018-1-13 2.606 6.015 3.599 3.502 84.278 
2018-1-14 2.556 5.707 3.583 3.235 84.920 
2018-1-15 2.930 5.441 3.451 3.560 84.617 
2018-1-16 3.043 6.766 3.120 3.324 83.746 
2018-1-17 4.292 6.312 3.032 3.237 83.127 
2018-1-18 3.554 6.631 3.148 3.051 83.616 
2018-1-19 3.064 6.812 3.565 3.676 82.883 
2018-1-20 4.015 7.295 3.666 3.373 81.652 
2018-1-21 3.572 7.209 3.763 3.324 82.132 
2018-1-22 3.835 6.871 3.125 3.249 82.919 
2018-1-23 3.286 6.712 2.909 3.463 83.630 
2018-1-24 4.720 4.983 2.234 2.658 85.405 
2018-1-25 0.022 6.389 3.359 2.884 87.346 
2018-1-26 0.015 6.845 3.361 3.469 86.309 
2018-1-27 0.008 6.552 3.214 3.129 87.097 
2018-1-28 0.000 6.885 2.846 2.880 87.389 
2018-1-29 0.055 4.973 2.945 3.145 88.882 
2018-1-30 0.023 6.834 3.251 3.352 86.540 
2018-1-31 0.024 6.109 3.088 3.192 87.587 
2018-2-1 0.021 6.491 3.000 2.910 87.578 
2018-2-2 0.058 6.695 3.185 3.002 87.060 
2018-2-3 0.022 7.176 3.695 3.287 85.819 
2018-2-4 0.028 7.206 3.496 3.276 85.994 
2018-2-5 0.049 5.486 2.496 2.930 89.038 
2018-2-6 0.072 5.306 2.653 2.920 89.049 
2018-2-7 0.074 5.554 2.930 2.856 88.586 
2018-2-8 0.051 5.706 2.929 3.011 88.303 
2018-2-9 0.049 6.407 3.049 3.479 87.016 
2018-2-10 0.017 6.977 3.471 3.377 86.157 
2018-2-11 0.031 6.273 3.332 2.909 87.455 
2018-2-12 0.061 5.109 2.816 2.706 89.308 
2018-2-13 0.071 5.904 3.028 2.574 88.423 
2018-2-14 0.037 5.905 2.842 2.842 88.375 
2018-2-15 0.022 5.901 2.861 2.872 88.343 
2018-2-16 0.036 5.826 2.823 3.003 88.312 
2018-2-17 0.029 7.378 3.532 3.395 85.665 
2018-2-18 0.027 7.346 3.518 3.114 85.995 
2018-2-19 0.093 5.080 2.687 2.859 89.280 
2018-2-20 0.125 4.819 2.368 2.700 89.988 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
