Dusseldorf Dortmund Berlin Nuremberg others
2017-11-21 3.476 1.604 2.139 1.604 91.176 
2017-11-22 5.753 3.050 3.266 3.246 84.685 
2017-11-23 4.704 2.269 2.837 2.789 87.401 
2017-11-24 5.502 2.985 3.375 3.205 84.933 
2017-11-25 6.199 2.891 3.483 3.361 84.066 
2017-11-26 6.609 3.191 3.924 3.414 82.862 
2017-11-27 5.654 2.873 3.441 3.632 84.401 
2017-11-28 4.571 2.634 3.093 3.173 86.529 
2017-11-29 5.118 2.825 3.090 3.349 85.618 
2017-11-30 5.243 2.841 3.246 3.169 85.501 
2017-12-1 5.939 3.237 3.502 3.547 83.775 
2017-12-2 6.322 3.516 3.663 3.465 83.035 
2017-12-3 6.177 3.183 3.659 3.490 83.491 
2017-12-4 5.578 3.019 3.364 3.699 84.340 
2017-12-5 6.212 3.497 3.473 3.535 83.282 
2017-12-6 5.780 3.340 3.441 3.655 83.783 
2017-12-7 5.639 3.177 3.308 3.425 84.451 
2017-12-8 6.064 3.264 3.842 3.785 83.046 
2017-12-9 6.971 3.564 3.407 3.490 82.568 
2017-12-10 6.480 3.385 3.644 3.528 82.963 
2017-12-11 5.885 3.283 3.438 3.979 83.415 
2017-12-12 5.625 3.140 3.364 3.564 84.307 
2017-12-13 5.808 3.481 3.362 3.742 83.607 
2017-12-14 5.842 3.403 3.247 3.751 83.757 
2017-12-15 6.918 3.536 3.865 3.072 82.609 
2017-12-16 6.708 3.674 3.582 3.541 82.496 
2017-12-17 6.178 3.445 3.560 3.647 83.170 
2017-12-18 6.038 3.242 3.253 3.601 83.865 
2017-12-19 6.102 3.367 3.410 3.943 83.177 
2017-12-20 5.550 3.282 3.317 3.666 84.184 
2017-12-21 5.955 3.323 3.734 3.761 83.227 
2017-12-22 6.122 3.515 3.826 3.716 82.822 
2017-12-23 6.552 3.675 3.288 3.494 82.991 
2017-12-24 5.912 2.964 3.351 3.398 84.375 
2017-12-25 6.620 3.315 3.475 3.452 83.138 
2017-12-26 6.212 3.591 3.376 3.508 83.313 
2017-12-27 5.924 3.464 3.278 3.444 83.891 
2017-12-28 6.116 3.163 3.562 3.780 83.380 
2017-12-29 6.177 3.199 3.355 3.360 83.909 
2017-12-30 5.728 3.310 3.233 3.576 84.152 
2017-12-31 6.101 3.129 3.599 3.563 83.609 
2018-1-1 2.536 1.812 1.812 3.623 90.217 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 5.035 3.229 3.177 3.146 85.413 
2018-1-7 5.409 3.096 3.067 2.988 85.440 
2018-1-8 4.370 2.647 2.898 3.254 86.831 
2018-1-9 5.797 3.468 3.546 3.443 83.746 
2018-1-10 5.408 3.210 3.300 3.474 84.608 
2018-1-11 5.683 3.532 3.463 3.665 83.658 
2018-1-12 5.556 3.533 3.593 3.524 83.794 
2018-1-13 6.038 3.880 3.613 3.515 82.954 
2018-1-14 5.719 3.638 3.590 3.241 83.811 
2018-1-15 5.474 3.308 3.472 3.582 84.164 
2018-1-16 6.796 3.284 3.134 3.339 83.446 
2018-1-17 6.352 3.439 3.052 3.257 83.900 
2018-1-18 6.659 3.809 3.161 3.064 83.307 
2018-1-19 6.842 3.993 3.580 3.692 81.893 
2018-1-20 7.314 4.250 3.676 3.382 81.378 
2018-1-21 7.216 4.351 3.767 3.328 81.338 
2018-1-22 6.902 3.870 3.139 3.264 82.824 
2018-1-23 6.734 3.774 2.918 3.475 83.100 
2018-1-24 5.042 3.058 2.260 2.690 86.949 
2018-1-25 6.421 3.529 3.375 2.898 83.776 
2018-1-26 6.875 4.244 3.376 3.484 82.022 
2018-1-27 6.581 3.531 3.229 3.144 83.515 
2018-1-28 6.919 3.972 2.860 2.894 83.355 
2018-1-29 5.027 2.683 2.977 3.180 86.133 
2018-1-30 6.844 3.436 3.256 3.357 83.107 
2018-1-31 6.134 3.578 3.101 3.205 83.983 
2018-2-1 6.534 3.473 3.020 2.930 84.043 
2018-2-2 6.738 3.642 3.206 3.021 83.393 
2018-2-3 7.225 3.952 3.721 3.310 81.793 
2018-2-4 7.222 4.028 3.504 3.283 81.962 
2018-2-5 5.557 3.128 2.528 2.968 85.819 
2018-2-6 5.359 3.479 2.680 2.950 85.532 
2018-2-7 5.588 3.183 2.948 2.874 85.407 
2018-2-8 5.779 3.143 2.967 3.050 85.062 
2018-2-9 6.441 3.677 3.066 3.498 83.318 
2018-2-10 7.021 4.003 3.493 3.398 82.085 
2018-2-11 6.310 3.778 3.352 2.927 83.633 
2018-2-12 5.162 3.053 2.845 2.734 86.206 
2018-2-13 5.971 2.858 3.062 2.603 85.506 
2018-2-14 5.972 3.185 2.874 2.874 85.096 
2018-2-15 5.987 3.563 2.903 2.914 84.633 
2018-2-16 5.934 3.156 2.876 3.058 84.976 
2018-2-17 7.396 4.082 3.541 3.403 81.578 
2018-2-18 7.434 4.065 3.560 3.151 81.790 
2018-2-19 5.180 3.187 2.739 2.916 85.978 
2018-2-20 4.918 2.629 2.417 2.756 87.280 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
