Germany Austria United_States Brazil others
2017-11-21 50.251 3.769 9.045 4.523 32.412 
2017-11-22 71.960 6.233 1.990 1.347 18.470 
2017-11-23 59.761 12.807 1.130 1.218 25.084 
2017-11-24 72.617 4.785 0.898 0.930 20.769 
2017-11-25 79.745 3.957 1.132 0.723 14.443 
2017-11-26 84.543 3.639 1.010 0.673 10.135 
2017-11-27 74.164 5.800 2.052 1.269 16.715 
2017-11-28 64.142 7.788 2.402 1.426 24.242 
2017-11-29 67.521 3.908 3.098 1.607 23.866 
2017-11-30 69.666 5.911 2.224 1.340 20.859 
2017-12-1 78.084 4.080 2.181 1.011 14.643 
2017-12-2 81.956 3.268 1.709 0.989 12.077 
2017-12-3 82.393 4.020 1.254 0.716 11.616 
2017-12-4 75.179 3.987 2.323 1.295 17.216 
2017-12-5 77.681 4.707 2.027 0.904 14.681 
2017-12-6 77.337 2.750 2.275 0.990 16.648 
2017-12-7 77.165 1.898 2.333 1.109 17.495 
2017-12-8 84.129 2.004 1.728 0.724 11.416 
2017-12-9 87.636 1.428 1.223 0.560 9.152 
2017-12-10 86.649 1.092 0.977 0.458 10.825 
2017-12-11 82.495 1.824 1.675 0.881 13.125 
2017-12-12 77.155 4.354 2.168 1.028 15.296 
2017-12-13 79.615 3.633 1.906 0.884 13.962 
2017-12-14 79.045 2.092 1.903 0.826 16.134 
2017-12-15 82.335 1.299 2.561 1.620 12.185 
2017-12-16 90.211 0.999 0.825 0.372 7.592 
2017-12-17 87.809 1.025 1.310 0.627 9.229 
2017-12-18 81.082 3.711 1.704 0.689 12.814 
2017-12-19 81.855 3.582 1.639 0.710 12.213 
2017-12-20 77.552 6.599 1.327 0.617 13.905 
2017-12-21 83.623 2.778 1.484 0.600 11.515 
2017-12-22 84.743 3.990 1.217 0.496 9.553 
2017-12-23 84.288 3.800 1.531 0.559 9.822 
2017-12-24 75.269 2.798 2.259 1.017 18.656 
2017-12-25 79.614 2.954 1.588 0.533 15.312 
2017-12-26 84.312 2.286 1.047 0.581 11.773 
2017-12-27 81.866 1.879 1.566 0.770 13.918 
2017-12-28 83.401 1.791 1.182 0.658 12.968 
2017-12-29 82.701 1.496 1.317 0.637 13.849 
2017-12-30 79.903 1.214 1.507 0.703 16.672 
2017-12-31 78.296 1.469 1.605 0.653 17.978 
2018-1-1 57.840 9.756 2.439 1.045 28.920 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 70.953 1.417 2.180 0.814 24.636 
2018-1-7 72.104 2.130 2.330 0.846 22.589 
2018-1-8 58.960 2.944 4.416 1.737 31.944 
2018-1-9 75.618 3.455 2.351 0.884 17.693 
2018-1-10 74.312 2.357 2.439 0.910 19.982 
2018-1-11 79.391 3.632 1.738 0.656 14.583 
2018-1-12 78.513 2.426 1.799 0.700 16.563 
2018-1-13 84.113 2.223 1.006 0.490 12.167 
2018-1-14 83.890 2.292 1.297 0.557 11.964 
2018-1-15 77.348 2.277 2.484 0.978 16.912 
2018-1-16 76.635 2.004 1.879 0.816 18.666 
2018-1-17 74.087 2.475 2.166 0.736 20.536 
2018-1-18 78.112 1.990 2.225 0.800 16.873 
2018-1-19 80.684 2.091 1.999 0.867 14.358 
2018-1-20 85.949 1.094 1.020 0.397 11.539 
2018-1-21 85.796 1.865 1.055 0.412 10.873 
2018-1-22 77.603 1.852 2.347 1.101 17.098 
2018-1-23 77.724 2.141 2.435 1.001 16.699 
2018-1-24 57.426 5.267 4.495 1.905 30.907 
2018-1-25 74.041 2.845 3.094 1.091 18.929 
2018-1-26 80.568 4.403 2.151 0.867 12.011 
2018-1-27 77.580 7.175 1.367 0.850 13.029 
2018-1-28 79.065 4.464 1.902 0.896 13.672 
2018-1-29 61.334 5.529 4.316 1.863 26.958 
2018-1-30 75.305 4.074 3.108 1.132 16.382 
2018-1-31 71.652 7.337 2.846 1.333 16.832 
2018-2-1 71.316 5.701 3.341 1.150 18.492 
2018-2-2 73.137 3.167 3.738 1.363 18.594 
2018-2-3 83.992 2.267 1.541 0.748 11.452 
2018-2-4 85.124 1.870 1.626 0.718 10.663 
2018-2-5 63.629 5.457 4.040 1.800 25.074 
2018-2-6 64.272 3.260 4.552 1.680 26.237 
2018-2-7 65.565 3.766 4.329 1.801 24.540 
2018-2-8 66.469 3.213 4.527 1.681 24.110 
2018-2-9 73.327 2.682 3.797 1.519 18.676 
2018-2-10 81.835 1.847 2.042 0.856 13.420 
2018-2-11 74.662 3.984 2.834 0.847 17.672 
2018-2-12 61.647 4.158 4.793 1.222 28.180 
2018-2-13 63.871 4.526 4.829 1.075 25.699 
2018-2-14 63.211 3.341 4.941 1.848 26.659 
2018-2-15 64.592 4.243 4.492 2.154 24.518 
2018-2-16 67.027 3.506 4.342 2.403 22.721 
2018-2-17 80.035 2.094 2.228 1.076 14.568 
2018-2-18 77.654 1.644 2.617 1.394 16.691 
2018-2-19 58.742 5.623 4.253 2.421 28.961 
2018-2-20 52.777 6.565 4.344 2.083 34.232 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
