Germany Belarus Austria Switzerland others
2017-11-21 50.251 0.251 3.769 2.010 43.719 
2017-11-22 71.967 1.105 6.233 2.190 18.505 
2017-11-23 59.778 1.199 12.811 9.840 16.372 
2017-11-24 72.620 1.313 4.785 8.350 12.931 
2017-11-25 79.758 0.393 3.957 4.654 11.237 
2017-11-26 84.543 0.354 3.639 2.145 9.319 
2017-11-27 74.174 1.015 5.801 2.302 16.708 
2017-11-28 64.146 1.431 7.788 7.065 19.570 
2017-11-29 67.537 2.265 3.909 3.062 23.227 
2017-11-30 69.670 1.278 5.911 6.249 16.892 
2017-12-1 78.095 1.435 4.081 2.217 14.172 
2017-12-2 81.956 0.695 3.268 1.133 12.948 
2017-12-3 82.393 1.817 4.020 1.161 10.608 
2017-12-4 75.182 1.426 3.987 2.001 17.404 
2017-12-5 77.684 0.930 4.708 1.211 15.467 
2017-12-6 77.337 1.106 2.750 1.232 17.575 
2017-12-7 77.165 1.545 1.898 1.814 17.578 
2017-12-8 84.132 0.934 2.004 1.281 11.649 
2017-12-9 87.644 0.907 1.428 0.926 9.095 
2017-12-10 86.653 1.289 1.092 0.879 10.087 
2017-12-11 82.495 1.049 1.824 0.932 13.700 
2017-12-12 77.155 1.586 4.354 1.034 15.872 
2017-12-13 79.623 1.247 3.634 1.012 14.484 
2017-12-14 79.045 1.661 2.092 0.916 16.287 
2017-12-15 82.335 1.808 1.299 0.508 14.049 
2017-12-16 90.207 0.020 0.999 0.744 8.030 
2017-12-17 87.825 0.028 1.026 0.845 10.275 
2017-12-18 81.086 0.011 3.711 1.379 13.812 
2017-12-19 81.859 0.019 3.582 1.397 13.143 
2017-12-20 77.558 0.012 6.600 4.344 11.486 
2017-12-21 83.627 0.027 2.778 1.682 11.885 
2017-12-22 84.743 0.012 3.990 1.915 9.340 
2017-12-23 84.288 0.047 3.800 1.228 10.638 
2017-12-24 75.269 3.561 2.798 1.107 17.265 
2017-12-25 79.605 2.487 2.953 1.021 13.934 
2017-12-26 84.316 2.978 2.287 0.783 9.636 
2017-12-27 81.872 3.524 1.879 0.848 11.877 
2017-12-28 83.404 3.404 1.791 0.845 10.556 
2017-12-29 82.705 3.928 1.496 0.864 11.007 
2017-12-30 79.910 5.871 1.214 0.636 12.369 
2017-12-31 78.296 8.858 1.469 0.798 10.580 
2018-1-1 57.840 14.983 9.756 0.697 16.725 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 70.961 9.877 1.417 0.995 16.750 
2018-1-7 72.104 8.940 2.130 1.217 15.608 
2018-1-8 58.987 8.195 2.945 1.628 28.245 
2018-1-9 75.618 4.334 3.455 1.123 15.471 
2018-1-10 74.312 4.697 2.357 2.094 16.541 
2018-1-11 79.397 2.769 3.632 1.532 12.671 
2018-1-12 78.516 3.730 2.426 3.203 12.125 
2018-1-13 84.113 2.594 2.223 2.921 8.148 
2018-1-14 83.890 2.523 2.292 1.889 9.405 
2018-1-15 77.348 2.881 2.277 2.071 15.422 
2018-1-16 76.649 3.009 2.005 4.247 14.090 
2018-1-17 74.101 4.234 2.476 5.298 13.892 
2018-1-18 78.136 3.506 1.990 1.885 14.483 
2018-1-19 80.702 3.025 2.092 1.224 12.956 
2018-1-20 85.953 3.990 1.094 0.882 8.081 
2018-1-21 85.796 3.544 1.865 0.833 7.962 
2018-1-22 77.608 3.774 1.852 1.118 15.648 
2018-1-23 77.748 3.241 2.142 0.919 15.951 
2018-1-24 57.443 4.565 5.268 3.343 29.381 
2018-1-25 74.052 0.021 2.845 3.216 19.866 
2018-1-26 80.589 0.015 4.404 1.431 13.561 
2018-1-27 77.580 0.008 7.175 2.802 12.436 
2018-1-28 79.072 0.000 4.465 1.497 14.967 
2018-1-29 61.345 0.062 5.530 5.064 28.000 
2018-1-30 75.297 0.028 4.073 1.452 19.151 
2018-1-31 71.656 0.030 7.337 1.728 19.249 
2018-2-1 71.321 0.027 5.702 1.789 21.161 
2018-2-2 73.137 0.057 3.167 1.363 22.276 
2018-2-3 84.005 0.022 2.267 0.858 12.848 
2018-2-4 85.124 0.027 1.870 0.948 12.031 
2018-2-5 63.635 0.048 5.458 4.175 26.685 
2018-2-6 64.278 0.070 3.260 4.254 28.138 
2018-2-7 65.558 0.072 3.765 2.139 28.466 
2018-2-8 66.502 0.059 3.214 1.760 28.464 
2018-2-9 73.327 0.071 2.682 1.068 22.852 
2018-2-10 81.828 0.017 1.847 1.050 15.258 
2018-2-11 74.670 0.030 3.985 3.944 17.371 
2018-2-12 61.654 0.059 4.159 3.395 30.733 
2018-2-13 63.871 0.068 4.526 3.920 27.615 
2018-2-14 63.211 0.036 3.341 3.306 30.107 
2018-2-15 64.606 0.022 4.244 2.079 29.049 
2018-2-16 67.042 0.035 3.507 1.905 27.511 
2018-2-17 80.050 0.029 2.094 2.737 15.090 
2018-2-18 77.674 0.026 1.645 1.013 19.642 
2018-2-19 58.772 0.090 5.626 2.345 33.167 
2018-2-20 52.787 0.119 6.566 2.420 38.108 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
