Germany Switzerland Austria United_States others
2017-11-21 50.251 2.010 3.769 9.045 34.925 
2017-11-22 71.970 2.191 6.234 1.991 17.615 
2017-11-23 59.789 9.842 12.813 1.130 16.426 
2017-11-24 72.629 8.351 4.786 0.898 13.335 
2017-11-25 79.762 4.655 3.957 1.132 10.494 
2017-11-26 84.561 2.146 3.640 1.010 8.643 
2017-11-27 74.186 2.302 5.802 2.052 15.657 
2017-11-28 64.161 7.067 7.790 2.403 18.579 
2017-11-29 67.550 3.063 3.909 3.100 22.379 
2017-11-30 69.666 6.248 5.911 2.224 15.951 
2017-12-1 78.091 2.217 4.081 2.182 13.430 
2017-12-2 81.961 1.133 3.268 1.709 11.928 
2017-12-3 82.410 1.161 4.021 1.255 11.154 
2017-12-4 75.179 2.001 3.987 2.323 16.510 
2017-12-5 77.702 1.211 4.709 2.028 14.350 
2017-12-6 77.354 1.232 2.751 2.276 16.387 
2017-12-7 77.170 1.814 1.898 2.334 16.784 
2017-12-8 84.143 1.281 2.005 1.728 10.843 
2017-12-9 87.661 0.926 1.428 1.224 8.760 
2017-12-10 86.662 0.879 1.092 0.978 10.389 
2017-12-11 82.508 0.932 1.824 1.676 13.060 
2017-12-12 77.164 1.034 4.355 2.168 15.280 
2017-12-13 79.635 1.012 3.634 1.907 13.812 
2017-12-14 79.052 0.916 2.092 1.904 16.037 
2017-12-15 82.351 0.509 1.300 2.562 13.279 
2017-12-16 90.221 0.744 0.999 0.826 7.211 
2017-12-17 87.817 0.845 1.026 1.310 9.002 
2017-12-18 81.091 1.379 3.711 1.704 12.115 
2017-12-19 81.867 1.397 3.583 1.640 11.514 
2017-12-20 77.558 4.344 6.600 1.327 10.171 
2017-12-21 83.627 1.682 2.778 1.484 10.428 
2017-12-22 84.756 1.916 3.990 1.218 8.120 
2017-12-23 84.288 1.228 3.800 1.531 9.154 
2017-12-24 75.269 1.107 2.798 2.259 18.567 
2017-12-25 79.605 1.021 2.953 1.588 14.833 
2017-12-26 84.320 0.783 2.287 1.047 11.563 
2017-12-27 81.866 0.848 1.879 1.566 13.840 
2017-12-28 83.404 0.845 1.791 1.182 12.778 
2017-12-29 82.705 0.864 1.496 1.317 13.618 
2017-12-30 79.910 0.636 1.214 1.507 16.732 
2017-12-31 78.303 0.798 1.469 1.605 17.826 
2018-1-1 58.042 0.699 9.790 2.448 29.021 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 70.961 0.995 1.417 2.180 24.447 
2018-1-7 72.124 1.218 2.131 2.331 22.196 
2018-1-8 58.997 1.628 2.946 4.419 32.010 
2018-1-9 75.632 1.123 3.455 2.351 17.438 
2018-1-10 74.337 2.094 2.357 2.440 18.772 
2018-1-11 79.406 1.532 3.633 1.739 13.691 
2018-1-12 78.523 3.203 2.426 1.799 14.048 
2018-1-13 84.113 2.921 2.223 1.006 9.737 
2018-1-14 83.900 1.890 2.292 1.297 10.621 
2018-1-15 77.354 2.071 2.278 2.484 15.813 
2018-1-16 76.642 4.246 2.004 1.879 15.228 
2018-1-17 74.094 5.297 2.475 2.166 15.967 
2018-1-18 78.136 1.885 1.990 2.225 15.763 
2018-1-19 80.695 1.224 2.092 1.999 13.990 
2018-1-20 85.957 0.882 1.094 1.021 11.046 
2018-1-21 85.800 0.833 1.865 1.055 10.447 
2018-1-22 77.612 1.118 1.852 2.347 17.070 
2018-1-23 77.756 0.919 2.142 2.436 16.748 
2018-1-24 57.443 3.343 5.268 4.496 29.450 
2018-1-25 74.046 3.216 2.845 3.094 16.799 
2018-1-26 80.585 1.431 4.404 2.152 11.429 
2018-1-27 77.585 2.802 7.175 1.367 11.071 
2018-1-28 79.085 1.497 4.465 1.903 13.050 
2018-1-29 61.345 5.064 5.530 4.316 23.745 
2018-1-30 75.317 1.452 4.074 3.108 16.048 
2018-1-31 71.669 1.728 7.339 2.847 16.417 
2018-2-1 71.335 1.790 5.703 3.341 17.830 
2018-2-2 73.137 1.363 3.167 3.738 18.594 
2018-2-3 84.017 0.859 2.268 1.541 11.316 
2018-2-4 85.124 0.948 1.870 1.626 10.432 
2018-2-5 63.641 4.175 5.458 4.041 22.685 
2018-2-6 64.291 4.255 3.261 4.553 23.641 
2018-2-7 65.585 2.139 3.767 4.330 24.179 
2018-2-8 66.515 1.761 3.215 4.531 23.979 
2018-2-9 73.344 1.068 2.682 3.798 19.108 
2018-2-10 81.842 1.051 1.847 2.042 13.218 
2018-2-11 74.685 3.945 3.985 2.835 14.549 
2018-2-12 61.676 3.396 4.160 4.795 25.972 
2018-2-13 63.883 3.921 4.527 4.830 22.839 
2018-2-14 63.211 3.306 3.341 4.941 25.201 
2018-2-15 64.606 2.079 4.244 4.493 24.578 
2018-2-16 67.050 1.905 3.508 4.344 23.194 
2018-2-17 80.058 2.738 2.094 2.229 12.882 
2018-2-18 77.705 1.013 1.645 2.619 17.018 
2018-2-19 58.787 2.346 5.627 4.256 28.983 
2018-2-20 52.798 2.421 6.567 4.345 33.869 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
