Nordrhein-Westfalen Bayern Baden-Wurttemberg Niedersachsen others
2017-11-21 8.772 9.023 5.764 4.010 72.431 
2017-11-22 15.571 11.408 8.780 7.311 56.930 
2017-11-23 12.518 9.712 7.390 6.165 64.216 
2017-11-24 15.152 11.872 8.882 7.729 56.365 
2017-11-25 16.076 13.031 10.809 7.749 52.334 
2017-11-26 17.280 14.160 10.456 8.599 49.505 
2017-11-27 15.516 12.506 9.391 7.435 55.151 
2017-11-28 13.297 10.808 7.912 6.547 61.435 
2017-11-29 14.348 11.055 8.480 7.086 59.031 
2017-11-30 14.629 11.540 8.826 7.129 57.877 
2017-12-1 16.740 12.740 9.956 7.886 52.678 
2017-12-2 17.010 13.572 10.675 8.859 49.885 
2017-12-3 17.153 13.418 10.605 8.727 50.098 
2017-12-4 15.396 13.007 9.761 7.914 53.922 
2017-12-5 16.986 12.815 9.625 8.142 52.432 
2017-12-6 16.104 13.059 9.409 8.255 53.173 
2017-12-7 15.953 12.628 9.525 8.053 53.842 
2017-12-8 16.957 14.135 9.829 9.119 49.961 
2017-12-9 18.381 14.322 11.020 9.273 47.005 
2017-12-10 17.557 13.943 11.232 9.078 48.190 
2017-12-11 16.861 13.955 10.086 8.367 50.731 
2017-12-12 16.164 12.267 9.248 8.047 54.274 
2017-12-13 16.869 12.933 9.458 8.673 52.067 
2017-12-14 16.321 12.942 9.502 8.290 52.946 
2017-12-15 18.071 12.929 10.246 10.021 48.733 
2017-12-16 18.571 14.635 11.314 10.340 45.140 
2017-12-17 18.061 15.021 10.838 9.366 46.715 
2017-12-18 16.917 13.362 9.841 8.901 50.979 
2017-12-19 17.232 13.457 9.942 9.200 50.169 
2017-12-20 16.099 12.806 9.578 8.467 53.050 
2017-12-21 17.623 13.513 10.249 8.845 49.770 
2017-12-22 17.659 13.845 10.960 8.583 48.954 
2017-12-23 18.240 13.272 11.059 8.853 48.576 
2017-12-24 14.831 12.237 9.584 7.795 55.552 
2017-12-25 17.465 12.387 10.212 7.960 51.976 
2017-12-26 17.450 13.391 10.566 9.356 49.237 
2017-12-27 16.885 13.129 10.653 8.833 50.500 
2017-12-28 16.711 13.937 11.041 8.755 49.556 
2017-12-29 17.306 13.079 10.402 9.404 49.810 
2017-12-30 16.044 13.716 10.938 8.693 50.609 
2017-12-31 16.307 12.582 10.129 8.542 52.440 
2018-1-1 9.408 10.453 5.226 4.878 70.035 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 14.323 11.701 9.689 7.647 56.641 
2018-1-7 14.944 12.584 9.116 7.846 55.510 
2018-1-8 12.945 10.345 6.973 5.600 64.136 
2018-1-9 16.442 12.267 9.256 7.874 54.160 
2018-1-10 15.136 12.431 9.492 7.881 55.059 
2018-1-11 16.462 12.894 9.544 8.755 52.345 
2018-1-12 16.144 12.986 9.994 8.424 52.452 
2018-1-13 17.611 13.586 10.345 9.408 49.050 
2018-1-14 17.093 13.010 10.550 8.921 50.425 
2018-1-15 16.019 12.942 9.461 8.215 53.363 
2018-1-16 18.379 12.009 9.161 8.223 52.228 
2018-1-17 17.877 11.921 9.062 7.432 53.709 
2018-1-18 18.464 12.328 9.951 7.679 51.578 
2018-1-19 19.404 13.137 9.613 7.968 49.878 
2018-1-20 20.151 13.553 10.863 8.709 46.724 
2018-1-21 20.039 13.459 10.385 9.134 46.984 
2018-1-22 19.161 12.163 9.372 7.627 51.676 
2018-1-23 18.755 12.449 9.120 8.134 51.542 
2018-1-24 14.223 9.292 6.589 5.416 64.480 
2018-1-25 17.974 11.078 9.122 7.400 54.426 
2018-1-26 19.476 12.597 9.440 7.929 50.558 
2018-1-27 17.970 12.073 9.064 8.672 52.221 
2018-1-28 18.803 12.185 9.754 7.980 51.278 
2018-1-29 14.006 10.321 7.719 6.086 61.867 
2018-1-30 18.324 11.884 9.299 7.599 52.895 
2018-1-31 17.493 11.430 8.924 6.714 55.440 
2018-2-1 17.620 11.053 8.991 6.279 56.057 
2018-2-2 18.072 11.642 9.541 6.503 54.241 
2018-2-3 19.212 13.576 10.755 8.573 47.884 
2018-2-4 19.793 13.321 11.112 8.425 47.350 
2018-2-5 15.502 10.591 8.435 6.032 59.441 
2018-2-6 14.952 10.335 8.174 6.120 60.419 
2018-2-7 15.923 10.882 7.916 6.397 58.882 
2018-2-8 15.203 11.226 8.276 6.439 58.857 
2018-2-9 17.776 11.976 9.209 6.748 54.291 
2018-2-10 18.945 13.021 10.479 8.365 49.190 
2018-2-11 17.081 12.139 9.894 6.816 54.070 
2018-2-12 14.357 10.102 7.824 5.685 62.032 
2018-2-13 15.246 9.764 8.136 6.102 60.752 
2018-2-14 16.180 10.196 7.955 5.784 59.885 
2018-2-15 16.205 10.489 7.894 6.124 59.288 
2018-2-16 16.265 10.874 8.455 6.324 58.081 
2018-2-17 19.314 12.880 9.920 7.724 50.162 
2018-2-18 19.134 12.477 9.364 7.206 51.818 
2018-2-19 14.605 9.572 7.182 5.224 63.417 
2018-2-20 13.432 8.456 6.706 4.582 66.824 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
