Nordrhein-Westfalen Bayern Baden-Wurttemberg Niedersachsen others
2017-11-21 8.883 9.137 5.838 4.061 72.081 
2017-11-22 15.627 11.449 8.812 7.337 56.775 
2017-11-23 12.565 9.748 7.418 6.188 64.081 
2017-11-24 15.189 11.901 8.904 7.748 56.257 
2017-11-25 16.125 13.072 10.843 7.773 52.187 
2017-11-26 17.314 14.187 10.476 8.616 49.407 
2017-11-27 15.563 12.544 9.420 7.457 55.015 
2017-11-28 13.353 10.853 7.946 6.574 61.274 
2017-11-29 14.411 11.104 8.517 7.118 58.850 
2017-11-30 14.674 11.576 8.853 7.151 57.746 
2017-12-1 16.794 12.781 9.989 7.912 52.525 
2017-12-2 17.068 13.618 10.711 8.890 49.713 
2017-12-3 17.189 13.446 10.627 8.746 49.993 
2017-12-4 15.448 13.051 9.794 7.940 53.768 
2017-12-5 17.035 12.852 9.653 8.165 52.295 
2017-12-6 16.140 13.089 9.430 8.274 53.067 
2017-12-7 16.012 12.674 9.560 8.082 53.672 
2017-12-8 16.993 14.165 9.850 9.138 49.855 
2017-12-9 18.419 14.351 11.043 9.292 46.895 
2017-12-10 17.593 13.971 11.254 9.097 48.085 
2017-12-11 16.902 13.988 10.110 8.387 50.613 
2017-12-12 16.204 12.298 9.271 8.067 54.160 
2017-12-13 16.907 12.962 9.479 8.692 51.960 
2017-12-14 16.370 12.982 9.531 8.315 52.803 
2017-12-15 18.136 12.976 10.282 10.056 48.550 
2017-12-16 18.598 14.656 11.331 10.355 45.060 
2017-12-17 18.098 15.052 10.861 9.385 46.604 
2017-12-18 16.973 13.406 9.873 8.930 50.818 
2017-12-19 17.286 13.500 9.973 9.229 50.012 
2017-12-20 16.128 12.829 9.596 8.483 52.964 
2017-12-21 17.653 13.536 10.267 8.860 49.684 
2017-12-22 17.682 13.864 10.974 8.594 48.885 
2017-12-23 18.274 13.297 11.079 8.870 48.480 
2017-12-24 14.900 12.294 9.629 7.832 55.346 
2017-12-25 17.550 12.447 10.262 7.999 51.742 
2017-12-26 17.491 13.422 10.590 9.378 49.118 
2017-12-27 16.934 13.166 10.683 8.858 50.358 
2017-12-28 16.733 13.955 11.055 8.766 49.491 
2017-12-29 17.340 13.105 10.422 9.422 49.712 
2017-12-30 16.092 13.757 10.971 8.720 50.460 
2017-12-31 16.338 12.606 10.148 8.558 52.350 
2018-1-1 9.474 10.526 5.263 4.912 69.825 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 14.379 11.746 9.727 7.677 56.471 
2018-1-7 14.989 12.622 9.144 7.870 55.375 
2018-1-8 12.994 10.384 6.999 5.621 64.002 
2018-1-9 16.484 12.299 9.280 7.894 54.042 
2018-1-10 15.177 12.465 9.518 7.902 54.939 
2018-1-11 16.506 12.929 9.569 8.779 52.217 
2018-1-12 16.183 13.017 10.018 8.444 52.338 
2018-1-13 17.636 13.605 10.360 9.421 48.978 
2018-1-14 17.116 13.027 10.564 8.933 50.360 
2018-1-15 16.045 12.962 9.476 8.228 53.288 
2018-1-16 18.419 12.035 9.181 8.241 52.124 
2018-1-17 17.908 11.942 9.078 7.445 53.627 
2018-1-18 18.518 12.364 9.981 7.702 51.435 
2018-1-19 19.458 13.174 9.639 7.990 49.739 
2018-1-20 20.176 13.570 10.876 8.720 46.658 
2018-1-21 20.076 13.484 10.404 9.150 46.886 
2018-1-22 19.219 12.200 9.401 7.650 51.530 
2018-1-23 18.799 12.478 9.141 8.153 51.428 
2018-1-24 14.314 9.351 6.630 5.450 64.255 
2018-1-25 18.046 11.122 9.158 7.429 54.245 
2018-1-26 19.533 12.634 9.468 7.953 50.411 
2018-1-27 18.018 12.105 9.088 8.695 52.094 
2018-1-28 18.866 12.226 9.787 8.007 51.114 
2018-1-29 14.070 10.368 7.754 6.114 61.693 
2018-1-30 18.367 11.912 9.321 7.616 52.784 
2018-1-31 17.553 11.469 8.955 6.737 55.287 
2018-2-1 17.672 11.086 9.018 6.297 55.927 
2018-2-2 18.135 11.682 9.574 6.526 54.082 
2018-2-3 19.257 13.608 10.780 8.593 47.762 
2018-2-4 19.845 13.356 11.141 8.447 47.211 
2018-2-5 15.578 10.643 8.477 6.061 59.240 
2018-2-6 15.011 10.376 8.206 6.145 60.262 
2018-2-7 16.000 10.935 7.954 6.429 58.682 
2018-2-8 15.279 11.282 8.317 6.471 58.651 
2018-2-9 17.851 12.027 9.248 6.777 54.097 
2018-2-10 18.984 13.049 10.501 8.382 49.084 
2018-2-11 17.174 12.205 9.948 6.853 53.820 
2018-2-12 14.456 10.172 7.878 5.724 61.770 
2018-2-13 15.325 9.814 8.178 6.134 60.549 
2018-2-14 16.262 10.248 7.995 5.814 59.682 
2018-2-15 16.284 10.540 7.932 6.154 59.090 
2018-2-16 16.343 10.926 8.495 6.354 57.882 
2018-2-17 19.383 12.925 9.955 7.751 49.986 
2018-2-18 19.235 12.543 9.414 7.244 51.565 
2018-2-19 14.682 9.622 7.220 5.252 63.225 
2018-2-20 13.533 8.520 6.756 4.617 66.574 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
