Nordrhein-Westfalen Bayern Baden-Wurttemberg Niedersachsen others
2017-11-21 8.838 9.091 5.808 4.040 72.222 
2017-11-22 15.717 11.514 8.862 7.379 56.528 
2017-11-23 12.614 9.786 7.447 6.213 63.940 
2017-11-24 15.239 11.940 8.933 7.774 56.114 
2017-11-25 16.185 13.120 10.882 7.802 52.012 
2017-11-26 17.383 14.244 10.518 8.651 49.204 
2017-11-27 15.629 12.597 9.460 7.489 54.825 
2017-11-28 13.430 10.916 7.991 6.612 61.051 
2017-11-29 14.519 11.187 8.581 7.171 58.541 
2017-11-30 14.727 11.618 8.885 7.177 57.592 
2017-12-1 16.856 12.828 10.026 7.941 52.349 
2017-12-2 17.139 13.675 10.755 8.926 49.505 
2017-12-3 17.234 13.482 10.655 8.769 49.860 
2017-12-4 15.507 13.100 9.831 7.970 53.591 
2017-12-5 17.097 12.900 9.688 8.195 52.120 
2017-12-6 16.200 13.137 9.465 8.304 52.894 
2017-12-7 16.072 12.722 9.596 8.113 53.497 
2017-12-8 17.045 14.209 9.880 9.166 49.700 
2017-12-9 18.484 14.402 11.081 9.324 46.709 
2017-12-10 17.660 14.024 11.297 9.131 47.889 
2017-12-11 16.952 14.030 10.140 8.412 50.466 
2017-12-12 16.257 12.338 9.301 8.093 54.011 
2017-12-13 16.972 13.012 9.516 8.726 51.774 
2017-12-14 16.433 13.032 9.567 8.347 52.621 
2017-12-15 18.187 13.012 10.312 10.085 48.404 
2017-12-16 18.650 14.697 11.362 10.384 44.907 
2017-12-17 18.134 15.082 10.883 9.404 46.497 
2017-12-18 17.034 13.454 9.909 8.962 50.641 
2017-12-19 17.326 13.530 9.996 9.250 49.897 
2017-12-20 16.186 12.874 9.630 8.513 52.797 
2017-12-21 17.709 13.580 10.299 8.888 49.524 
2017-12-22 17.745 13.913 11.013 8.625 48.703 
2017-12-23 18.332 13.339 11.115 8.898 48.316 
2017-12-24 15.035 12.406 9.716 7.903 54.941 
2017-12-25 17.633 12.506 10.310 8.036 51.516 
2017-12-26 17.524 13.448 10.611 9.396 49.021 
2017-12-27 16.977 13.200 10.710 8.881 50.232 
2017-12-28 16.775 13.990 11.084 8.788 49.362 
2017-12-29 17.391 13.143 10.453 9.450 49.564 
2017-12-30 16.152 13.808 11.011 8.752 50.277 
2017-12-31 16.398 12.652 10.185 8.589 52.177 
2018-1-1 9.441 10.490 5.245 4.895 69.930 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 14.463 11.815 9.784 7.722 56.216 
2018-1-7 15.049 12.673 9.180 7.902 55.196 
2018-1-8 13.114 10.480 7.063 5.673 63.671 
2018-1-9 16.546 12.345 9.315 7.924 53.871 
2018-1-10 15.244 12.520 9.560 7.937 54.739 
2018-1-11 16.552 12.965 9.596 8.803 52.083 
2018-1-12 16.224 13.050 10.044 8.466 52.217 
2018-1-13 17.681 13.640 10.386 9.445 48.848 
2018-1-14 17.166 13.066 10.595 8.959 50.213 
2018-1-15 16.131 13.032 9.527 8.272 53.038 
2018-1-16 18.482 12.076 9.212 8.269 51.961 
2018-1-17 17.978 11.988 9.113 7.474 53.447 
2018-1-18 18.574 12.401 10.010 7.725 51.290 
2018-1-19 19.509 13.208 9.665 8.011 49.606 
2018-1-20 20.236 13.611 10.909 8.746 46.498 
2018-1-21 20.119 13.513 10.427 9.170 46.771 
2018-1-22 19.285 12.242 9.433 7.677 51.364 
2018-1-23 18.867 12.523 9.174 8.183 51.253 
2018-1-24 14.395 9.404 6.668 5.481 64.052 
2018-1-25 18.101 11.156 9.186 7.452 54.104 
2018-1-26 19.593 12.673 9.497 7.977 50.259 
2018-1-27 18.100 12.160 9.130 8.735 51.876 
2018-1-28 18.952 12.282 9.832 8.044 50.890 
2018-1-29 14.156 10.432 7.802 6.151 61.460 
2018-1-30 18.457 11.971 9.366 7.654 52.552 
2018-1-31 17.654 11.535 9.006 6.775 55.031 
2018-2-1 17.761 11.141 9.063 6.329 55.706 
2018-2-2 18.240 11.750 9.630 6.564 53.816 
2018-2-3 19.350 13.674 10.832 8.635 47.510 
2018-2-4 19.913 13.402 11.180 8.476 47.029 
2018-2-5 15.673 10.708 8.528 6.098 58.994 
2018-2-6 15.119 10.450 8.265 6.189 59.978 
2018-2-7 16.097 11.001 8.002 6.467 58.432 
2018-2-8 15.375 11.354 8.370 6.512 58.389 
2018-2-9 17.942 12.088 9.295 6.811 53.864 
2018-2-10 19.095 13.125 10.562 8.431 48.786 
2018-2-11 17.266 12.271 10.001 6.890 53.572 
2018-2-12 14.543 10.233 7.925 5.758 61.540 
2018-2-13 15.428 9.880 8.234 6.175 60.282 
2018-2-14 16.395 10.332 8.061 5.861 59.351 
2018-2-15 16.394 10.611 7.985 6.195 58.815 
2018-2-16 16.463 11.006 8.558 6.401 57.573 
2018-2-17 19.444 12.966 9.987 7.776 49.827 
2018-2-18 19.362 12.626 9.476 7.292 51.244 
2018-2-19 14.807 9.704 7.281 5.296 62.912 
2018-2-20 13.652 8.595 6.816 4.657 66.280 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
